,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dewitt arkansas,"('jobs in dewitt arkansas', 'jobs hiring in dewitt arkansas')",jobs in dewitt arkansas,jobs hiring in dewitt arkansas,1,0,google,2025-10-29 18:03:31.274136,,
1,jobs in dewitt arkansas,"('jobs in dewitt arkansas', 'jobs in dewitt ar')",jobs in dewitt arkansas,jobs in dewitt ar,2,0,google,2025-10-29 18:03:31.274136,,
2,jobs in dewitt arkansas,"('jobs hiring in dewitt arkansas', 'jobs near dewitt arkansas')",jobs hiring in dewitt arkansas,jobs near dewitt arkansas,1,1,google,2025-10-29 18:03:32.665866,,jobs in dewitt arkansas
3,jobs in dewitt arkansas,"('jobs hiring in dewitt arkansas', 'jobs hiring near dewitt ar')",jobs hiring in dewitt arkansas,jobs hiring near dewitt ar,2,1,google,2025-10-29 18:03:32.665866,,jobs in dewitt arkansas
4,jobs in dewitt arkansas,"('jobs hiring in dewitt arkansas', 'jobs dewitt ar')",jobs hiring in dewitt arkansas,jobs dewitt ar,3,1,google,2025-10-29 18:03:32.665866,,jobs in dewitt arkansas
5,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs hiring in dewitt arkansas')",jobs in dewitt ar,jobs hiring in dewitt arkansas,1,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
6,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs around dewitt iowa')",jobs in dewitt ar,jobs around dewitt iowa,2,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
7,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs in dewitt arkansas')",jobs in dewitt ar,jobs in dewitt arkansas,3,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
8,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs in dewitt')",jobs in dewitt ar,jobs in dewitt,4,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
9,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs in dewitt ia')",jobs in dewitt ar,jobs in dewitt ia,5,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
10,jobs in dewitt arkansas,"('jobs in dewitt ar', 'jobs in dewitt ny')",jobs in dewitt ar,jobs in dewitt ny,6,1,google,2025-10-29 18:03:33.690902,,jobs in dewitt arkansas
11,jobs in dewitt arkansas,"('jobs near dewitt arkansas', 'jobs hiring near dewitt ar')",jobs near dewitt arkansas,jobs hiring near dewitt ar,1,2,google,2025-10-29 18:03:34.567256,jobs in dewitt arkansas,jobs hiring in dewitt arkansas
12,jobs in dewitt arkansas,"('jobs near dewitt arkansas', 'jobs near dewitt ar')",jobs near dewitt arkansas,jobs near dewitt ar,2,2,google,2025-10-29 18:03:34.567256,jobs in dewitt arkansas,jobs hiring in dewitt arkansas
