,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in decatur arkansas,"('jobs in decatur arkansas', 'jobs hiring in decatur arkansas')",jobs in decatur arkansas,jobs hiring in decatur arkansas,1,0,google,2025-10-29 18:04:13.417206,,
1,jobs in decatur arkansas,"('jobs in decatur arkansas', 'what kind of jobs are in arkansas')",jobs in decatur arkansas,what kind of jobs are in arkansas,2,0,google,2025-10-29 18:04:13.417206,,
2,jobs in decatur arkansas,"('jobs in decatur arkansas', 'jobs in decatur ar')",jobs in decatur arkansas,jobs in decatur ar,3,0,google,2025-10-29 18:04:13.417206,,
3,jobs in decatur arkansas,"('jobs in decatur arkansas', 'jobs in decatur')",jobs in decatur arkansas,jobs in decatur,4,0,google,2025-10-29 18:04:13.417206,,
4,jobs in decatur arkansas,"('jobs hiring in decatur arkansas', 'jobs near decatur arkansas')",jobs hiring in decatur arkansas,jobs near decatur arkansas,1,1,google,2025-10-29 18:04:14.699668,,jobs in decatur arkansas
5,jobs in decatur arkansas,"('jobs hiring in decatur arkansas', 'jobs hiring in decatur al')",jobs hiring in decatur arkansas,jobs hiring in decatur al,2,1,google,2025-10-29 18:04:14.699668,,jobs in decatur arkansas
6,jobs in decatur arkansas,"('jobs hiring in decatur arkansas', 'jobs hiring in decatur alabama')",jobs hiring in decatur arkansas,jobs hiring in decatur alabama,3,1,google,2025-10-29 18:04:14.699668,,jobs in decatur arkansas
7,jobs in decatur arkansas,"('jobs hiring in decatur arkansas', 'jobs decatur ar')",jobs hiring in decatur arkansas,jobs decatur ar,4,1,google,2025-10-29 18:04:14.699668,,jobs in decatur arkansas
8,jobs in decatur arkansas,"('jobs hiring in decatur arkansas', 'jobs hiring in decatur tx')",jobs hiring in decatur arkansas,jobs hiring in decatur tx,5,1,google,2025-10-29 18:04:14.699668,,jobs in decatur arkansas
9,jobs in decatur arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-29 18:04:15.933602,,jobs in decatur arkansas
10,jobs in decatur arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-29 18:04:15.933602,,jobs in decatur arkansas
11,jobs in decatur arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-29 18:04:15.933602,,jobs in decatur arkansas
12,jobs in decatur arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-29 18:04:15.933602,,jobs in decatur arkansas
13,jobs in decatur arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-29 18:04:15.933602,,jobs in decatur arkansas
14,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs in decatur arkansas')",jobs in decatur ar,jobs in decatur arkansas,1,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
15,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs in decatur area')",jobs in decatur ar,jobs in decatur area,2,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
16,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs hiring in decatur arkansas')",jobs in decatur ar,jobs hiring in decatur arkansas,3,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
17,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs around decatur il')",jobs in decatur ar,jobs around decatur il,4,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
18,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs around decatur tx')",jobs in decatur ar,jobs around decatur tx,5,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
19,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs around decatur illinois')",jobs in decatur ar,jobs around decatur illinois,6,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
20,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs around decatur')",jobs in decatur ar,jobs around decatur,7,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
21,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs around decatur al')",jobs in decatur ar,jobs around decatur al,8,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
22,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs that are hiring in decatur')",jobs in decatur ar,jobs that are hiring in decatur,9,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
23,jobs in decatur arkansas,"('jobs in decatur ar', 'jobs that are hiring in decatur illinois')",jobs in decatur ar,jobs that are hiring in decatur illinois,10,1,google,2025-10-29 18:04:16.793314,,jobs in decatur arkansas
24,jobs in decatur arkansas,"('jobs in decatur', 'jobs in decatur il')",jobs in decatur,jobs in decatur il,1,1,google,2025-10-29 18:04:17.919949,,jobs in decatur arkansas
25,jobs in decatur arkansas,"('jobs in decatur', 'jobs in decatur ga')",jobs in decatur,jobs in decatur ga,2,1,google,2025-10-29 18:04:17.919949,,jobs in decatur arkansas
26,jobs in decatur arkansas,"('jobs in decatur', 'jobs in decatur tx')",jobs in decatur,jobs in decatur tx,3,1,google,2025-10-29 18:04:17.919949,,jobs in decatur arkansas
27,jobs in decatur arkansas,"('jobs in decatur', 'jobs in decatur al')",jobs in decatur,jobs in decatur al,4,1,google,2025-10-29 18:04:17.919949,,jobs in decatur arkansas
28,jobs in decatur arkansas,"('jobs in decatur', 'jobs in decatur tn')",jobs in decatur,jobs in decatur tn,5,1,google,2025-10-29 18:04:17.919949,,jobs in decatur arkansas
