,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in delta junction alaska,"('jobs in delta junction alaska', 'indeed jobs delta junction alaska')",jobs in delta junction alaska,indeed jobs delta junction alaska,1,0,google,2025-10-28 15:02:10.561282,,
1,jobs in delta junction alaska,"('jobs in delta junction alaska', 'jobs near delta junction ak')",jobs in delta junction alaska,jobs near delta junction ak,2,0,google,2025-10-28 15:02:10.561282,,
2,jobs in delta junction alaska,"('jobs in delta junction alaska', 'delta junction jobs')",jobs in delta junction alaska,delta junction jobs,3,0,google,2025-10-28 15:02:10.561282,,
3,jobs in delta junction alaska,"('jobs in delta junction alaska', 'directions to delta junction alaska')",jobs in delta junction alaska,directions to delta junction alaska,4,0,google,2025-10-28 15:02:10.561282,,
4,jobs in delta junction alaska,"('jobs in delta junction alaska', 'delta junction alaska population')",jobs in delta junction alaska,delta junction alaska population,5,0,google,2025-10-28 15:02:10.561282,,
5,jobs in delta junction alaska,"('indeed jobs delta junction alaska', 'indeed delta junction')",indeed jobs delta junction alaska,indeed delta junction,1,1,google,2025-10-28 15:02:11.966966,,jobs in delta junction alaska
6,jobs in delta junction alaska,"('indeed jobs delta junction alaska', 'delta junction alaska jobs')",indeed jobs delta junction alaska,delta junction alaska jobs,2,1,google,2025-10-28 15:02:11.966966,,jobs in delta junction alaska
7,jobs in delta junction alaska,"('indeed jobs delta junction alaska', 'delta junction jobs')",indeed jobs delta junction alaska,delta junction jobs,3,1,google,2025-10-28 15:02:11.966966,,jobs in delta junction alaska
8,jobs in delta junction alaska,"('jobs near delta junction ak', 'delta junction jobs')",jobs near delta junction ak,delta junction jobs,1,1,google,2025-10-28 15:02:12.908384,,jobs in delta junction alaska
9,jobs in delta junction alaska,"('jobs near delta junction ak', 'jobs near delta junction alaska')",jobs near delta junction ak,jobs near delta junction alaska,2,1,google,2025-10-28 15:02:12.908384,,jobs in delta junction alaska
10,jobs in delta junction alaska,"('delta junction jobs', 'delta alaska jobs')",delta junction jobs,delta alaska jobs,1,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
11,jobs in delta junction alaska,"('delta junction jobs', 'delta junction alaska jobs')",delta junction jobs,delta junction alaska jobs,2,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
12,jobs in delta junction alaska,"('delta junction jobs', 'delta junction ak jobs')",delta junction jobs,delta junction ak jobs,3,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
13,jobs in delta junction alaska,"('delta junction jobs', 'delta junction jobs hiring')",delta junction jobs,delta junction jobs hiring,4,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
14,jobs in delta junction alaska,"('delta junction jobs', 'delta junction school district jobs')",delta junction jobs,delta junction school district jobs,5,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
15,jobs in delta junction alaska,"('delta junction jobs', 'city of delta junction jobs')",delta junction jobs,city of delta junction jobs,6,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
16,jobs in delta junction alaska,"('delta junction jobs', 'delta junction post office jobs')",delta junction jobs,delta junction post office jobs,7,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
17,jobs in delta junction alaska,"('delta junction jobs', 'delta jobs in atlanta')",delta junction jobs,delta jobs in atlanta,8,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
18,jobs in delta junction alaska,"('delta junction jobs', 'delta mainline jobs')",delta junction jobs,delta mainline jobs,9,1,google,2025-10-28 15:02:13.992262,,jobs in delta junction alaska
19,jobs in delta junction alaska,"('directions to delta junction alaska', 'how to get to delta junction alaska')",directions to delta junction alaska,how to get to delta junction alaska,1,1,google,2025-10-28 15:02:14.884385,,jobs in delta junction alaska
20,jobs in delta junction alaska,"('directions to delta junction alaska', 'driving directions to delta junction alaska')",directions to delta junction alaska,driving directions to delta junction alaska,2,1,google,2025-10-28 15:02:14.884385,,jobs in delta junction alaska
