,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dermott arkansas,"('jobs in dermott arkansas', 'jobs hiring in dermott ar')",jobs in dermott arkansas,jobs hiring in dermott ar,1,0,google,2025-10-29 18:07:29.649264,,
1,jobs in dermott arkansas,"('jobs in dermott arkansas', 'dermott ar jobs')",jobs in dermott arkansas,dermott ar jobs,2,0,google,2025-10-29 18:07:29.649264,,
2,jobs in dermott arkansas,"('jobs hiring in dermott ar', 'jobs near dermott ar')",jobs hiring in dermott ar,jobs near dermott ar,1,1,google,2025-10-29 18:07:30.641041,,jobs in dermott arkansas
3,jobs in dermott arkansas,"('jobs hiring in dermott ar', 'jobs in dermott arkansas')",jobs hiring in dermott ar,jobs in dermott arkansas,2,1,google,2025-10-29 18:07:30.641041,,jobs in dermott arkansas
4,jobs in dermott arkansas,"('jobs hiring in dermott ar', 'jobs at dermatology office')",jobs hiring in dermott ar,jobs at dermatology office,3,1,google,2025-10-29 18:07:30.641041,,jobs in dermott arkansas
5,jobs in dermott arkansas,"('dermott ar jobs', 'dermott school district jobs')",dermott ar jobs,dermott school district jobs,1,1,google,2025-10-29 18:07:31.912203,,jobs in dermott arkansas
6,jobs in dermott arkansas,"('dermott ar jobs', 'jobs in dermott arkansas')",dermott ar jobs,jobs in dermott arkansas,2,1,google,2025-10-29 18:07:31.912203,,jobs in dermott arkansas
7,jobs in dermott arkansas,"('dermott ar jobs', 'dermott public schools employment')",dermott ar jobs,dermott public schools employment,3,1,google,2025-10-29 18:07:31.912203,,jobs in dermott arkansas
8,jobs in dermott arkansas,"('dermott ar jobs', 'dermott ar')",dermott ar jobs,dermott ar,4,1,google,2025-10-29 18:07:31.912203,,jobs in dermott arkansas
9,jobs in dermott arkansas,"('jobs near dermott ar', 'jobs near monticello ar')",jobs near dermott ar,jobs near monticello ar,1,2,google,2025-10-29 18:07:32.897701,jobs in dermott arkansas,jobs hiring in dermott ar
10,jobs in dermott arkansas,"('jobs near dermott ar', 'jobs hiring near monticello ar')",jobs near dermott ar,jobs hiring near monticello ar,2,2,google,2025-10-29 18:07:32.897701,jobs in dermott arkansas,jobs hiring in dermott ar
