,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills alabama hiring')",jobs in dixons mills alabama,jobs in dixons mills alabama hiring,1,0,google,2025-10-28 20:02:33.705672,,
1,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills alabama area')",jobs in dixons mills alabama,jobs in dixons mills alabama area,2,0,google,2025-10-28 20:02:33.705672,,
2,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills alabama hiring now')",jobs in dixons mills alabama,jobs in dixons mills alabama hiring now,3,0,google,2025-10-28 20:02:33.705672,,
3,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills alabama part time')",jobs in dixons mills alabama,jobs in dixons mills alabama part time,4,0,google,2025-10-28 20:02:33.705672,,
4,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills alabama for 16 year olds')",jobs in dixons mills alabama,jobs in dixons mills alabama for 16 year olds,5,0,google,2025-10-28 20:02:33.705672,,
5,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills al')",jobs in dixons mills alabama,jobs in dixons mills al,6,0,google,2025-10-28 20:02:33.705672,,
6,jobs in dixons mills alabama,"('jobs in dixons mills alabama', 'jobs in dixons mills al weather')",jobs in dixons mills alabama,jobs in dixons mills al weather,7,0,google,2025-10-28 20:02:33.705672,,
7,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring', 'jobs in dixons mills alabama hiring now')",jobs in dixons mills alabama hiring,jobs in dixons mills alabama hiring now,1,1,google,2025-10-28 20:02:34.705750,,jobs in dixons mills alabama
8,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring', 'jobs in dixons mills alabama hiring immediately')",jobs in dixons mills alabama hiring,jobs in dixons mills alabama hiring immediately,2,1,google,2025-10-28 20:02:34.705750,,jobs in dixons mills alabama
9,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring', 'jobs in dixons mills alabama hiring 16 year olds')",jobs in dixons mills alabama hiring,jobs in dixons mills alabama hiring 16 year olds,3,1,google,2025-10-28 20:02:34.705750,,jobs in dixons mills alabama
10,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring', 'jobs in dixons mills alabama hiring right now')",jobs in dixons mills alabama hiring,jobs in dixons mills alabama hiring right now,4,1,google,2025-10-28 20:02:34.705750,,jobs in dixons mills alabama
11,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring', 'jobs in dixons mills alabama hiring 15 year olds')",jobs in dixons mills alabama hiring,jobs in dixons mills alabama hiring 15 year olds,5,1,google,2025-10-28 20:02:34.705750,,jobs in dixons mills alabama
12,jobs in dixons mills alabama,"('jobs in dixons mills alabama area', 'jobs in dixons mills alabama area hiring')",jobs in dixons mills alabama area,jobs in dixons mills alabama area hiring,1,1,google,2025-10-28 20:02:35.910480,,jobs in dixons mills alabama
13,jobs in dixons mills alabama,"('jobs in dixons mills alabama area', 'jobs in dixons mills alabama area indeed')",jobs in dixons mills alabama area,jobs in dixons mills alabama area indeed,2,1,google,2025-10-28 20:02:35.910480,,jobs in dixons mills alabama
14,jobs in dixons mills alabama,"('jobs in dixons mills alabama area', 'jobs in dixons mills alabama area hiring now')",jobs in dixons mills alabama area,jobs in dixons mills alabama area hiring now,3,1,google,2025-10-28 20:02:35.910480,,jobs in dixons mills alabama
15,jobs in dixons mills alabama,"('jobs in dixons mills alabama area', 'jobs in dixons mills alabama area for 16 year olds')",jobs in dixons mills alabama area,jobs in dixons mills alabama area for 16 year olds,4,1,google,2025-10-28 20:02:35.910480,,jobs in dixons mills alabama
16,jobs in dixons mills alabama,"('jobs in dixons mills alabama area', 'jobs in dixons mills alabama areas')",jobs in dixons mills alabama area,jobs in dixons mills alabama areas,5,1,google,2025-10-28 20:02:35.910480,,jobs in dixons mills alabama
17,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring now', 'jobs in dixons mills alabama hiring now part time')",jobs in dixons mills alabama hiring now,jobs in dixons mills alabama hiring now part time,1,1,google,2025-10-28 20:02:37.058873,,jobs in dixons mills alabama
18,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring now', 'jobs in dixons mills alabama hiring now 2024')",jobs in dixons mills alabama hiring now,jobs in dixons mills alabama hiring now 2024,2,1,google,2025-10-28 20:02:37.058873,,jobs in dixons mills alabama
19,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring now', 'jobs in dixons mills alabama hiring now hiring')",jobs in dixons mills alabama hiring now,jobs in dixons mills alabama hiring now hiring,3,1,google,2025-10-28 20:02:37.058873,,jobs in dixons mills alabama
20,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring now', 'jobs in dixons mills alabama hiring now no experience')",jobs in dixons mills alabama hiring now,jobs in dixons mills alabama hiring now no experience,4,1,google,2025-10-28 20:02:37.058873,,jobs in dixons mills alabama
21,jobs in dixons mills alabama,"('jobs in dixons mills alabama hiring now', 'jobs in dixons mills alabama hiring now no experience needed')",jobs in dixons mills alabama hiring now,jobs in dixons mills alabama hiring now no experience needed,5,1,google,2025-10-28 20:02:37.058873,,jobs in dixons mills alabama
22,jobs in dixons mills alabama,"('jobs in dixons mills alabama part time', 'jobs in dixons mills alabama part time jobs')",jobs in dixons mills alabama part time,jobs in dixons mills alabama part time jobs,1,1,google,2025-10-28 20:02:38.290918,,jobs in dixons mills alabama
23,jobs in dixons mills alabama,"('jobs in dixons mills alabama part time', 'jobs in dixons mills alabama part time part time')",jobs in dixons mills alabama part time,jobs in dixons mills alabama part time part time,2,1,google,2025-10-28 20:02:38.290918,,jobs in dixons mills alabama
24,jobs in dixons mills alabama,"('jobs in dixons mills alabama part time', 'jobs in dixons mills alabama part time no experience')",jobs in dixons mills alabama part time,jobs in dixons mills alabama part time no experience,3,1,google,2025-10-28 20:02:38.290918,,jobs in dixons mills alabama
25,jobs in dixons mills alabama,"('jobs in dixons mills alabama part time', 'jobs in dixons mills alabama part time no experience needed')",jobs in dixons mills alabama part time,jobs in dixons mills alabama part time no experience needed,4,1,google,2025-10-28 20:02:38.290918,,jobs in dixons mills alabama
