,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dumas arkansas,"('jobs in dumas arkansas', 'jobs hiring in dumas arkansas')",jobs in dumas arkansas,jobs hiring in dumas arkansas,1,0,google,2025-10-29 18:11:52.533619,,
1,jobs in dumas arkansas,"('jobs in dumas arkansas', 'jobs in dumas')",jobs in dumas arkansas,jobs in dumas,2,0,google,2025-10-29 18:11:52.533619,,
2,jobs in dumas arkansas,"('jobs in dumas arkansas', 'jobs in dumas ar')",jobs in dumas arkansas,jobs in dumas ar,3,0,google,2025-10-29 18:11:52.533619,,
3,jobs in dumas arkansas,"('jobs hiring in dumas arkansas', 'jobs near dumas arkansas')",jobs hiring in dumas arkansas,jobs near dumas arkansas,1,1,google,2025-10-29 18:11:53.724666,,jobs in dumas arkansas
4,jobs in dumas arkansas,"('jobs hiring in dumas arkansas', 'jobs hiring in dumas ar')",jobs hiring in dumas arkansas,jobs hiring in dumas ar,2,1,google,2025-10-29 18:11:53.724666,,jobs in dumas arkansas
5,jobs in dumas arkansas,"('jobs hiring in dumas arkansas', 'jobs dumas ar')",jobs hiring in dumas arkansas,jobs dumas ar,3,1,google,2025-10-29 18:11:53.724666,,jobs in dumas arkansas
6,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx')",jobs in dumas,jobs in dumas tx,1,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
7,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas ar')",jobs in dumas,jobs in dumas ar,2,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
8,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx no degree')",jobs in dumas,jobs in dumas tx no degree,3,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
9,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx no experience')",jobs in dumas,jobs in dumas tx no experience,4,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
10,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx in the last 3 days')",jobs in dumas,jobs in dumas tx in the last 3 days,5,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
11,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx part time')",jobs in dumas,jobs in dumas tx part time,6,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
12,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx remote')",jobs in dumas,jobs in dumas tx remote,7,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
13,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas t')",jobs in dumas,jobs in dumas t,8,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
14,jobs in dumas arkansas,"('jobs in dumas', 'jobs in dumas tx full time')",jobs in dumas,jobs in dumas tx full time,9,1,google,2025-10-29 18:11:55.056363,,jobs in dumas arkansas
15,jobs in dumas arkansas,"('jobs in dumas ar', 'jobs hiring in dumas ar')",jobs in dumas ar,jobs hiring in dumas ar,1,1,google,2025-10-29 18:11:55.853949,,jobs in dumas arkansas
16,jobs in dumas arkansas,"('jobs in dumas ar', 'part time jobs in dumas ar')",jobs in dumas ar,part time jobs in dumas ar,2,1,google,2025-10-29 18:11:55.853949,,jobs in dumas arkansas
17,jobs in dumas arkansas,"('jobs in dumas ar', 'jobs in dumas')",jobs in dumas ar,jobs in dumas,3,1,google,2025-10-29 18:11:55.853949,,jobs in dumas arkansas
18,jobs in dumas arkansas,"('jobs in dumas ar', 'jobs in dumas arkansas')",jobs in dumas ar,jobs in dumas arkansas,4,1,google,2025-10-29 18:11:55.853949,,jobs in dumas arkansas
