,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas area')",jobs in dyess arkansas,jobs in dyess arkansas area,1,0,google,2025-10-29 18:12:47.117068,,
1,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas hiring')",jobs in dyess arkansas,jobs in dyess arkansas hiring,2,0,google,2025-10-29 18:12:47.117068,,
2,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas hiring now')",jobs in dyess arkansas,jobs in dyess arkansas hiring now,3,0,google,2025-10-29 18:12:47.117068,,
3,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas for 16 year olds')",jobs in dyess arkansas,jobs in dyess arkansas for 16 year olds,4,0,google,2025-10-29 18:12:47.117068,,
4,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas 2024')",jobs in dyess arkansas,jobs in dyess arkansas 2024,5,0,google,2025-10-29 18:12:47.117068,,
5,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas population')",jobs in dyess arkansas,jobs in dyess arkansas population,6,0,google,2025-10-29 18:12:47.117068,,
6,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas weather')",jobs in dyess arkansas,jobs in dyess arkansas weather,7,0,google,2025-10-29 18:12:47.117068,,
7,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas directions')",jobs in dyess arkansas,jobs in dyess arkansas directions,8,0,google,2025-10-29 18:12:47.117068,,
8,jobs in dyess arkansas,"('jobs in dyess arkansas', 'jobs in dyess arkansas real estate')",jobs in dyess arkansas,jobs in dyess arkansas real estate,9,0,google,2025-10-29 18:12:47.117068,,
9,jobs in dyess arkansas,"('jobs in dyess arkansas area', 'jobs in dyess arkansas area area')",jobs in dyess arkansas area,jobs in dyess arkansas area area,1,1,google,2025-10-29 18:12:48.209416,,jobs in dyess arkansas
10,jobs in dyess arkansas,"('jobs in dyess arkansas area', 'jobs in dyess arkansas area hiring')",jobs in dyess arkansas area,jobs in dyess arkansas area hiring,2,1,google,2025-10-29 18:12:48.209416,,jobs in dyess arkansas
11,jobs in dyess arkansas,"('jobs in dyess arkansas area', 'jobs in dyess arkansas area hiring now')",jobs in dyess arkansas area,jobs in dyess arkansas area hiring now,3,1,google,2025-10-29 18:12:48.209416,,jobs in dyess arkansas
12,jobs in dyess arkansas,"('jobs in dyess arkansas area', 'jobs in dyess arkansas area for 16 year olds')",jobs in dyess arkansas area,jobs in dyess arkansas area for 16 year olds,4,1,google,2025-10-29 18:12:48.209416,,jobs in dyess arkansas
13,jobs in dyess arkansas,"('jobs in dyess arkansas area', 'jobs in dyess arkansas area 2024')",jobs in dyess arkansas area,jobs in dyess arkansas area 2024,5,1,google,2025-10-29 18:12:48.209416,,jobs in dyess arkansas
14,jobs in dyess arkansas,"('jobs in dyess arkansas hiring', 'jobs in dyess arkansas hiring now')",jobs in dyess arkansas hiring,jobs in dyess arkansas hiring now,1,1,google,2025-10-29 18:12:49.565365,,jobs in dyess arkansas
15,jobs in dyess arkansas,"('jobs in dyess arkansas hiring', 'jobs in dyess arkansas hiring immediately')",jobs in dyess arkansas hiring,jobs in dyess arkansas hiring immediately,2,1,google,2025-10-29 18:12:49.565365,,jobs in dyess arkansas
16,jobs in dyess arkansas,"('jobs in dyess arkansas hiring', 'jobs in dyess arkansas hiring right now')",jobs in dyess arkansas hiring,jobs in dyess arkansas hiring right now,3,1,google,2025-10-29 18:12:49.565365,,jobs in dyess arkansas
17,jobs in dyess arkansas,"('jobs in dyess arkansas hiring', 'jobs in dyess arkansas hiring 16 year olds')",jobs in dyess arkansas hiring,jobs in dyess arkansas hiring 16 year olds,4,1,google,2025-10-29 18:12:49.565365,,jobs in dyess arkansas
18,jobs in dyess arkansas,"('jobs in dyess arkansas hiring', 'jobs in dyess arkansas hiring 15 year olds')",jobs in dyess arkansas hiring,jobs in dyess arkansas hiring 15 year olds,5,1,google,2025-10-29 18:12:49.565365,,jobs in dyess arkansas
19,jobs in dyess arkansas,"('jobs in dyess arkansas hiring now', 'jobs in dyess arkansas hiring now 2024')",jobs in dyess arkansas hiring now,jobs in dyess arkansas hiring now 2024,1,1,google,2025-10-29 18:12:50.976948,,jobs in dyess arkansas
20,jobs in dyess arkansas,"('jobs in dyess arkansas hiring now', 'jobs in dyess arkansas hiring now part time')",jobs in dyess arkansas hiring now,jobs in dyess arkansas hiring now part time,2,1,google,2025-10-29 18:12:50.976948,,jobs in dyess arkansas
21,jobs in dyess arkansas,"('jobs in dyess arkansas hiring now', 'jobs in dyess arkansas hiring now no experience')",jobs in dyess arkansas hiring now,jobs in dyess arkansas hiring now no experience,3,1,google,2025-10-29 18:12:50.976948,,jobs in dyess arkansas
