,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in eastaboga alabama,"('jobs in eastaboga alabama', 'jobs in eastaboga al')",jobs in eastaboga alabama,jobs in eastaboga al,1,0,google,2025-10-28 20:09:56.019552,,
1,jobs in eastaboga alabama,"('jobs in eastaboga alabama', 'jobs in etowah county')",jobs in eastaboga alabama,jobs in etowah county,2,0,google,2025-10-28 20:09:56.019552,,
2,jobs in eastaboga alabama,"('jobs in eastaboga alabama', 'jobs in etowah county alabama')",jobs in eastaboga alabama,jobs in etowah county alabama,3,0,google,2025-10-28 20:09:56.019552,,
3,jobs in eastaboga alabama,"('jobs in eastaboga alabama', 'eastaboga alabama')",jobs in eastaboga alabama,eastaboga alabama,4,0,google,2025-10-28 20:09:56.019552,,
4,jobs in eastaboga alabama,"('jobs in eastaboga al', 'jobs in eastanollee ga')",jobs in eastaboga al,jobs in eastanollee ga,1,1,google,2025-10-28 20:09:57.271764,,jobs in eastaboga alabama
5,jobs in eastaboga alabama,"('jobs in eastaboga al', 'jobs in east tawas')",jobs in eastaboga al,jobs in east tawas,2,1,google,2025-10-28 20:09:57.271764,,jobs in eastaboga alabama
6,jobs in eastaboga alabama,"('jobs in eastaboga al', 'jobs in etowah county')",jobs in eastaboga al,jobs in etowah county,3,1,google,2025-10-28 20:09:57.271764,,jobs in eastaboga alabama
7,jobs in eastaboga alabama,"('jobs in etowah county', 'jobs in etowah county alabama')",jobs in etowah county,jobs in etowah county alabama,1,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
8,jobs in eastaboga alabama,"('jobs in etowah county', 'jobs hiring in etowah county')",jobs in etowah county,jobs hiring in etowah county,2,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
9,jobs in eastaboga alabama,"('jobs in etowah county', 'teaching jobs in etowah county alabama')",jobs in etowah county,teaching jobs in etowah county alabama,3,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
10,jobs in eastaboga alabama,"('jobs in etowah county', 'jobs etowah county schools')",jobs in etowah county,jobs etowah county schools,4,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
11,jobs in eastaboga alabama,"('jobs in etowah county', 'part time jobs in etowah county al')",jobs in etowah county,part time jobs in etowah county al,5,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
12,jobs in eastaboga alabama,"('jobs in etowah county', 'part time jobs in etowah county')",jobs in etowah county,part time jobs in etowah county,6,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
13,jobs in eastaboga alabama,"('jobs in etowah county', 'jobs at etowah county board of education')",jobs in etowah county,jobs at etowah county board of education,7,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
14,jobs in eastaboga alabama,"('jobs in etowah county', 'jobs near etowah county al')",jobs in etowah county,jobs near etowah county al,8,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
15,jobs in eastaboga alabama,"('jobs in etowah county', 'etowah county commission jobs')",jobs in etowah county,etowah county commission jobs,9,1,google,2025-10-28 20:09:58.178107,,jobs in eastaboga alabama
16,jobs in eastaboga alabama,"('jobs in etowah county alabama', 'teaching jobs in etowah county alabama')",jobs in etowah county alabama,teaching jobs in etowah county alabama,1,1,google,2025-10-28 20:09:59.044098,,jobs in eastaboga alabama
17,jobs in eastaboga alabama,"('jobs in etowah county alabama', 'part time jobs in etowah county al')",jobs in etowah county alabama,part time jobs in etowah county al,2,1,google,2025-10-28 20:09:59.044098,,jobs in eastaboga alabama
18,jobs in eastaboga alabama,"('jobs in etowah county alabama', 'jobs near etowah county al')",jobs in etowah county alabama,jobs near etowah county al,3,1,google,2025-10-28 20:09:59.044098,,jobs in eastaboga alabama
19,jobs in eastaboga alabama,"('jobs in etowah county alabama', 'jobs in etowah county')",jobs in etowah county alabama,jobs in etowah county,4,1,google,2025-10-28 20:09:59.044098,,jobs in eastaboga alabama
