,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in elba alabama,"('jobs in elba alabama', 'jobs hiring in elba alabama')",jobs in elba alabama,jobs hiring in elba alabama,1,0,google,2025-10-28 20:14:06.784202,,
1,jobs in elba alabama,"('jobs in elba alabama', 'work release in elba alabama')",jobs in elba alabama,work release in elba alabama,2,0,google,2025-10-28 20:14:06.784202,,
2,jobs in elba alabama,"('jobs in elba alabama', 'jobs in elba al')",jobs in elba alabama,jobs in elba al,3,0,google,2025-10-28 20:14:06.784202,,
3,jobs in elba alabama,"('jobs hiring in elba alabama', 'jobs near elba alabama')",jobs hiring in elba alabama,jobs near elba alabama,1,1,google,2025-10-28 20:14:08.182926,,jobs in elba alabama
4,jobs in elba alabama,"('jobs hiring in elba alabama', 'jobs hiring near elba al')",jobs hiring in elba alabama,jobs hiring near elba al,2,1,google,2025-10-28 20:14:08.182926,,jobs in elba alabama
5,jobs in elba alabama,"('jobs hiring in elba alabama', 'jobs elba al')",jobs hiring in elba alabama,jobs elba al,3,1,google,2025-10-28 20:14:08.182926,,jobs in elba alabama
6,jobs in elba alabama,"('work release in elba alabama', 'elba work release elba alabama')",work release in elba alabama,elba work release elba alabama,1,1,google,2025-10-28 20:14:09.670791,,jobs in elba alabama
7,jobs in elba alabama,"('work release in elba alabama', 'work release center elba photos')",work release in elba alabama,work release center elba photos,2,1,google,2025-10-28 20:14:09.670791,,jobs in elba alabama
8,jobs in elba alabama,"('work release in elba alabama', 'elba work release elba al')",work release in elba alabama,elba work release elba al,3,1,google,2025-10-28 20:14:09.670791,,jobs in elba alabama
9,jobs in elba alabama,"('work release in elba alabama', 'elba work release center')",work release in elba alabama,elba work release center,4,1,google,2025-10-28 20:14:09.670791,,jobs in elba alabama
10,jobs in elba alabama,"('jobs in elba al', 'jobs hiring in elba al')",jobs in elba al,jobs hiring in elba al,1,1,google,2025-10-28 20:14:10.816970,,jobs in elba alabama
11,jobs in elba alabama,"('jobs in elba al', 'work release in elba alabama')",jobs in elba al,work release in elba alabama,2,1,google,2025-10-28 20:14:10.816970,,jobs in elba alabama
12,jobs in elba alabama,"('jobs in elba al', 'jobs in elba alabama')",jobs in elba al,jobs in elba alabama,3,1,google,2025-10-28 20:14:10.816970,,jobs in elba alabama
13,jobs in elba alabama,"('jobs in elba al', 'jobs in elberta alabama')",jobs in elba al,jobs in elberta alabama,4,1,google,2025-10-28 20:14:10.816970,,jobs in elba alabama
14,jobs in elba alabama,"('jobs near elba alabama', 'jobs hiring near elba al')",jobs near elba alabama,jobs hiring near elba al,1,2,google,2025-10-28 20:14:11.703589,jobs in elba alabama,jobs hiring in elba alabama
15,jobs in elba alabama,"('jobs near elba alabama', 'jobs near elba al')",jobs near elba alabama,jobs near elba al,2,2,google,2025-10-28 20:14:11.703589,jobs in elba alabama,jobs hiring in elba alabama
16,jobs in elba alabama,"('jobs hiring near elba al', 'jobs near elba al')",jobs hiring near elba al,jobs near elba al,1,2,google,2025-10-28 20:14:12.834439,jobs in elba alabama,jobs hiring in elba alabama
17,jobs in elba alabama,"('jobs hiring near elba al', 'jobs in elba alabama')",jobs hiring near elba al,jobs in elba alabama,2,2,google,2025-10-28 20:14:12.834439,jobs in elba alabama,jobs hiring in elba alabama
18,jobs in elba alabama,"('jobs elba al', 'indeed jobs elba al')",jobs elba al,indeed jobs elba al,1,2,google,2025-10-28 20:14:14.007094,jobs in elba alabama,jobs hiring in elba alabama
19,jobs in elba alabama,"('jobs elba al', 'jobs hiring elba al')",jobs elba al,jobs hiring elba al,2,2,google,2025-10-28 20:14:14.007094,jobs in elba alabama,jobs hiring in elba alabama
20,jobs in elba alabama,"('jobs elba al', 'part time jobs elba al')",jobs elba al,part time jobs elba al,3,2,google,2025-10-28 20:14:14.007094,jobs in elba alabama,jobs hiring in elba alabama
21,jobs in elba alabama,"('jobs elba al', 'jobs in elba alabama')",jobs elba al,jobs in elba alabama,4,2,google,2025-10-28 20:14:14.007094,jobs in elba alabama,jobs hiring in elba alabama
22,jobs in elba alabama,"('elba work release elba alabama', 'elba dishwasher e4 error')",elba work release elba alabama,elba dishwasher e4 error,1,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
23,jobs in elba alabama,"('elba work release elba alabama', 'elba dishwasher e1 error')",elba work release elba alabama,elba dishwasher e1 error,2,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
24,jobs in elba alabama,"('elba work release elba alabama', 'elba dishwasher e5 error')",elba work release elba alabama,elba dishwasher e5 error,3,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
25,jobs in elba alabama,"('elba work release elba alabama', 'elba work release elba al')",elba work release elba alabama,elba work release elba al,4,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
26,jobs in elba alabama,"('elba work release elba alabama', 'elba work release center')",elba work release elba alabama,elba work release center,5,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
27,jobs in elba alabama,"('elba work release elba alabama', 'elba work release')",elba work release elba alabama,elba work release,6,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
28,jobs in elba alabama,"('elba work release elba alabama', 'elba alabama work release')",elba work release elba alabama,elba alabama work release,7,2,google,2025-10-28 20:14:14.985961,jobs in elba alabama,work release in elba alabama
29,jobs in elba alabama,"('work release center elba photos', 'elba work release center')",work release center elba photos,elba work release center,1,2,google,2025-10-28 20:14:15.999572,jobs in elba alabama,work release in elba alabama
30,jobs in elba alabama,"('work release center elba photos', 'elba work release elba al')",work release center elba photos,elba work release elba al,2,2,google,2025-10-28 20:14:15.999572,jobs in elba alabama,work release in elba alabama
