,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas area')",jobs in elm springs arkansas,jobs in elm springs arkansas area,1,0,google,2025-10-29 18:20:57.367737,,
1,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas hiring')",jobs in elm springs arkansas,jobs in elm springs arkansas hiring,2,0,google,2025-10-29 18:20:57.367737,,
2,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas hiring now')",jobs in elm springs arkansas,jobs in elm springs arkansas hiring now,3,0,google,2025-10-29 18:20:57.367737,,
3,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas for 16 year olds')",jobs in elm springs arkansas,jobs in elm springs arkansas for 16 year olds,4,0,google,2025-10-29 18:20:57.367737,,
4,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas for 15 year olds')",jobs in elm springs arkansas,jobs in elm springs arkansas for 15 year olds,5,0,google,2025-10-29 18:20:57.367737,,
5,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas homes for sale')",jobs in elm springs arkansas,jobs in elm springs arkansas homes for sale,6,0,google,2025-10-29 18:20:57.367737,,
6,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs arkansas walmart')",jobs in elm springs arkansas,jobs in elm springs arkansas walmart,7,0,google,2025-10-29 18:20:57.367737,,
7,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs ar school district')",jobs in elm springs arkansas,jobs in elm springs ar school district,8,0,google,2025-10-29 18:20:57.367737,,
8,jobs in elm springs arkansas,"('jobs in elm springs arkansas', 'jobs in elm springs ar')",jobs in elm springs arkansas,jobs in elm springs ar,9,0,google,2025-10-29 18:20:57.367737,,
9,jobs in elm springs arkansas,"('jobs in elm springs arkansas area', 'jobs in elm springs arkansas area area')",jobs in elm springs arkansas area,jobs in elm springs arkansas area area,1,1,google,2025-10-29 18:20:58.484234,,jobs in elm springs arkansas
10,jobs in elm springs arkansas,"('jobs in elm springs arkansas area', 'jobs in elm springs arkansas area hiring')",jobs in elm springs arkansas area,jobs in elm springs arkansas area hiring,2,1,google,2025-10-29 18:20:58.484234,,jobs in elm springs arkansas
11,jobs in elm springs arkansas,"('jobs in elm springs arkansas area', 'jobs in elm springs arkansas areas')",jobs in elm springs arkansas area,jobs in elm springs arkansas areas,3,1,google,2025-10-29 18:20:58.484234,,jobs in elm springs arkansas
12,jobs in elm springs arkansas,"('jobs in elm springs arkansas area', 'jobs in elm springs arkansas area for 16 year olds')",jobs in elm springs arkansas area,jobs in elm springs arkansas area for 16 year olds,4,1,google,2025-10-29 18:20:58.484234,,jobs in elm springs arkansas
13,jobs in elm springs arkansas,"('jobs in elm springs arkansas area', 'jobs in elm springs arkansas area hiring now')",jobs in elm springs arkansas area,jobs in elm springs arkansas area hiring now,5,1,google,2025-10-29 18:20:58.484234,,jobs in elm springs arkansas
14,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring', 'jobs in elm springs arkansas hiring now')",jobs in elm springs arkansas hiring,jobs in elm springs arkansas hiring now,1,1,google,2025-10-29 18:20:59.483628,,jobs in elm springs arkansas
15,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring', 'jobs in elm springs arkansas hiring immediately')",jobs in elm springs arkansas hiring,jobs in elm springs arkansas hiring immediately,2,1,google,2025-10-29 18:20:59.483628,,jobs in elm springs arkansas
16,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring', 'jobs in elm springs arkansas hiring right now')",jobs in elm springs arkansas hiring,jobs in elm springs arkansas hiring right now,3,1,google,2025-10-29 18:20:59.483628,,jobs in elm springs arkansas
17,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring', 'jobs in elm springs arkansas hiring 16 year olds')",jobs in elm springs arkansas hiring,jobs in elm springs arkansas hiring 16 year olds,4,1,google,2025-10-29 18:20:59.483628,,jobs in elm springs arkansas
18,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring', 'jobs in elm springs arkansas hiring 15 year olds')",jobs in elm springs arkansas hiring,jobs in elm springs arkansas hiring 15 year olds,5,1,google,2025-10-29 18:20:59.483628,,jobs in elm springs arkansas
19,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring now', 'jobs in elm springs arkansas hiring now 2024')",jobs in elm springs arkansas hiring now,jobs in elm springs arkansas hiring now 2024,1,1,google,2025-10-29 18:21:00.332283,,jobs in elm springs arkansas
20,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring now', 'jobs in elm springs arkansas hiring now part time')",jobs in elm springs arkansas hiring now,jobs in elm springs arkansas hiring now part time,2,1,google,2025-10-29 18:21:00.332283,,jobs in elm springs arkansas
21,jobs in elm springs arkansas,"('jobs in elm springs arkansas hiring now', 'jobs in elm springs arkansas hiring now no experience')",jobs in elm springs arkansas hiring now,jobs in elm springs arkansas hiring now no experience,3,1,google,2025-10-29 18:21:00.332283,,jobs in elm springs arkansas
