,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas area')",jobs in enola arkansas,jobs in enola arkansas area,1,0,google,2025-10-29 18:32:04.137993,,
1,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas hiring')",jobs in enola arkansas,jobs in enola arkansas hiring,2,0,google,2025-10-29 18:32:04.137993,,
2,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas hiring now')",jobs in enola arkansas,jobs in enola arkansas hiring now,3,0,google,2025-10-29 18:32:04.137993,,
3,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas for 16 year olds')",jobs in enola arkansas,jobs in enola arkansas for 16 year olds,4,0,google,2025-10-29 18:32:04.137993,,
4,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas for 15 year olds')",jobs in enola arkansas,jobs in enola arkansas for 15 year olds,5,0,google,2025-10-29 18:32:04.137993,,
5,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas history')",jobs in enola arkansas,jobs in enola arkansas history,6,0,google,2025-10-29 18:32:04.137993,,
6,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas map')",jobs in enola arkansas,jobs in enola arkansas map,7,0,google,2025-10-29 18:32:04.137993,,
7,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas weather')",jobs in enola arkansas,jobs in enola arkansas weather,8,0,google,2025-10-29 18:32:04.137993,,
8,jobs in enola arkansas,"('jobs in enola arkansas', 'jobs in enola arkansas real estate')",jobs in enola arkansas,jobs in enola arkansas real estate,9,0,google,2025-10-29 18:32:04.137993,,
9,jobs in enola arkansas,"('jobs in enola arkansas area', 'jobs in enola arkansas area hiring')",jobs in enola arkansas area,jobs in enola arkansas area hiring,1,1,google,2025-10-29 18:32:05.228081,,jobs in enola arkansas
10,jobs in enola arkansas,"('jobs in enola arkansas area', 'jobs in enola arkansas area area')",jobs in enola arkansas area,jobs in enola arkansas area area,2,1,google,2025-10-29 18:32:05.228081,,jobs in enola arkansas
11,jobs in enola arkansas,"('jobs in enola arkansas area', 'jobs in enola arkansas area for 16 year olds')",jobs in enola arkansas area,jobs in enola arkansas area for 16 year olds,3,1,google,2025-10-29 18:32:05.228081,,jobs in enola arkansas
12,jobs in enola arkansas,"('jobs in enola arkansas area', 'jobs in enola arkansas areas')",jobs in enola arkansas area,jobs in enola arkansas areas,4,1,google,2025-10-29 18:32:05.228081,,jobs in enola arkansas
