,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in eutaw alabama,"('jobs in eutaw alabama', 'jobs in eutaw al')",jobs in eutaw alabama,jobs in eutaw al,1,0,google,2025-10-28 20:27:40.451532,,
1,jobs in eutaw alabama,"('jobs in eutaw alabama', 'jobs in eufaula alabama')",jobs in eutaw alabama,jobs in eufaula alabama,2,0,google,2025-10-28 20:27:40.451532,,
2,jobs in eutaw alabama,"('jobs in eutaw alabama', 'jobs in etowah county alabama')",jobs in eutaw alabama,jobs in etowah county alabama,3,0,google,2025-10-28 20:27:40.451532,,
3,jobs in eutaw alabama,"('jobs in eutaw al', 'jobs hiring eutaw al')",jobs in eutaw al,jobs hiring eutaw al,1,1,google,2025-10-28 20:27:41.630907,,jobs in eutaw alabama
4,jobs in eutaw alabama,"('jobs in eutaw al', 'jobs in eutawville sc')",jobs in eutaw al,jobs in eutawville sc,2,1,google,2025-10-28 20:27:41.630907,,jobs in eutaw alabama
5,jobs in eutaw alabama,"('jobs in eutaw al', 'jobs in eufaula alabama')",jobs in eutaw al,jobs in eufaula alabama,3,1,google,2025-10-28 20:27:41.630907,,jobs in eutaw alabama
6,jobs in eutaw alabama,"('jobs in eufaula alabama', 'jobs in eufaula al')",jobs in eufaula alabama,jobs in eufaula al,1,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
7,jobs in eutaw alabama,"('jobs in eufaula alabama', 'jobs hiring in eufaula alabama')",jobs in eufaula alabama,jobs hiring in eufaula alabama,2,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
8,jobs in eutaw alabama,"('jobs in eufaula alabama', 'security jobs in eufaula alabama')",jobs in eufaula alabama,security jobs in eufaula alabama,3,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
9,jobs in eutaw alabama,"('jobs in eufaula alabama', 'jobs available in eufaula alabama')",jobs in eufaula alabama,jobs available in eufaula alabama,4,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
10,jobs in eutaw alabama,"('jobs in eufaula alabama', 'warehouse jobs in eufaula alabama')",jobs in eufaula alabama,warehouse jobs in eufaula alabama,5,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
11,jobs in eutaw alabama,"('jobs in eufaula alabama', 'part time jobs in eufaula alabama')",jobs in eufaula alabama,part time jobs in eufaula alabama,6,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
12,jobs in eutaw alabama,"('jobs in eufaula alabama', 'places hiring in eufaula alabama')",jobs in eufaula alabama,places hiring in eufaula alabama,7,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
13,jobs in eutaw alabama,"('jobs in eufaula alabama', 'rn jobs in eufaula al')",jobs in eufaula alabama,rn jobs in eufaula al,8,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
14,jobs in eutaw alabama,"('jobs in eufaula alabama', 'indeed jobs in eufaula al')",jobs in eufaula alabama,indeed jobs in eufaula al,9,1,google,2025-10-28 20:27:43.068492,,jobs in eutaw alabama
15,jobs in eutaw alabama,"('jobs in etowah county alabama', 'teaching jobs in etowah county alabama')",jobs in etowah county alabama,teaching jobs in etowah county alabama,1,1,google,2025-10-28 20:27:44.348226,,jobs in eutaw alabama
16,jobs in eutaw alabama,"('jobs in etowah county alabama', 'part time jobs in etowah county al')",jobs in etowah county alabama,part time jobs in etowah county al,2,1,google,2025-10-28 20:27:44.348226,,jobs in eutaw alabama
17,jobs in eutaw alabama,"('jobs in etowah county alabama', 'jobs near etowah county al')",jobs in etowah county alabama,jobs near etowah county al,3,1,google,2025-10-28 20:27:44.348226,,jobs in eutaw alabama
18,jobs in eutaw alabama,"('jobs in etowah county alabama', 'jobs in etowah county')",jobs in etowah county alabama,jobs in etowah county,4,1,google,2025-10-28 20:27:44.348226,,jobs in eutaw alabama
19,jobs in eutaw alabama,"('jobs hiring eutaw al', 'jobs in eutaw al')",jobs hiring eutaw al,jobs in eutaw al,1,2,google,2025-10-28 20:27:45.361066,jobs in eutaw alabama,jobs in eutaw al
20,jobs in eutaw alabama,"('jobs hiring eutaw al', 'jobs hiring eufaula al')",jobs hiring eutaw al,jobs hiring eufaula al,2,2,google,2025-10-28 20:27:45.361066,jobs in eutaw alabama,jobs in eutaw al
21,jobs in eutaw alabama,"('jobs hiring eutaw al', 'jobs hiring in eufaula alabama')",jobs hiring eutaw al,jobs hiring in eufaula alabama,3,2,google,2025-10-28 20:27:45.361066,jobs in eutaw alabama,jobs in eutaw al
22,jobs in eutaw alabama,"('jobs in eutawville sc', 'jobs in eutaw al')",jobs in eutawville sc,jobs in eutaw al,1,2,google,2025-10-28 20:27:46.157431,jobs in eutaw alabama,jobs in eutaw al
23,jobs in eutaw alabama,"('jobs in eufaula al', 'jobs in eufaula alabama')",jobs in eufaula al,jobs in eufaula alabama,1,2,google,2025-10-28 20:27:47.248423,jobs in eutaw alabama,jobs in eufaula alabama
24,jobs in eutaw alabama,"('jobs in eufaula al', 'hiring in eufaula al')",jobs in eufaula al,hiring in eufaula al,2,2,google,2025-10-28 20:27:47.248423,jobs in eutaw alabama,jobs in eufaula alabama
