,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in evergreen alabama,"('jobs in evergreen alabama', 'jobs hiring in evergreen alabama')",jobs in evergreen alabama,jobs hiring in evergreen alabama,1,0,google,2025-10-28 20:28:50.057942,,
1,jobs in evergreen alabama,"('jobs in evergreen alabama', 'jobs available in evergreen al')",jobs in evergreen alabama,jobs available in evergreen al,2,0,google,2025-10-28 20:28:50.057942,,
2,jobs in evergreen alabama,"('jobs in evergreen alabama', 'jobs in evergreen')",jobs in evergreen alabama,jobs in evergreen,3,0,google,2025-10-28 20:28:50.057942,,
3,jobs in evergreen alabama,"('jobs in evergreen alabama', 'jobs hiring in evergreen al')",jobs in evergreen alabama,jobs hiring in evergreen al,4,0,google,2025-10-28 20:28:50.057942,,
4,jobs in evergreen alabama,"('jobs hiring in evergreen alabama', 'jobs available in evergreen al')",jobs hiring in evergreen alabama,jobs available in evergreen al,1,1,google,2025-10-28 20:28:51.438055,,jobs in evergreen alabama
5,jobs in evergreen alabama,"('jobs hiring in evergreen alabama', 'jobs near evergreen alabama')",jobs hiring in evergreen alabama,jobs near evergreen alabama,2,1,google,2025-10-28 20:28:51.438055,,jobs in evergreen alabama
6,jobs in evergreen alabama,"('jobs hiring in evergreen alabama', 'jobs hiring in evergreen al')",jobs hiring in evergreen alabama,jobs hiring in evergreen al,3,1,google,2025-10-28 20:28:51.438055,,jobs in evergreen alabama
7,jobs in evergreen alabama,"('jobs hiring in evergreen alabama', 'jobs in evergreen al')",jobs hiring in evergreen alabama,jobs in evergreen al,4,1,google,2025-10-28 20:28:51.438055,,jobs in evergreen alabama
8,jobs in evergreen alabama,"('jobs available in evergreen al', 'jobs hiring in evergreen al')",jobs available in evergreen al,jobs hiring in evergreen al,1,1,google,2025-10-28 20:28:52.716846,,jobs in evergreen alabama
9,jobs in evergreen alabama,"('jobs available in evergreen al', 'jobs in evergreen al')",jobs available in evergreen al,jobs in evergreen al,2,1,google,2025-10-28 20:28:52.716846,,jobs in evergreen alabama
10,jobs in evergreen alabama,"('jobs available in evergreen al', 'jobs in evergreen alabama')",jobs available in evergreen al,jobs in evergreen alabama,3,1,google,2025-10-28 20:28:52.716846,,jobs in evergreen alabama
11,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen co')",jobs in evergreen,jobs in evergreen co,1,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
12,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen alabama')",jobs in evergreen,jobs in evergreen alabama,2,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
13,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen park il')",jobs in evergreen,jobs in evergreen park il,3,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
14,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen park')",jobs in evergreen,jobs in evergreen park,4,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
15,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen school district')",jobs in evergreen,jobs in evergreen school district,5,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
16,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen san jose')",jobs in evergreen,jobs in evergreen san jose,6,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
17,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen saskatoon')",jobs in evergreen,jobs in evergreen saskatoon,7,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
18,jobs in evergreen alabama,"('jobs in evergreen', 'jobs in evergreen calgary')",jobs in evergreen,jobs in evergreen calgary,8,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
19,jobs in evergreen alabama,"('jobs in evergreen', 'evergreen university jobs')",jobs in evergreen,evergreen university jobs,9,1,google,2025-10-28 20:28:53.981868,,jobs in evergreen alabama
20,jobs in evergreen alabama,"('jobs hiring in evergreen al', 'jobs available in evergreen al')",jobs hiring in evergreen al,jobs available in evergreen al,1,1,google,2025-10-28 20:28:54.933551,,jobs in evergreen alabama
21,jobs in evergreen alabama,"('jobs hiring in evergreen al', 'jobs near evergreen al')",jobs hiring in evergreen al,jobs near evergreen al,2,1,google,2025-10-28 20:28:54.933551,,jobs in evergreen alabama
22,jobs in evergreen alabama,"('jobs hiring in evergreen al', 'jobs hiring near me evergreen al')",jobs hiring in evergreen al,jobs hiring near me evergreen al,3,1,google,2025-10-28 20:28:54.933551,,jobs in evergreen alabama
23,jobs in evergreen alabama,"('jobs hiring in evergreen al', 'jobs in evergreen alabama')",jobs hiring in evergreen al,jobs in evergreen alabama,4,1,google,2025-10-28 20:28:54.933551,,jobs in evergreen alabama
24,jobs in evergreen alabama,"('jobs near evergreen alabama', 'jobs hiring near evergreen al')",jobs near evergreen alabama,jobs hiring near evergreen al,1,2,google,2025-10-28 20:28:55.818179,jobs in evergreen alabama,jobs hiring in evergreen alabama
25,jobs in evergreen alabama,"('jobs near evergreen alabama', 'jobs near evergreen al')",jobs near evergreen alabama,jobs near evergreen al,2,2,google,2025-10-28 20:28:55.818179,jobs in evergreen alabama,jobs hiring in evergreen alabama
26,jobs in evergreen alabama,"('jobs in evergreen al', 'jobs in evergreen alabama')",jobs in evergreen al,jobs in evergreen alabama,1,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
27,jobs in evergreen alabama,"('jobs in evergreen al', 'jobs hiring in evergreen al')",jobs in evergreen al,jobs hiring in evergreen al,2,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
28,jobs in evergreen alabama,"('jobs in evergreen al', 'jobs available in evergreen al')",jobs in evergreen al,jobs available in evergreen al,3,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
29,jobs in evergreen alabama,"('jobs in evergreen al', 'part time jobs in evergreen al')",jobs in evergreen al,part time jobs in evergreen al,4,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
30,jobs in evergreen alabama,"('jobs in evergreen al', 'jobs near evergreen al')",jobs in evergreen al,jobs near evergreen al,5,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
31,jobs in evergreen alabama,"('jobs in evergreen al', 'evergreen life jobs')",jobs in evergreen al,evergreen life jobs,6,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
32,jobs in evergreen alabama,"('jobs in evergreen al', 'jobs in evergreen co')",jobs in evergreen al,jobs in evergreen co,7,2,google,2025-10-28 20:28:56.829078,jobs in evergreen alabama jobs in evergreen alabama,jobs hiring in evergreen alabama jobs available in evergreen al
33,jobs in evergreen alabama,"('jobs in evergreen co', 'jobs in evergreen co remote')",jobs in evergreen co,jobs in evergreen co remote,1,2,google,2025-10-28 20:28:57.736310,jobs in evergreen alabama,jobs in evergreen
34,jobs in evergreen alabama,"('jobs in evergreen co', 'jobs hiring in evergreen colorado')",jobs in evergreen co,jobs hiring in evergreen colorado,2,2,google,2025-10-28 20:28:57.736310,jobs in evergreen alabama,jobs in evergreen
35,jobs in evergreen alabama,"('jobs in evergreen co', 'jobs in evergreen co in the last 3 days')",jobs in evergreen co,jobs in evergreen co in the last 3 days,3,2,google,2025-10-28 20:28:57.736310,jobs in evergreen alabama,jobs in evergreen
36,jobs in evergreen alabama,"('jobs in evergreen co', 'teaching jobs in evergreen colorado')",jobs in evergreen co,teaching jobs in evergreen colorado,4,2,google,2025-10-28 20:28:57.736310,jobs in evergreen alabama,jobs in evergreen
37,jobs in evergreen alabama,"('jobs in evergreen co', 'horse jobs in evergreen co')",jobs in evergreen co,horse jobs in evergreen co,5,2,google,2025-10-28 20:28:57.736310,jobs in evergreen alabama,jobs in evergreen
