,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fairfield alabama,"('jobs in fairfield alabama', 'jobs hiring in fairfield al')",jobs in fairfield alabama,jobs hiring in fairfield al,1,0,google,2025-10-28 20:35:57.437937,,
1,jobs in fairfield alabama,"('jobs in fairfield alabama', 'jobs in fairfield al')",jobs in fairfield alabama,jobs in fairfield al,2,0,google,2025-10-28 20:35:57.437937,,
2,jobs in fairfield alabama,"('jobs in fairfield alabama', 'jobs in fairhope alabama')",jobs in fairfield alabama,jobs in fairhope alabama,3,0,google,2025-10-28 20:35:57.437937,,
3,jobs in fairfield alabama,"('jobs in fairfield alabama', 'jobs in fairhope al')",jobs in fairfield alabama,jobs in fairhope al,4,0,google,2025-10-28 20:35:57.437937,,
4,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring in birmingham al')",jobs hiring in fairfield al,jobs hiring in birmingham al,1,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
5,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring in birmingham al no degree')",jobs hiring in fairfield al,jobs hiring in birmingham al no degree,2,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
6,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring in birmingham al remote')",jobs hiring in fairfield al,jobs hiring in birmingham al remote,3,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
7,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring in birmingham al part time')",jobs hiring in fairfield al,jobs hiring in birmingham al part time,4,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
8,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring in birmingham al full time')",jobs hiring in fairfield al,jobs hiring in birmingham al full time,5,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
9,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'companies hiring in birmingham al')",jobs hiring in fairfield al,companies hiring in birmingham al,6,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
10,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs available in birmingham al')",jobs hiring in fairfield al,jobs available in birmingham al,7,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
11,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'now hiring in birmingham alabama')",jobs hiring in fairfield al,now hiring in birmingham alabama,8,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
12,jobs in fairfield alabama,"('jobs hiring in fairfield al', 'jobs hiring immediately in birmingham alabama')",jobs hiring in fairfield al,jobs hiring immediately in birmingham alabama,9,1,google,2025-10-28 20:35:58.261210,,jobs in fairfield alabama
13,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al')",jobs in fairfield al,jobs in birmingham al,1,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
14,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al with no experience')",jobs in fairfield al,jobs in birmingham al with no experience,2,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
15,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al full time')",jobs in fairfield al,jobs in birmingham al full time,3,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
16,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al no degree')",jobs in fairfield al,jobs in birmingham al no degree,4,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
17,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al remote')",jobs in fairfield al,jobs in birmingham al remote,5,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
18,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al part time')",jobs in fairfield al,jobs in birmingham al part time,6,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
19,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al for college students')",jobs in fairfield al,jobs in birmingham al for college students,7,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
20,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al for 16 year olds')",jobs in fairfield al,jobs in birmingham al for 16 year olds,8,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
21,jobs in fairfield alabama,"('jobs in fairfield al', 'jobs in birmingham al for 15 year olds')",jobs in fairfield al,jobs in birmingham al for 15 year olds,9,1,google,2025-10-28 20:35:59.569153,,jobs in fairfield alabama
22,jobs in fairfield alabama,"('jobs in fairhope alabama', 'employment in fairhope alabama')",jobs in fairhope alabama,employment in fairhope alabama,1,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
23,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs in fairhope al no experience')",jobs in fairhope alabama,jobs in fairhope al no experience,2,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
24,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs in fairhope al part time')",jobs in fairhope alabama,jobs in fairhope al part time,3,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
25,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs in fairhope al remote')",jobs in fairhope alabama,jobs in fairhope al remote,4,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
26,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs in fairhope al since yesterday')",jobs in fairhope alabama,jobs in fairhope al since yesterday,5,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
27,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs in fairhope al no degree')",jobs in fairhope alabama,jobs in fairhope al no degree,6,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
28,jobs in fairfield alabama,"('jobs in fairhope alabama', 'jobs hiring in fairhope alabama')",jobs in fairhope alabama,jobs hiring in fairhope alabama,7,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
29,jobs in fairfield alabama,"('jobs in fairhope alabama', 'teaching jobs in fairhope alabama')",jobs in fairhope alabama,teaching jobs in fairhope alabama,8,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
30,jobs in fairfield alabama,"('jobs in fairhope alabama', 'nursing jobs in fairhope alabama')",jobs in fairhope alabama,nursing jobs in fairhope alabama,9,1,google,2025-10-28 20:36:00.429471,,jobs in fairfield alabama
31,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in fairhope al no experience')",jobs in fairhope al,jobs in fairhope al no experience,1,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
32,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in fairhope al part time')",jobs in fairhope al,jobs in fairhope al part time,2,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
33,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in fairhope al remote')",jobs in fairhope al,jobs in fairhope al remote,3,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
34,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in fairhope al since yesterday')",jobs in fairhope al,jobs in fairhope al since yesterday,4,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
35,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in fairhope al no degree')",jobs in fairhope al,jobs in fairhope al no degree,5,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
36,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in daphne al')",jobs in fairhope al,jobs in daphne al,6,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
37,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in daphne al full time')",jobs in fairhope al,jobs in daphne al full time,7,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
38,jobs in fairfield alabama,"('jobs in fairhope al', 'jobs in daphne al part time')",jobs in fairhope al,jobs in daphne al part time,8,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
39,jobs in fairfield alabama,"('jobs in fairhope al', 'hiring in fairhope al')",jobs in fairhope al,hiring in fairhope al,9,1,google,2025-10-28 20:36:01.758948,,jobs in fairfield alabama
40,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs hiring in birmingham al no degree')",jobs hiring in birmingham al,jobs hiring in birmingham al no degree,1,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
41,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs hiring in birmingham al remote')",jobs hiring in birmingham al,jobs hiring in birmingham al remote,2,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
42,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs hiring in birmingham al part time')",jobs hiring in birmingham al,jobs hiring in birmingham al part time,3,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
43,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs hiring in birmingham al full time')",jobs hiring in birmingham al,jobs hiring in birmingham al full time,4,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
44,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs hiring in bham al')",jobs hiring in birmingham al,jobs hiring in bham al,5,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
45,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'companies hiring in birmingham al')",jobs hiring in birmingham al,companies hiring in birmingham al,6,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
46,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs available in birmingham al')",jobs hiring in birmingham al,jobs available in birmingham al,7,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
47,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'jobs available in birmingham alabama')",jobs hiring in birmingham al,jobs available in birmingham alabama,8,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
48,jobs in fairfield alabama,"('jobs hiring in birmingham al', 'now hiring in birmingham alabama')",jobs hiring in birmingham al,now hiring in birmingham alabama,9,2,google,2025-10-28 20:36:03.015596,jobs in fairfield alabama,jobs hiring in fairfield al
49,jobs in fairfield alabama,"('jobs hiring in birmingham al no degree', 'jobs near birmingham al no degree')",jobs hiring in birmingham al no degree,jobs near birmingham al no degree,1,2,google,2025-10-28 20:36:04.030140,jobs in fairfield alabama,jobs hiring in fairfield al
50,jobs in fairfield alabama,"('jobs hiring in birmingham al no degree', 'jobs hiring birmingham al no degree no experience needed')",jobs hiring in birmingham al no degree,jobs hiring birmingham al no degree no experience needed,2,2,google,2025-10-28 20:36:04.030140,jobs in fairfield alabama,jobs hiring in fairfield al
