,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fairfield bay arkansas,"('jobs in fairfield bay arkansas', 'jobs in fairfield bay ar')",jobs in fairfield bay arkansas,jobs in fairfield bay ar,1,0,google,2025-10-29 18:39:47.885149,,
1,jobs in fairfield bay arkansas,"('jobs in fairfield bay arkansas', 'fairfield bay jobs')",jobs in fairfield bay arkansas,fairfield bay jobs,2,0,google,2025-10-29 18:39:47.885149,,
2,jobs in fairfield bay arkansas,"('jobs in fairfield bay ar', 'jobs in fairfield bay arkansas')",jobs in fairfield bay ar,jobs in fairfield bay arkansas,1,1,google,2025-10-29 18:39:48.728273,,jobs in fairfield bay arkansas
3,jobs in fairfield bay arkansas,"('jobs in fairfield bay ar', 'jobs near fairfield bay ar')",jobs in fairfield bay ar,jobs near fairfield bay ar,2,1,google,2025-10-29 18:39:48.728273,,jobs in fairfield bay arkansas
4,jobs in fairfield bay arkansas,"('jobs in fairfield bay ar', 'jobs in fairfield')",jobs in fairfield bay ar,jobs in fairfield,3,1,google,2025-10-29 18:39:48.728273,,jobs in fairfield bay arkansas
5,jobs in fairfield bay arkansas,"('jobs in fairfield bay ar', 'jobs in fairfield county')",jobs in fairfield bay ar,jobs in fairfield county,4,1,google,2025-10-29 18:39:48.728273,,jobs in fairfield bay arkansas
6,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'fairfield bay arkansas jobs')",fairfield bay jobs,fairfield bay arkansas jobs,1,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
7,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'north bay fairfield jobs')",fairfield bay jobs,north bay fairfield jobs,2,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
8,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'city of fairfield bay jobs')",fairfield bay jobs,city of fairfield bay jobs,3,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
9,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'fairfield hiring jobs')",fairfield bay jobs,fairfield hiring jobs,4,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
10,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'fairfield bay stores')",fairfield bay jobs,fairfield bay stores,5,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
11,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'fairfield job openings')",fairfield bay jobs,fairfield job openings,6,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
12,jobs in fairfield bay arkansas,"('fairfield bay jobs', 'north bay jobs fairfield ca')",fairfield bay jobs,north bay jobs fairfield ca,7,1,google,2025-10-29 18:39:49.696455,,jobs in fairfield bay arkansas
13,jobs in fairfield bay arkansas,"('jobs near fairfield bay ar', 'jobs near fairfield')",jobs near fairfield bay ar,jobs near fairfield,1,2,google,2025-10-29 18:39:51.047936,jobs in fairfield bay arkansas,jobs in fairfield bay ar
14,jobs in fairfield bay arkansas,"('jobs near fairfield bay ar', 'jobs near fairfield ca')",jobs near fairfield bay ar,jobs near fairfield ca,2,2,google,2025-10-29 18:39:51.047936,jobs in fairfield bay arkansas,jobs in fairfield bay ar
15,jobs in fairfield bay arkansas,"('jobs near fairfield bay ar', 'jobs near fairfield ct')",jobs near fairfield bay ar,jobs near fairfield ct,3,2,google,2025-10-29 18:39:51.047936,jobs in fairfield bay arkansas,jobs in fairfield bay ar
16,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield ca')",jobs in fairfield,jobs in fairfield ca,1,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
17,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield iowa')",jobs in fairfield,jobs in fairfield iowa,2,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
18,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield tx')",jobs in fairfield,jobs in fairfield tx,3,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
19,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield ct')",jobs in fairfield,jobs in fairfield ct,4,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
20,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield bay arkansas')",jobs in fairfield,jobs in fairfield bay arkansas,5,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
21,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield il')",jobs in fairfield,jobs in fairfield il,6,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
22,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield ohio')",jobs in fairfield,jobs in fairfield ohio,7,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
23,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield california')",jobs in fairfield,jobs in fairfield california,8,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
24,jobs in fairfield bay arkansas,"('jobs in fairfield', 'jobs in fairfield glade tn')",jobs in fairfield,jobs in fairfield glade tn,9,2,google,2025-10-29 18:39:52.376033,jobs in fairfield bay arkansas,jobs in fairfield bay ar
25,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield county sc')",jobs in fairfield county,jobs in fairfield county sc,1,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
26,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield county ct')",jobs in fairfield county,jobs in fairfield county ct,2,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
27,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield county ohio')",jobs in fairfield county,jobs in fairfield county ohio,3,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
28,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield ct')",jobs in fairfield county,jobs in fairfield ct,4,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
29,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield ct for college students')",jobs in fairfield county,jobs in fairfield ct for college students,5,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
30,jobs in fairfield bay arkansas,"('jobs in fairfield county', 'jobs in fairfield ct part time')",jobs in fairfield county,jobs in fairfield ct part time,6,2,google,2025-10-29 18:39:53.269713,jobs in fairfield bay arkansas,jobs in fairfield bay ar
