,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in farmington arkansas,"('jobs in farmington arkansas', 'part time jobs in farmington arkansas')",jobs in farmington arkansas,part time jobs in farmington arkansas,1,0,google,2025-10-29 18:41:09.645224,,
1,jobs in farmington arkansas,"('jobs in farmington arkansas', 'places hiring in farmington arkansas')",jobs in farmington arkansas,places hiring in farmington arkansas,2,0,google,2025-10-29 18:41:09.645224,,
2,jobs in farmington arkansas,"('jobs in farmington arkansas', 'what kind of jobs are in arkansas')",jobs in farmington arkansas,what kind of jobs are in arkansas,3,0,google,2025-10-29 18:41:09.645224,,
3,jobs in farmington arkansas,"('jobs in farmington arkansas', 'what jobs are in arkansas')",jobs in farmington arkansas,what jobs are in arkansas,4,0,google,2025-10-29 18:41:09.645224,,
4,jobs in farmington arkansas,"('jobs in farmington arkansas', 'jobs in farmington ar')",jobs in farmington arkansas,jobs in farmington ar,5,0,google,2025-10-29 18:41:09.645224,,
5,jobs in farmington arkansas,"('part time jobs in farmington arkansas', 'part time jobs farmington ar')",part time jobs in farmington arkansas,part time jobs farmington ar,1,1,google,2025-10-29 18:41:11.072295,,jobs in farmington arkansas
6,jobs in farmington arkansas,"('part time jobs in farmington arkansas', 'part-time jobs in farmington utah')",part time jobs in farmington arkansas,part-time jobs in farmington utah,2,1,google,2025-10-29 18:41:11.072295,,jobs in farmington arkansas
7,jobs in farmington arkansas,"('part time jobs in farmington arkansas', 'part-time jobs in farmington mo')",part time jobs in farmington arkansas,part-time jobs in farmington mo,3,1,google,2025-10-29 18:41:11.072295,,jobs in farmington arkansas
8,jobs in farmington arkansas,"('places hiring in farmington arkansas', 'places hiring in farmington mo')",places hiring in farmington arkansas,places hiring in farmington mo,1,1,google,2025-10-29 18:41:12.395535,,jobs in farmington arkansas
9,jobs in farmington arkansas,"('places hiring in farmington arkansas', 'places hiring in farmington')",places hiring in farmington arkansas,places hiring in farmington,2,1,google,2025-10-29 18:41:12.395535,,jobs in farmington arkansas
10,jobs in farmington arkansas,"('places hiring in farmington arkansas', 'places hiring in farmington nm')",places hiring in farmington arkansas,places hiring in farmington nm,3,1,google,2025-10-29 18:41:12.395535,,jobs in farmington arkansas
11,jobs in farmington arkansas,"('places hiring in farmington arkansas', 'places to rent in farmington arkansas')",places hiring in farmington arkansas,places to rent in farmington arkansas,4,1,google,2025-10-29 18:41:12.395535,,jobs in farmington arkansas
12,jobs in farmington arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-29 18:41:13.234055,,jobs in farmington arkansas
13,jobs in farmington arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-29 18:41:13.234055,,jobs in farmington arkansas
14,jobs in farmington arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-29 18:41:13.234055,,jobs in farmington arkansas
15,jobs in farmington arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-29 18:41:13.234055,,jobs in farmington arkansas
16,jobs in farmington arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-29 18:41:13.234055,,jobs in farmington arkansas
17,jobs in farmington arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-29 18:41:14.399173,,jobs in farmington arkansas
