,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fayette alabama,"('jobs in fayette alabama', 'jobs hiring in fayette alabama')",jobs in fayette alabama,jobs hiring in fayette alabama,1,0,google,2025-10-28 20:41:12.204021,,
1,jobs in fayette alabama,"('jobs in fayette alabama', 'jobs in fayette county alabama')",jobs in fayette alabama,jobs in fayette county alabama,2,0,google,2025-10-28 20:41:12.204021,,
2,jobs in fayette alabama,"('jobs in fayette alabama', 'office jobs in fayette alabama')",jobs in fayette alabama,office jobs in fayette alabama,3,0,google,2025-10-28 20:41:12.204021,,
3,jobs in fayette alabama,"('jobs in fayette alabama', 'job openings in fayette alabama')",jobs in fayette alabama,job openings in fayette alabama,4,0,google,2025-10-28 20:41:12.204021,,
4,jobs in fayette alabama,"('jobs in fayette alabama', 'part time jobs in fayette alabama')",jobs in fayette alabama,part time jobs in fayette alabama,5,0,google,2025-10-28 20:41:12.204021,,
5,jobs in fayette alabama,"('jobs in fayette alabama', 'jobs in fayette al in the last 3 days')",jobs in fayette alabama,jobs in fayette al in the last 3 days,6,0,google,2025-10-28 20:41:12.204021,,
6,jobs in fayette alabama,"('jobs in fayette alabama', 'indeed jobs in fayette al')",jobs in fayette alabama,indeed jobs in fayette al,7,0,google,2025-10-28 20:41:12.204021,,
7,jobs in fayette alabama,"('jobs in fayette alabama', 'jobs in fayette al')",jobs in fayette alabama,jobs in fayette al,8,0,google,2025-10-28 20:41:12.204021,,
8,jobs in fayette alabama,"('jobs hiring in fayette alabama', 'job openings in fayette alabama')",jobs hiring in fayette alabama,job openings in fayette alabama,1,1,google,2025-10-28 20:41:13.261621,,jobs in fayette alabama
9,jobs in fayette alabama,"('jobs hiring in fayette alabama', 'jobs available in fayette al')",jobs hiring in fayette alabama,jobs available in fayette al,2,1,google,2025-10-28 20:41:13.261621,,jobs in fayette alabama
10,jobs in fayette alabama,"('jobs hiring in fayette alabama', 'jobs near fayette alabama')",jobs hiring in fayette alabama,jobs near fayette alabama,3,1,google,2025-10-28 20:41:13.261621,,jobs in fayette alabama
11,jobs in fayette alabama,"('jobs hiring in fayette alabama', 'jobs hiring near fayette al')",jobs hiring in fayette alabama,jobs hiring near fayette al,4,1,google,2025-10-28 20:41:13.261621,,jobs in fayette alabama
12,jobs in fayette alabama,"('jobs in fayette county alabama', 'jobs in fayette alabama')",jobs in fayette county alabama,jobs in fayette alabama,1,1,google,2025-10-28 20:41:14.151834,,jobs in fayette alabama
13,jobs in fayette alabama,"('jobs in fayette county alabama', 'jobs in fayette al')",jobs in fayette county alabama,jobs in fayette al,2,1,google,2025-10-28 20:41:14.151834,,jobs in fayette alabama
14,jobs in fayette alabama,"('jobs in fayette county alabama', 'jobs in fayette county')",jobs in fayette county alabama,jobs in fayette county,3,1,google,2025-10-28 20:41:14.151834,,jobs in fayette alabama
