,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in flippin arkansas,"('jobs in flippin arkansas', 'full time jobs in flippin arkansas')",jobs in flippin arkansas,full time jobs in flippin arkansas,1,0,google,2025-10-29 18:48:13.013954,,
1,jobs in flippin arkansas,"('jobs in flippin arkansas', 'jobs hiring flippin arkansas')",jobs in flippin arkansas,jobs hiring flippin arkansas,2,0,google,2025-10-29 18:48:13.013954,,
2,jobs in flippin arkansas,"('jobs in flippin arkansas', 'jobs in flippin ar')",jobs in flippin arkansas,jobs in flippin ar,3,0,google,2025-10-29 18:48:13.013954,,
3,jobs in flippin arkansas,"('full time jobs in flippin arkansas', 'part time jobs flippin ar')",full time jobs in flippin arkansas,part time jobs flippin ar,1,1,google,2025-10-29 18:48:13.950568,,jobs in flippin arkansas
4,jobs in flippin arkansas,"('full time jobs in flippin arkansas', 'flippin arkansas jobs')",full time jobs in flippin arkansas,flippin arkansas jobs,2,1,google,2025-10-29 18:48:13.950568,,jobs in flippin arkansas
5,jobs in flippin arkansas,"('full time jobs in flippin arkansas', 'flippin ar jobs')",full time jobs in flippin arkansas,flippin ar jobs,3,1,google,2025-10-29 18:48:13.950568,,jobs in flippin arkansas
6,jobs in flippin arkansas,"('jobs hiring flippin arkansas', 'jobs in flippin arkansas')",jobs hiring flippin arkansas,jobs in flippin arkansas,1,1,google,2025-10-29 18:48:14.972911,,jobs in flippin arkansas
7,jobs in flippin arkansas,"('jobs hiring flippin arkansas', 'jobs hiring near flippin ar')",jobs hiring flippin arkansas,jobs hiring near flippin ar,2,1,google,2025-10-29 18:48:14.972911,,jobs in flippin arkansas
8,jobs in flippin arkansas,"('jobs hiring flippin arkansas', 'jobs flippin ar')",jobs hiring flippin arkansas,jobs flippin ar,3,1,google,2025-10-29 18:48:14.972911,,jobs in flippin arkansas
9,jobs in flippin arkansas,"('jobs in flippin ar', 'jobs in flippin arkansas')",jobs in flippin ar,jobs in flippin arkansas,1,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
10,jobs in flippin arkansas,"('jobs in flippin ar', 'jobs hiring in flippin ar')",jobs in flippin ar,jobs hiring in flippin ar,2,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
11,jobs in flippin arkansas,"('jobs in flippin ar', 'full time jobs in flippin arkansas')",jobs in flippin ar,full time jobs in flippin arkansas,3,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
12,jobs in flippin arkansas,"('jobs in flippin ar', 'jobs near flippin ar')",jobs in flippin ar,jobs near flippin ar,4,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
13,jobs in flippin arkansas,"('jobs in flippin ar', 'places hiring in flippin ar')",jobs in flippin ar,places hiring in flippin ar,5,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
14,jobs in flippin arkansas,"('jobs in flippin ar', 'jobs in flipping houses')",jobs in flippin ar,jobs in flipping houses,6,1,google,2025-10-29 18:48:16.293889,,jobs in flippin arkansas
15,jobs in flippin arkansas,"('part time jobs flippin ar', 'full time jobs in flippin arkansas')",part time jobs flippin ar,full time jobs in flippin arkansas,1,2,google,2025-10-29 18:48:17.679780,jobs in flippin arkansas,full time jobs in flippin arkansas
16,jobs in flippin arkansas,"('part time jobs flippin ar', 'part time flippers')",part time jobs flippin ar,part time flippers,2,2,google,2025-10-29 18:48:17.679780,jobs in flippin arkansas,full time jobs in flippin arkansas
17,jobs in flippin arkansas,"('part time jobs flippin ar', 'flippin jobs')",part time jobs flippin ar,flippin jobs,3,2,google,2025-10-29 18:48:17.679780,jobs in flippin arkansas,full time jobs in flippin arkansas
18,jobs in flippin arkansas,"('part time jobs flippin ar', 'part time flips')",part time jobs flippin ar,part time flips,4,2,google,2025-10-29 18:48:17.679780,jobs in flippin arkansas,full time jobs in flippin arkansas
19,jobs in flippin arkansas,"('part time jobs flippin ar', 'flippin ar jobs')",part time jobs flippin ar,flippin ar jobs,5,2,google,2025-10-29 18:48:17.679780,jobs in flippin arkansas,full time jobs in flippin arkansas
20,jobs in flippin arkansas,"('flippin arkansas jobs', 'walmart flippin ar jobs')",flippin arkansas jobs,walmart flippin ar jobs,1,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
21,jobs in flippin arkansas,"('flippin arkansas jobs', 'flippin ar school jobs')",flippin arkansas jobs,flippin ar school jobs,2,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
22,jobs in flippin arkansas,"('flippin arkansas jobs', 'ranger boats flippin arkansas jobs')",flippin arkansas jobs,ranger boats flippin arkansas jobs,3,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
23,jobs in flippin arkansas,"('flippin arkansas jobs', 'distance to flippin arkansas')",flippin arkansas jobs,distance to flippin arkansas,4,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
24,jobs in flippin arkansas,"('flippin arkansas jobs', 'history of flippin arkansas')",flippin arkansas jobs,history of flippin arkansas,5,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
25,jobs in flippin arkansas,"('flippin arkansas jobs', 'arkansas dot jobs')",flippin arkansas jobs,arkansas dot jobs,6,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
26,jobs in flippin arkansas,"('flippin arkansas jobs', 'flippin ar jobs')",flippin arkansas jobs,flippin ar jobs,7,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
27,jobs in flippin arkansas,"('flippin arkansas jobs', 'flippin.arkansas')",flippin arkansas jobs,flippin.arkansas,8,2,google,2025-10-29 18:48:19.125728,jobs in flippin arkansas,full time jobs in flippin arkansas
28,jobs in flippin arkansas,"('flippin ar jobs', 'walmart flippin ar jobs')",flippin ar jobs,walmart flippin ar jobs,1,2,google,2025-10-29 18:48:20.001728,jobs in flippin arkansas,full time jobs in flippin arkansas
29,jobs in flippin arkansas,"('flippin ar jobs', 'flippin ar school jobs')",flippin ar jobs,flippin ar school jobs,2,2,google,2025-10-29 18:48:20.001728,jobs in flippin arkansas,full time jobs in flippin arkansas
30,jobs in flippin arkansas,"('flippin ar jobs', 'ranger boats flippin ar jobs')",flippin ar jobs,ranger boats flippin ar jobs,3,2,google,2025-10-29 18:48:20.001728,jobs in flippin arkansas,full time jobs in flippin arkansas
31,jobs in flippin arkansas,"('flippin ar jobs', 'flippin ar school district jobs')",flippin ar jobs,flippin ar school district jobs,4,2,google,2025-10-29 18:48:20.001728,jobs in flippin arkansas,full time jobs in flippin arkansas
