,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'jobs hiring in fordyce arkansas')",jobs in fordyce arkansas,jobs hiring in fordyce arkansas,1,0,google,2025-10-29 18:52:58.939764,,
1,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'rn jobs in fordyce ar')",jobs in fordyce arkansas,rn jobs in fordyce ar,2,0,google,2025-10-29 18:52:58.939764,,
2,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'jobs in fordyce ar')",jobs in fordyce arkansas,jobs in fordyce ar,3,0,google,2025-10-29 18:52:58.939764,,
3,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'directions to fordyce arkansas')",jobs in fordyce arkansas,directions to fordyce arkansas,4,0,google,2025-10-29 18:52:58.939764,,
4,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'where is fordyce arkansas')",jobs in fordyce arkansas,where is fordyce arkansas,5,0,google,2025-10-29 18:52:58.939764,,
5,jobs in fordyce arkansas,"('jobs in fordyce arkansas', 'jobs in fordyce')",jobs in fordyce arkansas,jobs in fordyce,6,0,google,2025-10-29 18:52:58.939764,,
6,jobs in fordyce arkansas,"('jobs hiring in fordyce arkansas', 'nursing jobs hiring in fordyce ar')",jobs hiring in fordyce arkansas,nursing jobs hiring in fordyce ar,1,1,google,2025-10-29 18:52:59.807770,,jobs in fordyce arkansas
7,jobs in fordyce arkansas,"('jobs hiring in fordyce arkansas', 'jobs near fordyce arkansas')",jobs hiring in fordyce arkansas,jobs near fordyce arkansas,2,1,google,2025-10-29 18:52:59.807770,,jobs in fordyce arkansas
8,jobs in fordyce arkansas,"('jobs hiring in fordyce arkansas', 'jobs hiring near fordyce ar')",jobs hiring in fordyce arkansas,jobs hiring near fordyce ar,3,1,google,2025-10-29 18:52:59.807770,,jobs in fordyce arkansas
9,jobs in fordyce arkansas,"('jobs hiring in fordyce arkansas', 'jobs hiring in fordyce')",jobs hiring in fordyce arkansas,jobs hiring in fordyce,4,1,google,2025-10-29 18:52:59.807770,,jobs in fordyce arkansas
10,jobs in fordyce arkansas,"('rn jobs in fordyce ar', 'rn jobs in forney tx')",rn jobs in fordyce ar,rn jobs in forney tx,1,1,google,2025-10-29 18:53:00.607197,,jobs in fordyce arkansas
11,jobs in fordyce arkansas,"('rn jobs in fordyce ar', 'rn jobs in forney')",rn jobs in fordyce ar,rn jobs in forney,2,1,google,2025-10-29 18:53:00.607197,,jobs in fordyce arkansas
12,jobs in fordyce arkansas,"('rn jobs in fordyce ar', 'rn jobs in forney texas')",rn jobs in fordyce ar,rn jobs in forney texas,3,1,google,2025-10-29 18:53:00.607197,,jobs in fordyce arkansas
13,jobs in fordyce arkansas,"('rn jobs in fordyce ar', 'rn jobs in fort smith ar')",rn jobs in fordyce ar,rn jobs in fort smith ar,4,1,google,2025-10-29 18:53:00.607197,,jobs in fordyce arkansas
14,jobs in fordyce arkansas,"('rn jobs in fordyce ar', 'rn jobs in fort smith arkansas')",rn jobs in fordyce ar,rn jobs in fort smith arkansas,5,1,google,2025-10-29 18:53:00.607197,,jobs in fordyce arkansas
15,jobs in fordyce arkansas,"('jobs in fordyce ar', 'jobs hiring in fordyce ar')",jobs in fordyce ar,jobs hiring in fordyce ar,1,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
16,jobs in fordyce arkansas,"('jobs in fordyce ar', 'rn jobs in fordyce ar')",jobs in fordyce ar,rn jobs in fordyce ar,2,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
17,jobs in fordyce arkansas,"('jobs in fordyce ar', 'nursing jobs hiring in fordyce ar')",jobs in fordyce ar,nursing jobs hiring in fordyce ar,3,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
18,jobs in fordyce arkansas,"('jobs in fordyce ar', 'part time jobs in fordyce ar')",jobs in fordyce ar,part time jobs in fordyce ar,4,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
19,jobs in fordyce arkansas,"('jobs in fordyce ar', 'jobs in fordyce arkansas')",jobs in fordyce ar,jobs in fordyce arkansas,5,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
20,jobs in fordyce arkansas,"('jobs in fordyce ar', 'jobs in fordyce')",jobs in fordyce ar,jobs in fordyce,6,1,google,2025-10-29 18:53:01.879130,,jobs in fordyce arkansas
21,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'directions to fordyce arkansas from my location')",directions to fordyce arkansas,directions to fordyce arkansas from my location,1,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
22,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'how to get to fordyce arkansas')",directions to fordyce arkansas,how to get to fordyce arkansas,2,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
23,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'driving directions to fordyce arkansas')",directions to fordyce arkansas,driving directions to fordyce arkansas,3,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
24,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'directions to walmart in fordyce arkansas')",directions to fordyce arkansas,directions to walmart in fordyce arkansas,4,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
25,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'where is fordyce arkansas')",directions to fordyce arkansas,where is fordyce arkansas,5,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
26,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'directions to fordyce ar')",directions to fordyce arkansas,directions to fordyce ar,6,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
27,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'directions to fordyce')",directions to fordyce arkansas,directions to fordyce,7,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
28,jobs in fordyce arkansas,"('directions to fordyce arkansas', 'fordyce arkansas map')",directions to fordyce arkansas,fordyce arkansas map,8,1,google,2025-10-29 18:53:03.225071,,jobs in fordyce arkansas
29,jobs in fordyce arkansas,"('where is fordyce arkansas', 'where is fordyce arkansas on the map')",where is fordyce arkansas,where is fordyce arkansas on the map,1,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
30,jobs in fordyce arkansas,"('where is fordyce arkansas', 'where is fordyce arkansas near')",where is fordyce arkansas,where is fordyce arkansas near,2,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
31,jobs in fordyce arkansas,"('where is fordyce arkansas', 'directions to fordyce arkansas')",where is fordyce arkansas,directions to fordyce arkansas,3,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
32,jobs in fordyce arkansas,"('where is fordyce arkansas', 'fordyce arkansas from my location')",where is fordyce arkansas,fordyce arkansas from my location,4,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
33,jobs in fordyce arkansas,"('where is fordyce arkansas', 'where is fordyce ar')",where is fordyce arkansas,where is fordyce ar,5,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
34,jobs in fordyce arkansas,"('where is fordyce arkansas', 'what is fordyce arkansas famous for')",where is fordyce arkansas,what is fordyce arkansas famous for,6,1,google,2025-10-29 18:53:04.568113,,jobs in fordyce arkansas
35,jobs in fordyce arkansas,"('jobs in fordyce', 'jobs in fordyce ar')",jobs in fordyce,jobs in fordyce ar,1,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
36,jobs in fordyce arkansas,"('jobs in fordyce', 'jobs hiring in fordyce ar')",jobs in fordyce,jobs hiring in fordyce ar,2,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
37,jobs in fordyce arkansas,"('jobs in fordyce', 'rn jobs in fordyce ar')",jobs in fordyce,rn jobs in fordyce ar,3,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
38,jobs in fordyce arkansas,"('jobs in fordyce', 'jobs hiring in fordyce')",jobs in fordyce,jobs hiring in fordyce,4,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
39,jobs in fordyce arkansas,"('jobs in fordyce', 'nursing jobs hiring in fordyce ar')",jobs in fordyce,nursing jobs hiring in fordyce ar,5,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
40,jobs in fordyce arkansas,"('jobs in fordyce', 'part time jobs in fordyce ar')",jobs in fordyce,part time jobs in fordyce ar,6,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
41,jobs in fordyce arkansas,"('jobs in fordyce', 'jobs in fordyce arkansas')",jobs in fordyce,jobs in fordyce arkansas,7,1,google,2025-10-29 18:53:05.447179,,jobs in fordyce arkansas
42,jobs in fordyce arkansas,"('nursing jobs hiring in fordyce ar', 'nursing homes in fordyce arkansas')",nursing jobs hiring in fordyce ar,nursing homes in fordyce arkansas,1,2,google,2025-10-29 18:53:06.351546,jobs in fordyce arkansas jobs in fordyce arkansas jobs in fordyce arkansas,jobs hiring in fordyce arkansas jobs in fordyce ar jobs in fordyce
43,jobs in fordyce arkansas,"('nursing jobs hiring in fordyce ar', 'nursing jobs in forney tx')",nursing jobs hiring in fordyce ar,nursing jobs in forney tx,2,2,google,2025-10-29 18:53:06.351546,jobs in fordyce arkansas jobs in fordyce arkansas jobs in fordyce arkansas,jobs hiring in fordyce arkansas jobs in fordyce ar jobs in fordyce
44,jobs in fordyce arkansas,"('nursing jobs hiring in fordyce ar', 'nursing home in fordyce ar')",nursing jobs hiring in fordyce ar,nursing home in fordyce ar,3,2,google,2025-10-29 18:53:06.351546,jobs in fordyce arkansas jobs in fordyce arkansas jobs in fordyce arkansas,jobs hiring in fordyce arkansas jobs in fordyce ar jobs in fordyce
45,jobs in fordyce arkansas,"('jobs near fordyce arkansas', 'jobs hiring near fordyce ar')",jobs near fordyce arkansas,jobs hiring near fordyce ar,1,2,google,2025-10-29 18:53:07.435670,jobs in fordyce arkansas,jobs hiring in fordyce arkansas
46,jobs in fordyce arkansas,"('jobs near fordyce arkansas', 'jobs in fordyce ar')",jobs near fordyce arkansas,jobs in fordyce ar,2,2,google,2025-10-29 18:53:07.435670,jobs in fordyce arkansas,jobs hiring in fordyce arkansas
47,jobs in fordyce arkansas,"('jobs near fordyce arkansas', 'directions to fordyce arkansas')",jobs near fordyce arkansas,directions to fordyce arkansas,3,2,google,2025-10-29 18:53:07.435670,jobs in fordyce arkansas,jobs hiring in fordyce arkansas
