,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fort deposit alabama,"('jobs in fort deposit alabama', 'jobs in fort payne al 35967')",jobs in fort deposit alabama,jobs in fort payne al 35967,1,0,google,2025-10-28 20:56:15.386095,,
1,jobs in fort deposit alabama,"('jobs in fort deposit alabama', 'jobs in fort payne')",jobs in fort deposit alabama,jobs in fort payne,2,0,google,2025-10-28 20:56:15.386095,,
2,jobs in fort deposit alabama,"('jobs in fort deposit alabama', 'fort. deposit alabama')",jobs in fort deposit alabama,fort. deposit alabama,3,0,google,2025-10-28 20:56:15.386095,,
3,jobs in fort deposit alabama,"('jobs in fort deposit alabama', 'jobs in fort payne alabama')",jobs in fort deposit alabama,jobs in fort payne alabama,4,0,google,2025-10-28 20:56:15.386095,,
4,jobs in fort deposit alabama,"('jobs in fort payne al 35967', 'jobs in fort payne')",jobs in fort payne al 35967,jobs in fort payne,1,1,google,2025-10-28 20:56:16.729155,,jobs in fort deposit alabama
5,jobs in fort deposit alabama,"('jobs in fort payne al 35967', 'jobs in fort payne area')",jobs in fort payne al 35967,jobs in fort payne area,2,1,google,2025-10-28 20:56:16.729155,,jobs in fort deposit alabama
6,jobs in fort deposit alabama,"('jobs in fort payne al 35967', 'jobs in fort payne al')",jobs in fort payne al 35967,jobs in fort payne al,3,1,google,2025-10-28 20:56:16.729155,,jobs in fort deposit alabama
7,jobs in fort deposit alabama,"('jobs in fort payne al 35967', 'jobs in fort payne alabama')",jobs in fort payne al 35967,jobs in fort payne alabama,4,1,google,2025-10-28 20:56:16.729155,,jobs in fort deposit alabama
8,jobs in fort deposit alabama,"('jobs in fort payne', 'jobs in fort payne al')",jobs in fort payne,jobs in fort payne al,1,1,google,2025-10-28 20:56:18.114618,,jobs in fort deposit alabama
9,jobs in fort deposit alabama,"('jobs in fort payne', 'jobs in fort payne al in the last 3 days')",jobs in fort payne,jobs in fort payne al in the last 3 days,2,1,google,2025-10-28 20:56:18.114618,,jobs in fort deposit alabama
10,jobs in fort deposit alabama,"('jobs in fort payne', 'jobs in fort payne al no experience needed')",jobs in fort payne,jobs in fort payne al no experience needed,3,1,google,2025-10-28 20:56:18.114618,,jobs in fort deposit alabama
11,jobs in fort deposit alabama,"('jobs in fort payne', 'jobs in fort payne al 35967')",jobs in fort payne,jobs in fort payne al 35967,4,1,google,2025-10-28 20:56:18.114618,,jobs in fort deposit alabama
