,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'jobs at fort novosel alabama')",jobs in fort novosel alabama,jobs at fort novosel alabama,1,0,google,2025-10-28 21:01:36.665926,,
1,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'government jobs fort novosel alabama')",jobs in fort novosel alabama,government jobs fort novosel alabama,2,0,google,2025-10-28 21:01:36.665926,,
2,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'jobs in forestdale alabama')",jobs in fort novosel alabama,jobs in forestdale alabama,3,0,google,2025-10-28 21:01:36.665926,,
3,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'fort novosel alabama')",jobs in fort novosel alabama,fort novosel alabama,4,0,google,2025-10-28 21:01:36.665926,,
4,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'jobs in fort mitchell alabama')",jobs in fort novosel alabama,jobs in fort mitchell alabama,5,0,google,2025-10-28 21:01:36.665926,,
5,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'jobs in forestdale al')",jobs in fort novosel alabama,jobs in forestdale al,6,0,google,2025-10-28 21:01:36.665926,,
6,jobs in fort novosel alabama,"('jobs in fort novosel alabama', 'jobs in navarre fl craigslist')",jobs in fort novosel alabama,jobs in navarre fl craigslist,7,0,google,2025-10-28 21:01:36.665926,,
7,jobs in fort novosel alabama,"('jobs at fort novosel alabama', 'jobs near fort novosel alabama')",jobs at fort novosel alabama,jobs near fort novosel alabama,1,1,google,2025-10-28 21:01:37.607494,,jobs in fort novosel alabama
8,jobs in fort novosel alabama,"('jobs at fort novosel alabama', 'government jobs fort novosel alabama')",jobs at fort novosel alabama,government jobs fort novosel alabama,2,1,google,2025-10-28 21:01:37.607494,,jobs in fort novosel alabama
9,jobs in fort novosel alabama,"('jobs at fort novosel alabama', 'fort novosel alabama')",jobs at fort novosel alabama,fort novosel alabama,3,1,google,2025-10-28 21:01:37.607494,,jobs in fort novosel alabama
10,jobs in fort novosel alabama,"('jobs at fort novosel alabama', 'jobs at fort mcclellan alabama')",jobs at fort novosel alabama,jobs at fort mcclellan alabama,4,1,google,2025-10-28 21:01:37.607494,,jobs in fort novosel alabama
