,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas area')",jobs in fountain hill arkansas,jobs in fountain hill arkansas area,1,0,google,2025-10-29 18:57:16.357568,,
1,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas hiring')",jobs in fountain hill arkansas,jobs in fountain hill arkansas hiring,2,0,google,2025-10-29 18:57:16.357568,,
2,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas for 16 year olds')",jobs in fountain hill arkansas,jobs in fountain hill arkansas for 16 year olds,3,0,google,2025-10-29 18:57:16.357568,,
3,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas hiring now')",jobs in fountain hill arkansas,jobs in fountain hill arkansas hiring now,4,0,google,2025-10-29 18:57:16.357568,,
4,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas for 17 year olds')",jobs in fountain hill arkansas,jobs in fountain hill arkansas for 17 year olds,5,0,google,2025-10-29 18:57:16.357568,,
5,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas weather')",jobs in fountain hill arkansas,jobs in fountain hill arkansas weather,6,0,google,2025-10-29 18:57:16.357568,,
6,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas', 'jobs in fountain hill arkansas city hall')",jobs in fountain hill arkansas,jobs in fountain hill arkansas city hall,7,0,google,2025-10-29 18:57:16.357568,,
7,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas area', 'jobs in fountain hill arkansas area area')",jobs in fountain hill arkansas area,jobs in fountain hill arkansas area area,1,1,google,2025-10-29 18:57:17.326795,,jobs in fountain hill arkansas
8,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas area', 'jobs in fountain hill arkansas area hiring')",jobs in fountain hill arkansas area,jobs in fountain hill arkansas area hiring,2,1,google,2025-10-29 18:57:17.326795,,jobs in fountain hill arkansas
9,jobs in fountain hill arkansas,"('jobs in fountain hill arkansas area', 'jobs in fountain hill arkansas area for 16 year olds')",jobs in fountain hill arkansas area,jobs in fountain hill arkansas area for 16 year olds,3,1,google,2025-10-29 18:57:17.326795,,jobs in fountain hill arkansas
