,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas area')",jobs in friendship arkansas,jobs in friendship arkansas area,1,0,google,2025-10-29 19:00:47.890296,,
1,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas hiring')",jobs in friendship arkansas,jobs in friendship arkansas hiring,2,0,google,2025-10-29 19:00:47.890296,,
2,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas hiring now')",jobs in friendship arkansas,jobs in friendship arkansas hiring now,3,0,google,2025-10-29 19:00:47.890296,,
3,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas for 16 year olds')",jobs in friendship arkansas,jobs in friendship arkansas for 16 year olds,4,0,google,2025-10-29 19:00:47.890296,,
4,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas for 15 year olds')",jobs in friendship arkansas,jobs in friendship arkansas for 15 year olds,5,0,google,2025-10-29 19:00:47.890296,,
5,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas restaurants')",jobs in friendship arkansas,jobs in friendship arkansas restaurants,6,0,google,2025-10-29 19:00:47.890296,,
6,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas homes for sale')",jobs in friendship arkansas,jobs in friendship arkansas homes for sale,7,0,google,2025-10-29 19:00:47.890296,,
7,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas map')",jobs in friendship arkansas,jobs in friendship arkansas map,8,0,google,2025-10-29 19:00:47.890296,,
8,jobs in friendship arkansas,"('jobs in friendship arkansas', 'jobs in friendship arkansas weather')",jobs in friendship arkansas,jobs in friendship arkansas weather,9,0,google,2025-10-29 19:00:47.890296,,
9,jobs in friendship arkansas,"('jobs in friendship arkansas area', 'jobs in friendship arkansas area area')",jobs in friendship arkansas area,jobs in friendship arkansas area area,1,1,google,2025-10-29 19:00:48.931106,,jobs in friendship arkansas
10,jobs in friendship arkansas,"('jobs in friendship arkansas area', 'jobs in friendship arkansas area hiring')",jobs in friendship arkansas area,jobs in friendship arkansas area hiring,2,1,google,2025-10-29 19:00:48.931106,,jobs in friendship arkansas
11,jobs in friendship arkansas,"('jobs in friendship arkansas area', 'jobs in friendship arkansas area hiring now')",jobs in friendship arkansas area,jobs in friendship arkansas area hiring now,3,1,google,2025-10-29 19:00:48.931106,,jobs in friendship arkansas
12,jobs in friendship arkansas,"('jobs in friendship arkansas area', 'jobs in friendship arkansas area for 16 year olds')",jobs in friendship arkansas area,jobs in friendship arkansas area for 16 year olds,4,1,google,2025-10-29 19:00:48.931106,,jobs in friendship arkansas
13,jobs in friendship arkansas,"('jobs in friendship arkansas area', 'jobs in friendship arkansas area for teens')",jobs in friendship arkansas area,jobs in friendship arkansas area for teens,5,1,google,2025-10-29 19:00:48.931106,,jobs in friendship arkansas
14,jobs in friendship arkansas,"('jobs in friendship arkansas hiring', 'jobs in friendship arkansas hiring now')",jobs in friendship arkansas hiring,jobs in friendship arkansas hiring now,1,1,google,2025-10-29 19:00:50.366361,,jobs in friendship arkansas
15,jobs in friendship arkansas,"('jobs in friendship arkansas hiring', 'jobs in friendship arkansas hiring immediately')",jobs in friendship arkansas hiring,jobs in friendship arkansas hiring immediately,2,1,google,2025-10-29 19:00:50.366361,,jobs in friendship arkansas
16,jobs in friendship arkansas,"('jobs in friendship arkansas hiring', 'jobs in friendship arkansas hiring right now')",jobs in friendship arkansas hiring,jobs in friendship arkansas hiring right now,3,1,google,2025-10-29 19:00:50.366361,,jobs in friendship arkansas
17,jobs in friendship arkansas,"('jobs in friendship arkansas hiring', 'jobs in friendship arkansas hiring 16 year olds')",jobs in friendship arkansas hiring,jobs in friendship arkansas hiring 16 year olds,4,1,google,2025-10-29 19:00:50.366361,,jobs in friendship arkansas
18,jobs in friendship arkansas,"('jobs in friendship arkansas hiring', 'jobs in friendship arkansas hiring 15 year olds')",jobs in friendship arkansas hiring,jobs in friendship arkansas hiring 15 year olds,5,1,google,2025-10-29 19:00:50.366361,,jobs in friendship arkansas
19,jobs in friendship arkansas,"('jobs in friendship arkansas hiring now', 'jobs in friendship arkansas hiring now 2024')",jobs in friendship arkansas hiring now,jobs in friendship arkansas hiring now 2024,1,1,google,2025-10-29 19:00:51.692299,,jobs in friendship arkansas
20,jobs in friendship arkansas,"('jobs in friendship arkansas hiring now', 'jobs in friendship arkansas hiring now part time')",jobs in friendship arkansas hiring now,jobs in friendship arkansas hiring now part time,2,1,google,2025-10-29 19:00:51.692299,,jobs in friendship arkansas
21,jobs in friendship arkansas,"('jobs in friendship arkansas hiring now', 'jobs in friendship arkansas hiring now no experience')",jobs in friendship arkansas hiring now,jobs in friendship arkansas hiring now no experience,3,1,google,2025-10-29 19:00:51.692299,,jobs in friendship arkansas
22,jobs in friendship arkansas,"('jobs in friendship arkansas hiring now', 'jobs in friendship arkansas hiring now no experience needed')",jobs in friendship arkansas hiring now,jobs in friendship arkansas hiring now no experience needed,4,1,google,2025-10-29 19:00:51.692299,,jobs in friendship arkansas
23,jobs in friendship arkansas,"('jobs in friendship arkansas hiring now', 'jobs in friendship arkansas hiring now in friendship arkansas')",jobs in friendship arkansas hiring now,jobs in friendship arkansas hiring now in friendship arkansas,5,1,google,2025-10-29 19:00:51.692299,,jobs in friendship arkansas
