,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama hiring')",jobs in fruitdale alabama,jobs in fruitdale alabama hiring,1,0,google,2025-10-28 20:49:56.450100,,
1,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama hiring now')",jobs in fruitdale alabama,jobs in fruitdale alabama hiring now,2,0,google,2025-10-28 20:49:56.450100,,
2,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama area')",jobs in fruitdale alabama,jobs in fruitdale alabama area,3,0,google,2025-10-28 20:49:56.450100,,
3,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama part time')",jobs in fruitdale alabama,jobs in fruitdale alabama part time,4,0,google,2025-10-28 20:49:56.450100,,
4,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama for 16 year olds')",jobs in fruitdale alabama,jobs in fruitdale alabama for 16 year olds,5,0,google,2025-10-28 20:49:56.450100,,
5,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama population')",jobs in fruitdale alabama,jobs in fruitdale alabama population,6,0,google,2025-10-28 20:49:56.450100,,
6,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama football')",jobs in fruitdale alabama,jobs in fruitdale alabama football,7,0,google,2025-10-28 20:49:56.450100,,
7,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama high school')",jobs in fruitdale alabama,jobs in fruitdale alabama high school,8,0,google,2025-10-28 20:49:56.450100,,
8,jobs in fruitdale alabama,"('jobs in fruitdale alabama', 'jobs in fruitdale alabama weather')",jobs in fruitdale alabama,jobs in fruitdale alabama weather,9,0,google,2025-10-28 20:49:56.450100,,
9,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring', 'jobs in fruitdale alabama hiring now')",jobs in fruitdale alabama hiring,jobs in fruitdale alabama hiring now,1,1,google,2025-10-28 20:49:57.437523,,jobs in fruitdale alabama
10,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring', 'jobs in fruitdale alabama hiring immediately')",jobs in fruitdale alabama hiring,jobs in fruitdale alabama hiring immediately,2,1,google,2025-10-28 20:49:57.437523,,jobs in fruitdale alabama
11,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring', 'jobs in fruitdale alabama hiring 16 year olds')",jobs in fruitdale alabama hiring,jobs in fruitdale alabama hiring 16 year olds,3,1,google,2025-10-28 20:49:57.437523,,jobs in fruitdale alabama
12,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring', 'jobs in fruitdale alabama hiring right now')",jobs in fruitdale alabama hiring,jobs in fruitdale alabama hiring right now,4,1,google,2025-10-28 20:49:57.437523,,jobs in fruitdale alabama
13,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring', 'jobs in fruitdale alabama hiring 15 year olds')",jobs in fruitdale alabama hiring,jobs in fruitdale alabama hiring 15 year olds,5,1,google,2025-10-28 20:49:57.437523,,jobs in fruitdale alabama
14,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring now', 'jobs in fruitdale alabama hiring now part time')",jobs in fruitdale alabama hiring now,jobs in fruitdale alabama hiring now part time,1,1,google,2025-10-28 20:49:58.335551,,jobs in fruitdale alabama
15,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring now', 'jobs in fruitdale alabama hiring now full time')",jobs in fruitdale alabama hiring now,jobs in fruitdale alabama hiring now full time,2,1,google,2025-10-28 20:49:58.335551,,jobs in fruitdale alabama
16,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring now', 'jobs in fruitdale alabama hiring now 2024')",jobs in fruitdale alabama hiring now,jobs in fruitdale alabama hiring now 2024,3,1,google,2025-10-28 20:49:58.335551,,jobs in fruitdale alabama
17,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring now', 'jobs in fruitdale alabama hiring now no experience')",jobs in fruitdale alabama hiring now,jobs in fruitdale alabama hiring now no experience,4,1,google,2025-10-28 20:49:58.335551,,jobs in fruitdale alabama
18,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring now', 'jobs in fruitdale alabama hiring now no experience needed')",jobs in fruitdale alabama hiring now,jobs in fruitdale alabama hiring now no experience needed,5,1,google,2025-10-28 20:49:58.335551,,jobs in fruitdale alabama
19,jobs in fruitdale alabama,"('jobs in fruitdale alabama area', 'jobs in fruitdale alabama area hiring')",jobs in fruitdale alabama area,jobs in fruitdale alabama area hiring,1,1,google,2025-10-28 20:49:59.199341,,jobs in fruitdale alabama
20,jobs in fruitdale alabama,"('jobs in fruitdale alabama area', 'jobs in fruitdale alabama area hiring now')",jobs in fruitdale alabama area,jobs in fruitdale alabama area hiring now,2,1,google,2025-10-28 20:49:59.199341,,jobs in fruitdale alabama
21,jobs in fruitdale alabama,"('jobs in fruitdale alabama area', 'jobs in fruitdale alabama area area')",jobs in fruitdale alabama area,jobs in fruitdale alabama area area,3,1,google,2025-10-28 20:49:59.199341,,jobs in fruitdale alabama
22,jobs in fruitdale alabama,"('jobs in fruitdale alabama area', 'jobs in fruitdale alabama areas')",jobs in fruitdale alabama area,jobs in fruitdale alabama areas,4,1,google,2025-10-28 20:49:59.199341,,jobs in fruitdale alabama
23,jobs in fruitdale alabama,"('jobs in fruitdale alabama area', 'jobs in fruitdale alabama area for 16 year olds')",jobs in fruitdale alabama area,jobs in fruitdale alabama area for 16 year olds,5,1,google,2025-10-28 20:49:59.199341,,jobs in fruitdale alabama
24,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time jobs')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time jobs,1,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
25,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time evening')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time evening,2,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
26,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time no experience needed')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time no experience needed,3,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
27,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time no experience')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time no experience,4,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
28,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time no degree')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time no degree,5,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
29,jobs in fruitdale alabama,"('jobs in fruitdale alabama part time', 'jobs in fruitdale alabama part time student')",jobs in fruitdale alabama part time,jobs in fruitdale alabama part time student,6,1,google,2025-10-28 20:50:00.480755,,jobs in fruitdale alabama
30,jobs in fruitdale alabama,"('jobs in fruitdale alabama for 16 year olds', 'jobs in fruitdale alabama for 16 year olds hiring')",jobs in fruitdale alabama for 16 year olds,jobs in fruitdale alabama for 16 year olds hiring,1,1,google,2025-10-28 20:50:01.324232,,jobs in fruitdale alabama
31,jobs in fruitdale alabama,"('jobs in fruitdale alabama for 16 year olds', 'jobs in fruitdale alabama for 16 year olds part time')",jobs in fruitdale alabama for 16 year olds,jobs in fruitdale alabama for 16 year olds part time,2,1,google,2025-10-28 20:50:01.324232,,jobs in fruitdale alabama
32,jobs in fruitdale alabama,"('jobs in fruitdale alabama for 16 year olds', 'jobs in fruitdale alabama for 16 year olds hiring now')",jobs in fruitdale alabama for 16 year olds,jobs in fruitdale alabama for 16 year olds hiring now,3,1,google,2025-10-28 20:50:01.324232,,jobs in fruitdale alabama
33,jobs in fruitdale alabama,"('jobs in fruitdale alabama for 16 year olds', 'jobs in fruitdale alabama for 16 year olds no experience')",jobs in fruitdale alabama for 16 year olds,jobs in fruitdale alabama for 16 year olds no experience,4,1,google,2025-10-28 20:50:01.324232,,jobs in fruitdale alabama
34,jobs in fruitdale alabama,"('jobs in fruitdale alabama for 16 year olds', 'jobs in fruitdale alabama for 16 year olds full time')",jobs in fruitdale alabama for 16 year olds,jobs in fruitdale alabama for 16 year olds full time,5,1,google,2025-10-28 20:50:01.324232,,jobs in fruitdale alabama
35,jobs in fruitdale alabama,"('jobs in fruitdale alabama population', 'jobs in fruitdale alabama population 2023')",jobs in fruitdale alabama population,jobs in fruitdale alabama population 2023,1,1,google,2025-10-28 20:50:02.565120,,jobs in fruitdale alabama
36,jobs in fruitdale alabama,"('jobs in fruitdale alabama population', 'jobs in fruitdale alabama population 2024')",jobs in fruitdale alabama population,jobs in fruitdale alabama population 2024,2,1,google,2025-10-28 20:50:02.565120,,jobs in fruitdale alabama
37,jobs in fruitdale alabama,"('jobs in fruitdale alabama population', 'jobs in fruitdale alabama population growth')",jobs in fruitdale alabama population,jobs in fruitdale alabama population growth,3,1,google,2025-10-28 20:50:02.565120,,jobs in fruitdale alabama
38,jobs in fruitdale alabama,"('jobs in fruitdale alabama population', 'jobs in fruitdale alabama population demographics')",jobs in fruitdale alabama population,jobs in fruitdale alabama population demographics,4,1,google,2025-10-28 20:50:02.565120,,jobs in fruitdale alabama
39,jobs in fruitdale alabama,"('jobs in fruitdale alabama population', 'jobs in fruitdale alabama populations')",jobs in fruitdale alabama population,jobs in fruitdale alabama populations,5,1,google,2025-10-28 20:50:02.565120,,jobs in fruitdale alabama
40,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football coach')",jobs in fruitdale alabama football,jobs in fruitdale alabama football coach,1,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
41,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football team')",jobs in fruitdale alabama football,jobs in fruitdale alabama football team,2,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
42,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football field')",jobs in fruitdale alabama football,jobs in fruitdale alabama football field,3,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
43,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football player')",jobs in fruitdale alabama football,jobs in fruitdale alabama football player,4,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
44,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football coach jobs')",jobs in fruitdale alabama football,jobs in fruitdale alabama football coach jobs,5,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
45,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football schedule')",jobs in fruitdale alabama football,jobs in fruitdale alabama football schedule,6,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
46,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football roster')",jobs in fruitdale alabama football,jobs in fruitdale alabama football roster,7,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
47,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football history')",jobs in fruitdale alabama football,jobs in fruitdale alabama football history,8,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
48,jobs in fruitdale alabama,"('jobs in fruitdale alabama football', 'jobs in fruitdale alabama football schedule 2022')",jobs in fruitdale alabama football,jobs in fruitdale alabama football schedule 2022,9,1,google,2025-10-28 20:50:03.996601,,jobs in fruitdale alabama
49,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school students')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school students,1,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
50,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school diploma')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school diploma,2,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
51,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high schools')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high schools,3,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
52,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school jobs')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school jobs,4,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
53,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school diploma program')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school diploma program,5,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
54,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school football scores')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school football scores,6,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
55,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school football')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school football,7,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
56,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school football rankings')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school football rankings,8,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
57,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school fruitdale')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school fruitdale,9,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
58,jobs in fruitdale alabama,"('jobs in fruitdale alabama high school', 'jobs in fruitdale alabama high school staff')",jobs in fruitdale alabama high school,jobs in fruitdale alabama high school staff,10,1,google,2025-10-28 20:50:05.445167,,jobs in fruitdale alabama
59,jobs in fruitdale alabama,"('jobs in fruitdale alabama weather', 'jobs in fruitdale alabama weather jobs')",jobs in fruitdale alabama weather,jobs in fruitdale alabama weather jobs,1,1,google,2025-10-28 20:50:06.913333,,jobs in fruitdale alabama
60,jobs in fruitdale alabama,"('jobs in fruitdale alabama weather', 'jobs in fruitdale alabama weather forecast')",jobs in fruitdale alabama weather,jobs in fruitdale alabama weather forecast,2,1,google,2025-10-28 20:50:06.913333,,jobs in fruitdale alabama
61,jobs in fruitdale alabama,"('jobs in fruitdale alabama weather', 'jobs in fruitdale alabama weather related')",jobs in fruitdale alabama weather,jobs in fruitdale alabama weather related,3,1,google,2025-10-28 20:50:06.913333,,jobs in fruitdale alabama
62,jobs in fruitdale alabama,"('jobs in fruitdale alabama weather', 'jobs in fruitdale alabama weatherford tx')",jobs in fruitdale alabama weather,jobs in fruitdale alabama weatherford tx,4,1,google,2025-10-28 20:50:06.913333,,jobs in fruitdale alabama
63,jobs in fruitdale alabama,"('jobs in fruitdale alabama weather', 'jobs in fruitdale alabama weatherford')",jobs in fruitdale alabama weather,jobs in fruitdale alabama weatherford,5,1,google,2025-10-28 20:50:06.913333,,jobs in fruitdale alabama
64,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately part time')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately part time,1,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
65,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately full time')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately full time,2,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
66,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately no experience needed')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately no experience needed,3,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
67,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately no experience')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately no experience,4,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
68,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately hiring')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately hiring,5,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
69,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately phoenix')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately phoenix,6,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
70,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately mesa az')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately mesa az,7,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
71,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately scottsdale')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately scottsdale,8,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
72,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately flagstaff')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately flagstaff,9,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
73,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring immediately', 'jobs in fruitdale alabama hiring immediately chandler')",jobs in fruitdale alabama hiring immediately,jobs in fruitdale alabama hiring immediately chandler,10,2,google,2025-10-28 20:50:08.314903,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
74,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring 16 year olds', 'jobs in fruitdale alabama hiring 16 year olds part time')",jobs in fruitdale alabama hiring 16 year olds,jobs in fruitdale alabama hiring 16 year olds part time,1,2,google,2025-10-28 20:50:09.186986,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
75,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring 16 year olds', 'jobs in fruitdale alabama hiring 16 year olds no experience')",jobs in fruitdale alabama hiring 16 year olds,jobs in fruitdale alabama hiring 16 year olds no experience,2,2,google,2025-10-28 20:50:09.186986,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
76,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring 16 year olds', 'jobs in fruitdale alabama hiring 16 year olds full time')",jobs in fruitdale alabama hiring 16 year olds,jobs in fruitdale alabama hiring 16 year olds full time,3,2,google,2025-10-28 20:50:09.186986,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
77,jobs in fruitdale alabama,"('jobs in fruitdale alabama hiring 16 year olds', 'jobs in fruitdale alabama hiring 16 year olds no experience needed')",jobs in fruitdale alabama hiring 16 year olds,jobs in fruitdale alabama hiring 16 year olds no experience needed,4,2,google,2025-10-28 20:50:09.186986,jobs in fruitdale alabama,jobs in fruitdale alabama hiring
