,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in fulton alabama,"('jobs in fulton alabama', 'jobs in fultondale alabama')",jobs in fulton alabama,jobs in fultondale alabama,1,0,google,2025-10-28 21:04:30.832029,,
1,jobs in fulton alabama,"('jobs in fulton alabama', 'jobs in fulton al')",jobs in fulton alabama,jobs in fulton al,2,0,google,2025-10-28 21:04:30.832029,,
2,jobs in fulton alabama,"('jobs in fulton alabama', 'jobs in fultondale')",jobs in fulton alabama,jobs in fultondale,3,0,google,2025-10-28 21:04:30.832029,,
3,jobs in fulton alabama,"('jobs in fulton alabama', 'jobs in fulton county')",jobs in fulton alabama,jobs in fulton county,4,0,google,2025-10-28 21:04:30.832029,,
4,jobs in fulton alabama,"('jobs in fultondale alabama', 'jobs hiring fultondale alabama')",jobs in fultondale alabama,jobs hiring fultondale alabama,1,1,google,2025-10-28 21:04:32.292701,,jobs in fulton alabama
5,jobs in fulton alabama,"('jobs in fultondale alabama', 'jobs in fultondale')",jobs in fultondale alabama,jobs in fultondale,2,1,google,2025-10-28 21:04:32.292701,,jobs in fulton alabama
6,jobs in fulton alabama,"('jobs in fultondale alabama', 'fultondale city jobs')",jobs in fultondale alabama,fultondale city jobs,3,1,google,2025-10-28 21:04:32.292701,,jobs in fulton alabama
7,jobs in fulton alabama,"('jobs in fulton al', 'jobs in fultondale al')",jobs in fulton al,jobs in fultondale al,1,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
8,jobs in fulton alabama,"('jobs in fulton al', 'jobs hiring in fultondale al')",jobs in fulton al,jobs hiring in fultondale al,2,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
9,jobs in fulton alabama,"('jobs in fulton al', 'part time jobs in fultondale al')",jobs in fulton al,part time jobs in fultondale al,3,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
10,jobs in fulton alabama,"('jobs in fulton al', 'full time jobs in fultondale al')",jobs in fulton al,full time jobs in fultondale al,4,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
11,jobs in fulton alabama,"('jobs in fulton al', 'jobs in canal fulton')",jobs in fulton al,jobs in canal fulton,5,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
12,jobs in fulton alabama,"('jobs in fulton al', 'jobs in fulton county')",jobs in fulton al,jobs in fulton county,6,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
13,jobs in fulton alabama,"('jobs in fulton al', 'jobs in fulton ms')",jobs in fulton al,jobs in fulton ms,7,1,google,2025-10-28 21:04:33.585511,,jobs in fulton alabama
14,jobs in fulton alabama,"('jobs in fultondale', 'jobs in fultondale al')",jobs in fultondale,jobs in fultondale al,1,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
15,jobs in fulton alabama,"('jobs in fultondale', 'jobs hiring in fultondale al')",jobs in fultondale,jobs hiring in fultondale al,2,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
16,jobs in fulton alabama,"('jobs in fultondale', 'jobs hiring in fultondale')",jobs in fultondale,jobs hiring in fultondale,3,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
17,jobs in fulton alabama,"('jobs in fultondale', 'part time jobs in fultondale al')",jobs in fultondale,part time jobs in fultondale al,4,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
18,jobs in fulton alabama,"('jobs in fultondale', 'full time jobs in fultondale al')",jobs in fultondale,full time jobs in fultondale al,5,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
19,jobs in fulton alabama,"('jobs in fultondale', 'part time jobs in fultondale')",jobs in fultondale,part time jobs in fultondale,6,1,google,2025-10-28 21:04:34.495160,,jobs in fulton alabama
20,jobs in fulton alabama,"('jobs in fulton county', 'jobs in fulton county ga')",jobs in fulton county,jobs in fulton county ga,1,1,google,2025-10-28 21:04:35.319933,,jobs in fulton alabama
