,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs in gadsden alabama no degree')",jobs in gadsden alabama,jobs in gadsden alabama no degree,1,0,google,2025-10-28 21:07:39.794009,,
1,jobs in gadsden alabama,"('jobs in gadsden alabama', 'hiring in gadsden alabama')",jobs in gadsden alabama,hiring in gadsden alabama,2,0,google,2025-10-28 21:07:39.794009,,
2,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs in gadsden al for 16 year olds')",jobs in gadsden alabama,jobs in gadsden al for 16 year olds,3,0,google,2025-10-28 21:07:39.794009,,
3,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs in gadsden al remote')",jobs in gadsden alabama,jobs in gadsden al remote,4,0,google,2025-10-28 21:07:39.794009,,
4,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs in gadsden al full time')",jobs in gadsden alabama,jobs in gadsden al full time,5,0,google,2025-10-28 21:07:39.794009,,
5,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs in gadsden al part time')",jobs in gadsden alabama,jobs in gadsden al part time,6,0,google,2025-10-28 21:07:39.794009,,
6,jobs in gadsden alabama,"('jobs in gadsden alabama', 'jobs hiring in gadsden alabama')",jobs in gadsden alabama,jobs hiring in gadsden alabama,7,0,google,2025-10-28 21:07:39.794009,,
7,jobs in gadsden alabama,"('jobs in gadsden alabama', 'indeed jobs in gadsden alabama')",jobs in gadsden alabama,indeed jobs in gadsden alabama,8,0,google,2025-10-28 21:07:39.794009,,
8,jobs in gadsden alabama,"('jobs in gadsden alabama', 'maintenance jobs in gadsden alabama')",jobs in gadsden alabama,maintenance jobs in gadsden alabama,9,0,google,2025-10-28 21:07:39.794009,,
9,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'full time jobs gadsden al no degree')",jobs in gadsden alabama no degree,full time jobs gadsden al no degree,1,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
10,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'good paying jobs in alabama without a degree')",jobs in gadsden alabama no degree,good paying jobs in alabama without a degree,2,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
11,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'high paying jobs in alabama without a degree')",jobs in gadsden alabama no degree,high paying jobs in alabama without a degree,3,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
12,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'jobs in gadsden al')",jobs in gadsden alabama no degree,jobs in gadsden al,4,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
13,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'jobs in gadsden alabama area')",jobs in gadsden alabama no degree,jobs in gadsden alabama area,5,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
14,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'jobs in gadsden alabama')",jobs in gadsden alabama no degree,jobs in gadsden alabama,6,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
15,jobs in gadsden alabama,"('jobs in gadsden alabama no degree', 'jobs in gadsden al for 16 year olds')",jobs in gadsden alabama no degree,jobs in gadsden al for 16 year olds,7,1,google,2025-10-28 21:07:41.115143,,jobs in gadsden alabama
16,jobs in gadsden alabama,"('hiring in gadsden alabama', 'jobs in gadsden alabama')",hiring in gadsden alabama,jobs in gadsden alabama,1,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
17,jobs in gadsden alabama,"('hiring in gadsden alabama', 'jobs in gadsden alabama no degree')",hiring in gadsden alabama,jobs in gadsden alabama no degree,2,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
18,jobs in gadsden alabama,"('hiring in gadsden alabama', 'jobs hiring in gadsden alabama')",hiring in gadsden alabama,jobs hiring in gadsden alabama,3,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
19,jobs in gadsden alabama,"('hiring in gadsden alabama', 'places hiring in gadsden alabama')",hiring in gadsden alabama,places hiring in gadsden alabama,4,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
20,jobs in gadsden alabama,"('hiring in gadsden alabama', 'indeed jobs in gadsden alabama')",hiring in gadsden alabama,indeed jobs in gadsden alabama,5,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
21,jobs in gadsden alabama,"('hiring in gadsden alabama', 'job corps in gadsden alabama')",hiring in gadsden alabama,job corps in gadsden alabama,6,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
22,jobs in gadsden alabama,"('hiring in gadsden alabama', 'job openings in gadsden alabama')",hiring in gadsden alabama,job openings in gadsden alabama,7,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
23,jobs in gadsden alabama,"('hiring in gadsden alabama', 'maintenance jobs in gadsden alabama')",hiring in gadsden alabama,maintenance jobs in gadsden alabama,8,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
24,jobs in gadsden alabama,"('hiring in gadsden alabama', 'jobs available in gadsden alabama')",hiring in gadsden alabama,jobs available in gadsden alabama,9,1,google,2025-10-28 21:07:42.194241,,jobs in gadsden alabama
25,jobs in gadsden alabama,"('jobs in gadsden al for 16 year olds', 'jobs in snellville ga for 16 year olds')",jobs in gadsden al for 16 year olds,jobs in snellville ga for 16 year olds,1,1,google,2025-10-28 21:07:43.189092,,jobs in gadsden alabama
26,jobs in gadsden alabama,"('jobs in gadsden al for 16 year olds', 'gadsden al job')",jobs in gadsden al for 16 year olds,gadsden al job,2,1,google,2025-10-28 21:07:43.189092,,jobs in gadsden alabama
27,jobs in gadsden alabama,"('jobs in gadsden al for 16 year olds', 'gadsden al jobs hiring')",jobs in gadsden al for 16 year olds,gadsden al jobs hiring,3,1,google,2025-10-28 21:07:43.189092,,jobs in gadsden alabama
28,jobs in gadsden alabama,"('jobs in gadsden al for 16 year olds', 'jobs in gadsden alabama area')",jobs in gadsden al for 16 year olds,jobs in gadsden alabama area,4,1,google,2025-10-28 21:07:43.189092,,jobs in gadsden alabama
29,jobs in gadsden alabama,"('jobs in gadsden al remote', 'indeed jobs gadsden al remote')",jobs in gadsden al remote,indeed jobs gadsden al remote,1,1,google,2025-10-28 21:07:44.024565,,jobs in gadsden alabama
30,jobs in gadsden alabama,"('jobs in gadsden al remote', 'jobs in gadsden alabama area')",jobs in gadsden al remote,jobs in gadsden alabama area,2,1,google,2025-10-28 21:07:44.024565,,jobs in gadsden alabama
31,jobs in gadsden alabama,"('jobs in gadsden al remote', 'jobs in gadsden alabama')",jobs in gadsden al remote,jobs in gadsden alabama,3,1,google,2025-10-28 21:07:44.024565,,jobs in gadsden alabama
32,jobs in gadsden alabama,"('jobs in gadsden al remote', 'jobs in gadsden al')",jobs in gadsden al remote,jobs in gadsden al,4,1,google,2025-10-28 21:07:44.024565,,jobs in gadsden alabama
33,jobs in gadsden alabama,"('jobs in gadsden al full time', 'jobs in gadsden al part time')",jobs in gadsden al full time,jobs in gadsden al part time,1,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
34,jobs in gadsden alabama,"('jobs in gadsden al full time', 'indeed jobs gadsden al full time')",jobs in gadsden al full time,indeed jobs gadsden al full time,2,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
35,jobs in gadsden alabama,"('jobs in gadsden al full time', 'jobs hiring gadsden al part time')",jobs in gadsden al full time,jobs hiring gadsden al part time,3,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
36,jobs in gadsden alabama,"('jobs in gadsden al full time', 'fast foods hiring in gadsden al part time')",jobs in gadsden al full time,fast foods hiring in gadsden al part time,4,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
37,jobs in gadsden alabama,"('jobs in gadsden al full time', 'indeed jobs gadsden al part time')",jobs in gadsden al full time,indeed jobs gadsden al part time,5,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
38,jobs in gadsden alabama,"('jobs in gadsden al full time', 'full time jobs hiring in gadsden al')",jobs in gadsden al full time,full time jobs hiring in gadsden al,6,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
39,jobs in gadsden alabama,"('jobs in gadsden al full time', 'jobs in gadsden alabama area')",jobs in gadsden al full time,jobs in gadsden alabama area,7,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
40,jobs in gadsden alabama,"('jobs in gadsden al full time', 'jobs in gadsden al for 16 year olds')",jobs in gadsden al full time,jobs in gadsden al for 16 year olds,8,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
41,jobs in gadsden alabama,"('jobs in gadsden al full time', 'jobs in gadsden alabama')",jobs in gadsden al full time,jobs in gadsden alabama,9,1,google,2025-10-28 21:07:44.953641,,jobs in gadsden alabama
42,jobs in gadsden alabama,"('jobs in gadsden al part time', 'jobs in gadsden al full time')",jobs in gadsden al part time,jobs in gadsden al full time,1,1,google,2025-10-28 21:07:45.831986,,jobs in gadsden alabama
43,jobs in gadsden alabama,"('jobs in gadsden al part time', 'jobs hiring gadsden al part time')",jobs in gadsden al part time,jobs hiring gadsden al part time,2,1,google,2025-10-28 21:07:45.831986,,jobs in gadsden alabama
44,jobs in gadsden alabama,"('jobs in gadsden al part time', 'fast foods hiring in gadsden al part time')",jobs in gadsden al part time,fast foods hiring in gadsden al part time,3,1,google,2025-10-28 21:07:45.831986,,jobs in gadsden alabama
45,jobs in gadsden alabama,"('jobs in gadsden al part time', 'indeed jobs gadsden al part time')",jobs in gadsden al part time,indeed jobs gadsden al part time,4,1,google,2025-10-28 21:07:45.831986,,jobs in gadsden alabama
