,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in galena alaska,"('jobs in galena alaska', 'jobs in galena')",jobs in galena alaska,jobs in galena,1,0,google,2025-10-28 15:22:44.902424,,
1,jobs in galena alaska,"('jobs in galena alaska', 'jobs in galena ak')",jobs in galena alaska,jobs in galena ak,2,0,google,2025-10-28 15:22:44.902424,,
2,jobs in galena alaska,"('jobs in galena alaska', 'jobs in galena ks')",jobs in galena alaska,jobs in galena ks,3,0,google,2025-10-28 15:22:44.902424,,
3,jobs in galena alaska,"('jobs in galena alaska', 'jobs in galena kansas')",jobs in galena alaska,jobs in galena kansas,4,0,google,2025-10-28 15:22:44.902424,,
4,jobs in galena alaska,"('jobs in galena', 'jobs in galena il')",jobs in galena,jobs in galena il,1,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
5,jobs in galena alaska,"('jobs in galena', 'jobs in galena ks')",jobs in galena,jobs in galena ks,2,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
6,jobs in galena alaska,"('jobs in galena', 'jobs in galena md')",jobs in galena,jobs in galena md,3,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
7,jobs in galena alaska,"('jobs in galena', 'jobs in galena park')",jobs in galena,jobs in galena park,4,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
8,jobs in galena alaska,"('jobs in galena', 'jobs in galena mo')",jobs in galena,jobs in galena mo,5,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
9,jobs in galena alaska,"('jobs in galena', 'jobs in galena ohio')",jobs in galena,jobs in galena ohio,6,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
10,jobs in galena alaska,"('jobs in galena', 'jobs in galena park texas')",jobs in galena,jobs in galena park texas,7,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
11,jobs in galena alaska,"('jobs in galena', 'jobs in galena alaska')",jobs in galena,jobs in galena alaska,8,1,google,2025-10-28 15:22:46.320835,,jobs in galena alaska
