,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in gassville arkansas,"('jobs in gassville arkansas', 'what kind of jobs are in arkansas')",jobs in gassville arkansas,what kind of jobs are in arkansas,1,0,google,2025-10-29 19:10:11.950191,,
1,jobs in gassville arkansas,"('jobs in gassville arkansas', 'what jobs are in arkansas')",jobs in gassville arkansas,what jobs are in arkansas,2,0,google,2025-10-29 19:10:11.950191,,
2,jobs in gassville arkansas,"('jobs in gassville arkansas', 'common jobs in arkansas')",jobs in gassville arkansas,common jobs in arkansas,3,0,google,2025-10-29 19:10:11.950191,,
3,jobs in gassville arkansas,"('jobs in gassville arkansas', 'jobs in gassville ar')",jobs in gassville arkansas,jobs in gassville ar,4,0,google,2025-10-29 19:10:11.950191,,
4,jobs in gassville arkansas,"('jobs in gassville arkansas', 'jobs hiring in gassville ar')",jobs in gassville arkansas,jobs hiring in gassville ar,5,0,google,2025-10-29 19:10:11.950191,,
5,jobs in gassville arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-29 19:10:12.821008,,jobs in gassville arkansas
6,jobs in gassville arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-29 19:10:12.821008,,jobs in gassville arkansas
7,jobs in gassville arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-29 19:10:12.821008,,jobs in gassville arkansas
8,jobs in gassville arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-29 19:10:12.821008,,jobs in gassville arkansas
9,jobs in gassville arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-29 19:10:12.821008,,jobs in gassville arkansas
10,jobs in gassville arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-29 19:10:13.646697,,jobs in gassville arkansas
