,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in gentry arkansas,"('jobs in gentry arkansas', 'indeed jobs in gentry arkansas')",jobs in gentry arkansas,indeed jobs in gentry arkansas,1,0,google,2025-10-29 19:12:08.757224,,
1,jobs in gentry arkansas,"('jobs in gentry arkansas', 'part time jobs in gentry arkansas')",jobs in gentry arkansas,part time jobs in gentry arkansas,2,0,google,2025-10-29 19:12:08.757224,,
2,jobs in gentry arkansas,"('jobs in gentry arkansas', 'jobs hiring in gentry ar')",jobs in gentry arkansas,jobs hiring in gentry ar,3,0,google,2025-10-29 19:12:08.757224,,
3,jobs in gentry arkansas,"('jobs in gentry arkansas', 'jobs in gentry ar')",jobs in gentry arkansas,jobs in gentry ar,4,0,google,2025-10-29 19:12:08.757224,,
4,jobs in gentry arkansas,"('jobs in gentry arkansas', 'jobs in gentry')",jobs in gentry arkansas,jobs in gentry,5,0,google,2025-10-29 19:12:08.757224,,
5,jobs in gentry arkansas,"('indeed jobs in gentry arkansas', 'indeed jobs gentry ar')",indeed jobs in gentry arkansas,indeed jobs gentry ar,1,1,google,2025-10-29 19:12:09.845434,,jobs in gentry arkansas
6,jobs in gentry arkansas,"('indeed jobs in gentry arkansas', 'gentry ar jobs')",indeed jobs in gentry arkansas,gentry ar jobs,2,1,google,2025-10-29 19:12:09.845434,,jobs in gentry arkansas
7,jobs in gentry arkansas,"('indeed jobs in gentry arkansas', 'jobs in gentry arkansas')",indeed jobs in gentry arkansas,jobs in gentry arkansas,3,1,google,2025-10-29 19:12:09.845434,,jobs in gentry arkansas
8,jobs in gentry arkansas,"('part time jobs in gentry arkansas', 'full time jobs in gentry ar')",part time jobs in gentry arkansas,full time jobs in gentry ar,1,1,google,2025-10-29 19:12:10.796344,,jobs in gentry arkansas
9,jobs in gentry arkansas,"('part time jobs in gentry arkansas', 'part time jobs in gentry ar')",part time jobs in gentry arkansas,part time jobs in gentry ar,2,1,google,2025-10-29 19:12:10.796344,,jobs in gentry arkansas
10,jobs in gentry arkansas,"('part time jobs in gentry arkansas', 'gentry ar jobs')",part time jobs in gentry arkansas,gentry ar jobs,3,1,google,2025-10-29 19:12:10.796344,,jobs in gentry arkansas
11,jobs in gentry arkansas,"('part time jobs in gentry arkansas', 'gentry jobs')",part time jobs in gentry arkansas,gentry jobs,4,1,google,2025-10-29 19:12:10.796344,,jobs in gentry arkansas
12,jobs in gentry arkansas,"('jobs hiring in gentry ar', 'jobs near gentry ar')",jobs hiring in gentry ar,jobs near gentry ar,1,1,google,2025-10-29 19:12:11.882685,,jobs in gentry arkansas
13,jobs in gentry arkansas,"('jobs hiring in gentry ar', 'jobs in gentry arkansas')",jobs hiring in gentry ar,jobs in gentry arkansas,2,1,google,2025-10-29 19:12:11.882685,,jobs in gentry arkansas
14,jobs in gentry arkansas,"('jobs hiring in gentry ar', 'jobs in gentry')",jobs hiring in gentry ar,jobs in gentry,3,1,google,2025-10-29 19:12:11.882685,,jobs in gentry arkansas
15,jobs in gentry arkansas,"('jobs in gentry ar', 'jobs in gentry arkansas')",jobs in gentry ar,jobs in gentry arkansas,1,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
16,jobs in gentry arkansas,"('jobs in gentry ar', 'hiring in gentry ar')",jobs in gentry ar,hiring in gentry ar,2,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
17,jobs in gentry arkansas,"('jobs in gentry ar', 'jobs hiring in gentry ar')",jobs in gentry ar,jobs hiring in gentry ar,3,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
18,jobs in gentry arkansas,"('jobs in gentry ar', 'indeed jobs in gentry arkansas')",jobs in gentry ar,indeed jobs in gentry arkansas,4,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
19,jobs in gentry arkansas,"('jobs in gentry ar', 'part time jobs in gentry ar')",jobs in gentry ar,part time jobs in gentry ar,5,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
20,jobs in gentry arkansas,"('jobs in gentry ar', 'full time jobs in gentry ar')",jobs in gentry ar,full time jobs in gentry ar,6,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
21,jobs in gentry arkansas,"('jobs in gentry ar', 'jobs near gentry ar')",jobs in gentry ar,jobs near gentry ar,7,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
22,jobs in gentry arkansas,"('jobs in gentry ar', 'places hiring in gentry ar')",jobs in gentry ar,places hiring in gentry ar,8,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
23,jobs in gentry arkansas,"('jobs in gentry ar', 'jobs in gentry')",jobs in gentry ar,jobs in gentry,9,1,google,2025-10-29 19:12:12.693633,,jobs in gentry arkansas
24,jobs in gentry arkansas,"('jobs in gentry', 'jobs in gentry arkansas')",jobs in gentry,jobs in gentry arkansas,1,1,google,2025-10-29 19:12:13.852135,,jobs in gentry arkansas
25,jobs in gentry arkansas,"('jobs in gentry', 'jobs hiring in gentry ar')",jobs in gentry,jobs hiring in gentry ar,2,1,google,2025-10-29 19:12:13.852135,,jobs in gentry arkansas
26,jobs in gentry arkansas,"('jobs in gentry', 'indeed jobs in gentry arkansas')",jobs in gentry,indeed jobs in gentry arkansas,3,1,google,2025-10-29 19:12:13.852135,,jobs in gentry arkansas
27,jobs in gentry arkansas,"('jobs in gentry', 'part time jobs in gentry ar')",jobs in gentry,part time jobs in gentry ar,4,1,google,2025-10-29 19:12:13.852135,,jobs in gentry arkansas
