,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in girdwood alaska,"('jobs in girdwood alaska', 'what is in girdwood alaska')",jobs in girdwood alaska,what is in girdwood alaska,1,0,google,2025-10-28 15:23:39.705764,,
1,jobs in girdwood alaska,"('jobs in girdwood alaska', 'stores in girdwood alaska')",jobs in girdwood alaska,stores in girdwood alaska,2,0,google,2025-10-28 15:23:39.705764,,
2,jobs in girdwood alaska,"('jobs in girdwood alaska', 'what jobs are available in alaska')",jobs in girdwood alaska,what jobs are available in alaska,3,0,google,2025-10-28 15:23:39.705764,,
3,jobs in girdwood alaska,"('jobs in girdwood alaska', 'jobs in girdwood')",jobs in girdwood alaska,jobs in girdwood,4,0,google,2025-10-28 15:23:39.705764,,
4,jobs in girdwood alaska,"('jobs in girdwood alaska', 'jobs in girdwood ak')",jobs in girdwood alaska,jobs in girdwood ak,5,0,google,2025-10-28 15:23:39.705764,,
5,jobs in girdwood alaska,"('what is in girdwood alaska', 'what is girdwood alaska known for')",what is in girdwood alaska,what is girdwood alaska known for,1,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
6,jobs in girdwood alaska,"('what is in girdwood alaska', 'what is the temperature in girdwood alaska')",what is in girdwood alaska,what is the temperature in girdwood alaska,2,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
7,jobs in girdwood alaska,"('what is in girdwood alaska', 'what is the weather in girdwood alaska')",what is in girdwood alaska,what is the weather in girdwood alaska,3,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
8,jobs in girdwood alaska,"('what is in girdwood alaska', 'what time is it in girdwood alaska')",what is in girdwood alaska,what time is it in girdwood alaska,4,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
9,jobs in girdwood alaska,"('what is in girdwood alaska', 'what is there to do in girdwood alaska')",what is in girdwood alaska,what is there to do in girdwood alaska,5,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
10,jobs in girdwood alaska,"('what is in girdwood alaska', 'what time is sunset in girdwood alaska')",what is in girdwood alaska,what time is sunset in girdwood alaska,6,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
11,jobs in girdwood alaska,"('what is in girdwood alaska', 'what to see in girdwood alaska')",what is in girdwood alaska,what to see in girdwood alaska,7,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
12,jobs in girdwood alaska,"('what is in girdwood alaska', 'what to do in girdwood alaska today')",what is in girdwood alaska,what to do in girdwood alaska today,8,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
13,jobs in girdwood alaska,"('what is in girdwood alaska', 'what county is girdwood alaska')",what is in girdwood alaska,what county is girdwood alaska,9,1,google,2025-10-28 15:23:41.081366,,jobs in girdwood alaska
14,jobs in girdwood alaska,"('stores in girdwood alaska', 'shopping in girdwood alaska')",stores in girdwood alaska,shopping in girdwood alaska,1,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
15,jobs in girdwood alaska,"('stores in girdwood alaska', 'grocery stores in girdwood alaska')",stores in girdwood alaska,grocery stores in girdwood alaska,2,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
16,jobs in girdwood alaska,"('stores in girdwood alaska', 'thrift stores in girdwood alaska')",stores in girdwood alaska,thrift stores in girdwood alaska,3,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
17,jobs in girdwood alaska,"('stores in girdwood alaska', 'liquor store in girdwood alaska')",stores in girdwood alaska,liquor store in girdwood alaska,4,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
18,jobs in girdwood alaska,"('stores in girdwood alaska', 'coffee shops in girdwood alaska')",stores in girdwood alaska,coffee shops in girdwood alaska,5,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
19,jobs in girdwood alaska,"('stores in girdwood alaska', 'bake shop in girdwood alaska')",stores in girdwood alaska,bake shop in girdwood alaska,6,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
20,jobs in girdwood alaska,"('stores in girdwood alaska', 'what is in girdwood alaska')",stores in girdwood alaska,what is in girdwood alaska,7,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
21,jobs in girdwood alaska,"('stores in girdwood alaska', 'fun things to do in girdwood alaska')",stores in girdwood alaska,fun things to do in girdwood alaska,8,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
22,jobs in girdwood alaska,"('stores in girdwood alaska', 'stores in girdwood')",stores in girdwood alaska,stores in girdwood,9,1,google,2025-10-28 15:23:41.905055,,jobs in girdwood alaska
23,jobs in girdwood alaska,"('what jobs are available in alaska', 'what jobs are there in alaska')",what jobs are available in alaska,what jobs are there in alaska,1,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
24,jobs in girdwood alaska,"('what jobs are available in alaska', 'what jobs are available in anchorage alaska')",what jobs are available in alaska,what jobs are available in anchorage alaska,2,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
25,jobs in girdwood alaska,"('what jobs are available in alaska', 'what jobs are available in fairbanks alaska')",what jobs are available in alaska,what jobs are available in fairbanks alaska,3,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
26,jobs in girdwood alaska,"('what jobs are available in alaska', 'what kind of jobs are there in alaska')",what jobs are available in alaska,what kind of jobs are there in alaska,4,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
27,jobs in girdwood alaska,"('what jobs are available in alaska', 'what jobs are there in whittier alaska')",what jobs are available in alaska,what jobs are there in whittier alaska,5,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
28,jobs in girdwood alaska,"('what jobs are available in alaska', 'what jobs are there in barrow alaska')",what jobs are available in alaska,what jobs are there in barrow alaska,6,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
29,jobs in girdwood alaska,"('what jobs are available in alaska', 'what kind of jobs are there in nome alaska')",what jobs are available in alaska,what kind of jobs are there in nome alaska,7,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
30,jobs in girdwood alaska,"('what jobs are available in alaska', 'what is the most common job in alaska')",what jobs are available in alaska,what is the most common job in alaska,8,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
31,jobs in girdwood alaska,"('what jobs are available in alaska', 'what kind of jobs are available in alaska')",what jobs are available in alaska,what kind of jobs are available in alaska,9,1,google,2025-10-28 15:23:42.855530,,jobs in girdwood alaska
32,jobs in girdwood alaska,"('jobs in girdwood', 'jobs in girdwood alaska')",jobs in girdwood,jobs in girdwood alaska,1,1,google,2025-10-28 15:23:43.664689,,jobs in girdwood alaska
33,jobs in girdwood alaska,"('jobs in girdwood', 'jobs in girdwood ak')",jobs in girdwood,jobs in girdwood ak,2,1,google,2025-10-28 15:23:43.664689,,jobs in girdwood alaska
34,jobs in girdwood alaska,"('jobs in girdwood ak', 'jobs in girdwood alaska')",jobs in girdwood ak,jobs in girdwood alaska,1,1,google,2025-10-28 15:23:44.499654,,jobs in girdwood alaska
35,jobs in girdwood alaska,"('jobs in girdwood ak', 'jobs in girdwood')",jobs in girdwood ak,jobs in girdwood,2,1,google,2025-10-28 15:23:44.499654,,jobs in girdwood alaska
36,jobs in girdwood alaska,"('what is girdwood alaska known for', 'what is in girdwood alaska')",what is girdwood alaska known for,what is in girdwood alaska,1,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
37,jobs in girdwood alaska,"('what is girdwood alaska known for', 'girdwood alaska places to eat')",what is girdwood alaska known for,girdwood alaska places to eat,2,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
38,jobs in girdwood alaska,"('what is girdwood alaska known for', 'girdwood alaska activities')",what is girdwood alaska known for,girdwood alaska activities,3,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
39,jobs in girdwood alaska,"('what is girdwood alaska known for', 'is girdwood part of anchorage')",what is girdwood alaska known for,is girdwood part of anchorage,4,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
40,jobs in girdwood alaska,"('what is girdwood alaska known for', 'how did girdwood get its name')",what is girdwood alaska known for,how did girdwood get its name,5,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
41,jobs in girdwood alaska,"('what is girdwood alaska known for', 'girdwood definition')",what is girdwood alaska known for,girdwood definition,6,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
42,jobs in girdwood alaska,"('what is girdwood alaska known for', 'is girdwood a rainforest')",what is girdwood alaska known for,is girdwood a rainforest,7,2,google,2025-10-28 15:23:45.505973,jobs in girdwood alaska,what is in girdwood alaska
43,jobs in girdwood alaska,"('what is the temperature in girdwood alaska', 'what is in girdwood alaska')",what is the temperature in girdwood alaska,what is in girdwood alaska,1,2,google,2025-10-28 15:23:46.630438,jobs in girdwood alaska,what is in girdwood alaska
44,jobs in girdwood alaska,"('what is the temperature in girdwood alaska', 'girdwood alaska weather')",what is the temperature in girdwood alaska,girdwood alaska weather,2,2,google,2025-10-28 15:23:46.630438,jobs in girdwood alaska,what is in girdwood alaska
45,jobs in girdwood alaska,"('what is the temperature in girdwood alaska', 'girdwood temperature')",what is the temperature in girdwood alaska,girdwood temperature,3,2,google,2025-10-28 15:23:46.630438,jobs in girdwood alaska,what is in girdwood alaska
46,jobs in girdwood alaska,"('what is the temperature in girdwood alaska', 'weather in girdwood alaska in july')",what is the temperature in girdwood alaska,weather in girdwood alaska in july,4,2,google,2025-10-28 15:23:46.630438,jobs in girdwood alaska,what is in girdwood alaska
47,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'what is the temperature in girdwood alaska')",what is the weather in girdwood alaska,what is the temperature in girdwood alaska,1,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
48,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'what is in girdwood alaska')",what is the weather in girdwood alaska,what is in girdwood alaska,2,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
49,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'weather in girdwood alaska in july')",what is the weather in girdwood alaska,weather in girdwood alaska in july,3,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
50,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'weather in girdwood alaska today')",what is the weather in girdwood alaska,weather in girdwood alaska today,4,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
51,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'weather in girdwood alaska 10 day forecast')",what is the weather in girdwood alaska,weather in girdwood alaska 10 day forecast,5,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
52,jobs in girdwood alaska,"('what is the weather in girdwood alaska', 'girdwood alaska weather averages')",what is the weather in girdwood alaska,girdwood alaska weather averages,6,2,google,2025-10-28 15:23:47.418704,jobs in girdwood alaska,what is in girdwood alaska
53,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is it in alyeska alaska')",what time is it in girdwood alaska,what time is it in alyeska alaska,1,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
54,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is sunset in girdwood alaska')",what time is it in girdwood alaska,what time is sunset in girdwood alaska,2,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
55,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'where is girdwood alaska')",what time is it in girdwood alaska,where is girdwood alaska,3,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
56,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'where is girdwood alaska on the map')",what time is it in girdwood alaska,where is girdwood alaska on the map,4,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
57,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'how far is girdwood from anchorage')",what time is it in girdwood alaska,how far is girdwood from anchorage,5,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
58,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is it in alaska today')",what time is it in girdwood alaska,what time is it in alaska today,6,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
59,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is it in alaska anchorage')",what time is it in girdwood alaska,what time is it in alaska anchorage,7,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
60,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is it in alaska wasilla')",what time is it in girdwood alaska,what time is it in alaska wasilla,8,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
61,jobs in girdwood alaska,"('what time is it in girdwood alaska', 'what time is it in alaska currently')",what time is it in girdwood alaska,what time is it in alaska currently,9,2,google,2025-10-28 15:23:48.297961,jobs in girdwood alaska,what is in girdwood alaska
62,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'what is there to do in alyeska alaska')",what is there to do in girdwood alaska,what is there to do in alyeska alaska,1,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
63,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'what to do in girdwood alaska today')",what is there to do in girdwood alaska,what to do in girdwood alaska today,2,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
64,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'what is the temperature in girdwood alaska')",what is there to do in girdwood alaska,what is the temperature in girdwood alaska,3,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
65,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'what is the weather in girdwood alaska')",what is there to do in girdwood alaska,what is the weather in girdwood alaska,4,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
66,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'fun things to do in girdwood alaska')",what is there to do in girdwood alaska,fun things to do in girdwood alaska,5,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
67,jobs in girdwood alaska,"('what is there to do in girdwood alaska', 'what is in girdwood alaska')",what is there to do in girdwood alaska,what is in girdwood alaska,6,2,google,2025-10-28 15:23:49.103125,jobs in girdwood alaska,what is in girdwood alaska
