,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama hiring')",jobs in glenwood alabama,jobs in glenwood alabama hiring,1,0,google,2025-10-28 21:15:17.738107,,
1,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama area')",jobs in glenwood alabama,jobs in glenwood alabama area,2,0,google,2025-10-28 21:15:17.738107,,
2,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama hiring now')",jobs in glenwood alabama,jobs in glenwood alabama hiring now,3,0,google,2025-10-28 21:15:17.738107,,
3,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama for 16 year olds')",jobs in glenwood alabama,jobs in glenwood alabama for 16 year olds,4,0,google,2025-10-28 21:15:17.738107,,
4,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama for 17 year olds')",jobs in glenwood alabama,jobs in glenwood alabama for 17 year olds,5,0,google,2025-10-28 21:15:17.738107,,
5,jobs in glenwood alabama,"('jobs in glenwood alabama', 'jobs in glenwood alabama school')",jobs in glenwood alabama,jobs in glenwood alabama school,6,0,google,2025-10-28 21:15:17.738107,,
6,jobs in glenwood alabama,"('jobs in glenwood alabama hiring', 'jobs in glenwood alabama hiring now')",jobs in glenwood alabama hiring,jobs in glenwood alabama hiring now,1,1,google,2025-10-28 21:15:18.684840,,jobs in glenwood alabama
7,jobs in glenwood alabama,"('jobs in glenwood alabama hiring', 'jobs in glenwood alabama hiring immediately')",jobs in glenwood alabama hiring,jobs in glenwood alabama hiring immediately,2,1,google,2025-10-28 21:15:18.684840,,jobs in glenwood alabama
8,jobs in glenwood alabama,"('jobs in glenwood alabama hiring', 'jobs in glenwood alabama hiring 16 year olds')",jobs in glenwood alabama hiring,jobs in glenwood alabama hiring 16 year olds,3,1,google,2025-10-28 21:15:18.684840,,jobs in glenwood alabama
9,jobs in glenwood alabama,"('jobs in glenwood alabama hiring', 'jobs in glenwood alabama hiring right now')",jobs in glenwood alabama hiring,jobs in glenwood alabama hiring right now,4,1,google,2025-10-28 21:15:18.684840,,jobs in glenwood alabama
10,jobs in glenwood alabama,"('jobs in glenwood alabama hiring', 'jobs in glenwood alabama hiring 17 year olds')",jobs in glenwood alabama hiring,jobs in glenwood alabama hiring 17 year olds,5,1,google,2025-10-28 21:15:18.684840,,jobs in glenwood alabama
11,jobs in glenwood alabama,"('jobs in glenwood alabama area', 'jobs in glenwood alabama area hiring')",jobs in glenwood alabama area,jobs in glenwood alabama area hiring,1,1,google,2025-10-28 21:15:19.522956,,jobs in glenwood alabama
12,jobs in glenwood alabama,"('jobs in glenwood alabama area', 'jobs in glenwood alabama area hiring now')",jobs in glenwood alabama area,jobs in glenwood alabama area hiring now,2,1,google,2025-10-28 21:15:19.522956,,jobs in glenwood alabama
13,jobs in glenwood alabama,"('jobs in glenwood alabama area', 'jobs in glenwood alabama area indeed')",jobs in glenwood alabama area,jobs in glenwood alabama area indeed,3,1,google,2025-10-28 21:15:19.522956,,jobs in glenwood alabama
14,jobs in glenwood alabama,"('jobs in glenwood alabama area', 'jobs in glenwood alabama areas')",jobs in glenwood alabama area,jobs in glenwood alabama areas,4,1,google,2025-10-28 21:15:19.522956,,jobs in glenwood alabama
15,jobs in glenwood alabama,"('jobs in glenwood alabama area', 'jobs in glenwood alabama area for 16 year olds')",jobs in glenwood alabama area,jobs in glenwood alabama area for 16 year olds,5,1,google,2025-10-28 21:15:19.522956,,jobs in glenwood alabama
16,jobs in glenwood alabama,"('jobs in glenwood alabama hiring now', 'jobs in glenwood alabama hiring now part time')",jobs in glenwood alabama hiring now,jobs in glenwood alabama hiring now part time,1,1,google,2025-10-28 21:15:20.864259,,jobs in glenwood alabama
17,jobs in glenwood alabama,"('jobs in glenwood alabama hiring now', 'jobs in glenwood alabama hiring now 2024')",jobs in glenwood alabama hiring now,jobs in glenwood alabama hiring now 2024,2,1,google,2025-10-28 21:15:20.864259,,jobs in glenwood alabama
18,jobs in glenwood alabama,"('jobs in glenwood alabama hiring now', 'jobs in glenwood alabama hiring now full time')",jobs in glenwood alabama hiring now,jobs in glenwood alabama hiring now full time,3,1,google,2025-10-28 21:15:20.864259,,jobs in glenwood alabama
19,jobs in glenwood alabama,"('jobs in glenwood alabama hiring now', 'jobs in glenwood alabama hiring now hiring')",jobs in glenwood alabama hiring now,jobs in glenwood alabama hiring now hiring,4,1,google,2025-10-28 21:15:20.864259,,jobs in glenwood alabama
20,jobs in glenwood alabama,"('jobs in glenwood alabama hiring now', 'jobs in glenwood alabama hiring now no experience')",jobs in glenwood alabama hiring now,jobs in glenwood alabama hiring now no experience,5,1,google,2025-10-28 21:15:20.864259,,jobs in glenwood alabama
21,jobs in glenwood alabama,"('jobs in glenwood alabama for 16 year olds', 'jobs in glenwood alabama for 16 year olds hiring')",jobs in glenwood alabama for 16 year olds,jobs in glenwood alabama for 16 year olds hiring,1,1,google,2025-10-28 21:15:21.769439,,jobs in glenwood alabama
22,jobs in glenwood alabama,"('jobs in glenwood alabama for 16 year olds', 'jobs in glenwood alabama for 16 year olds part time')",jobs in glenwood alabama for 16 year olds,jobs in glenwood alabama for 16 year olds part time,2,1,google,2025-10-28 21:15:21.769439,,jobs in glenwood alabama
23,jobs in glenwood alabama,"('jobs in glenwood alabama for 16 year olds', 'jobs in glenwood alabama for 16 year olds hiring now')",jobs in glenwood alabama for 16 year olds,jobs in glenwood alabama for 16 year olds hiring now,3,1,google,2025-10-28 21:15:21.769439,,jobs in glenwood alabama
24,jobs in glenwood alabama,"('jobs in glenwood alabama for 16 year olds', 'jobs in glenwood alabama for 16 year olds no experience')",jobs in glenwood alabama for 16 year olds,jobs in glenwood alabama for 16 year olds no experience,4,1,google,2025-10-28 21:15:21.769439,,jobs in glenwood alabama
25,jobs in glenwood alabama,"('jobs in glenwood alabama for 16 year olds', 'jobs in glenwood alabama for 16 year olds in alabama')",jobs in glenwood alabama for 16 year olds,jobs in glenwood alabama for 16 year olds in alabama,5,1,google,2025-10-28 21:15:21.769439,,jobs in glenwood alabama
26,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds hiring')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds hiring,1,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
27,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds part time')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds part time,2,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
28,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds no experience')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds no experience,3,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
29,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds hiring now')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds hiring now,4,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
30,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds phoenix')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds phoenix,5,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
31,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds mesa az')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds mesa az,6,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
32,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds scottsdale')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds scottsdale,7,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
33,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds flagstaff')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds flagstaff,8,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
34,jobs in glenwood alabama,"('jobs in glenwood alabama for 17 year olds', 'jobs in glenwood alabama for 17 year olds chandler')",jobs in glenwood alabama for 17 year olds,jobs in glenwood alabama for 17 year olds chandler,9,1,google,2025-10-28 21:15:22.634895,,jobs in glenwood alabama
35,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school district')",jobs in glenwood alabama school,jobs in glenwood alabama school district,1,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
36,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama schools')",jobs in glenwood alabama school,jobs in glenwood alabama schools,2,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
37,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school system')",jobs in glenwood alabama school,jobs in glenwood alabama school system,3,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
38,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school.jobs')",jobs in glenwood alabama school,jobs in glenwood alabama school.jobs,4,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
39,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school smiths station')",jobs in glenwood alabama school,jobs in glenwood alabama school smiths station,5,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
40,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school phenix city')",jobs in glenwood alabama school,jobs in glenwood alabama school phenix city,6,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
41,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school georgia')",jobs in glenwood alabama school,jobs in glenwood alabama school georgia,7,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
42,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school birmingham')",jobs in glenwood alabama school,jobs in glenwood alabama school birmingham,8,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
43,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama schools ia')",jobs in glenwood alabama school,jobs in glenwood alabama schools ia,9,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
44,jobs in glenwood alabama,"('jobs in glenwood alabama school', 'jobs in glenwood alabama school inc')",jobs in glenwood alabama school,jobs in glenwood alabama school inc,10,1,google,2025-10-28 21:15:23.890906,,jobs in glenwood alabama
45,jobs in glenwood alabama,"('jobs in glenwood alabama hiring immediately', 'jobs in glenwood alabama hiring immediately part time')",jobs in glenwood alabama hiring immediately,jobs in glenwood alabama hiring immediately part time,1,2,google,2025-10-28 21:15:25.135184,jobs in glenwood alabama,jobs in glenwood alabama hiring
46,jobs in glenwood alabama,"('jobs in glenwood alabama hiring immediately', 'jobs in glenwood alabama hiring immediately full time')",jobs in glenwood alabama hiring immediately,jobs in glenwood alabama hiring immediately full time,2,2,google,2025-10-28 21:15:25.135184,jobs in glenwood alabama,jobs in glenwood alabama hiring
47,jobs in glenwood alabama,"('jobs in glenwood alabama hiring immediately', 'jobs in glenwood alabama hiring immediately no experience needed')",jobs in glenwood alabama hiring immediately,jobs in glenwood alabama hiring immediately no experience needed,3,2,google,2025-10-28 21:15:25.135184,jobs in glenwood alabama,jobs in glenwood alabama hiring
48,jobs in glenwood alabama,"('jobs in glenwood alabama hiring immediately', 'jobs in glenwood alabama hiring immediately no experience')",jobs in glenwood alabama hiring immediately,jobs in glenwood alabama hiring immediately no experience,4,2,google,2025-10-28 21:15:25.135184,jobs in glenwood alabama,jobs in glenwood alabama hiring
49,jobs in glenwood alabama,"('jobs in glenwood alabama hiring immediately', 'jobs in glenwood alabama hiring immediately hiring')",jobs in glenwood alabama hiring immediately,jobs in glenwood alabama hiring immediately hiring,5,2,google,2025-10-28 21:15:25.135184,jobs in glenwood alabama,jobs in glenwood alabama hiring
