,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in gordo alabama,"('jobs in gordo alabama', 'jobs in gordo al')",jobs in gordo alabama,jobs in gordo al,1,0,google,2025-10-28 21:23:19.604727,,
1,jobs in gordo alabama,"('jobs in gordo alabama', 'jobs in gordon county')",jobs in gordo alabama,jobs in gordon county,2,0,google,2025-10-28 21:23:19.604727,,
2,jobs in gordo alabama,"('jobs in gordo alabama', 'jobs in gordon ga')",jobs in gordo alabama,jobs in gordon ga,3,0,google,2025-10-28 21:23:19.604727,,
3,jobs in gordo alabama,"('jobs in gordo alabama', 'jobs in gordon county ga')",jobs in gordo alabama,jobs in gordon county ga,4,0,google,2025-10-28 21:23:19.604727,,
4,jobs in gordo alabama,"('jobs in gordo alabama', 'jobs in gordon alabama')",jobs in gordo alabama,jobs in gordon alabama,5,0,google,2025-10-28 21:23:19.604727,,
5,jobs in gordo alabama,"('jobs in gordo al', 'jobs in gordo alabama')",jobs in gordo al,jobs in gordo alabama,1,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
6,jobs in gordo alabama,"('jobs in gordo al', 'jobs hiring gordo al')",jobs in gordo al,jobs hiring gordo al,2,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
7,jobs in gordo alabama,"('jobs in gordo al', 'jobs in gordon county')",jobs in gordo al,jobs in gordon county,3,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
8,jobs in gordo alabama,"('jobs in gordo al', 'jobs in gordon ga')",jobs in gordo al,jobs in gordon ga,4,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
9,jobs in gordo alabama,"('jobs in gordo al', 'gordos jobs')",jobs in gordo al,gordos jobs,5,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
10,jobs in gordo alabama,"('jobs in gordo al', 'jobs el gordo')",jobs in gordo al,jobs el gordo,6,1,google,2025-10-28 21:23:20.785339,,jobs in gordo alabama
11,jobs in gordo alabama,"('jobs in gordon county', 'jobs in gordon county ga')",jobs in gordon county,jobs in gordon county ga,1,1,google,2025-10-28 21:23:21.946638,,jobs in gordo alabama
12,jobs in gordo alabama,"('jobs in gordon county', 'jobs gordon county schools')",jobs in gordon county,jobs gordon county schools,2,1,google,2025-10-28 21:23:21.946638,,jobs in gordo alabama
13,jobs in gordo alabama,"('jobs in gordon county', 'jobs at gordon county government')",jobs in gordon county,jobs at gordon county government,3,1,google,2025-10-28 21:23:21.946638,,jobs in gordo alabama
14,jobs in gordo alabama,"('jobs in gordon county', 'jobs in gordon ga')",jobs in gordon county,jobs in gordon ga,4,1,google,2025-10-28 21:23:21.946638,,jobs in gordo alabama
15,jobs in gordo alabama,"('jobs in gordon ga', 'jobs in gordon county ga')",jobs in gordon ga,jobs in gordon county ga,1,1,google,2025-10-28 21:23:22.949318,,jobs in gordo alabama
