,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas area')",jobs in grady arkansas,jobs in grady arkansas area,1,0,google,2025-10-29 19:23:47.367753,,
1,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas hiring')",jobs in grady arkansas,jobs in grady arkansas hiring,2,0,google,2025-10-29 19:23:47.367753,,
2,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas for 16 year olds')",jobs in grady arkansas,jobs in grady arkansas for 16 year olds,3,0,google,2025-10-29 19:23:47.367753,,
3,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas 2024')",jobs in grady arkansas,jobs in grady arkansas 2024,4,0,google,2025-10-29 19:23:47.367753,,
4,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas for 17 year olds')",jobs in grady arkansas,jobs in grady arkansas for 17 year olds,5,0,google,2025-10-29 19:23:47.367753,,
5,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas population')",jobs in grady arkansas,jobs in grady arkansas population,6,0,google,2025-10-29 19:23:47.367753,,
6,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas post office')",jobs in grady arkansas,jobs in grady arkansas post office,7,0,google,2025-10-29 19:23:47.367753,,
7,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas varner unit')",jobs in grady arkansas,jobs in grady arkansas varner unit,8,0,google,2025-10-29 19:23:47.367753,,
8,jobs in grady arkansas,"('jobs in grady arkansas', 'jobs in grady arkansas jail')",jobs in grady arkansas,jobs in grady arkansas jail,9,0,google,2025-10-29 19:23:47.367753,,
9,jobs in grady arkansas,"('jobs in grady arkansas area', 'jobs in grady arkansas area area')",jobs in grady arkansas area,jobs in grady arkansas area area,1,1,google,2025-10-29 19:23:48.694683,,jobs in grady arkansas
10,jobs in grady arkansas,"('jobs in grady arkansas area', 'jobs in grady arkansas area hiring')",jobs in grady arkansas area,jobs in grady arkansas area hiring,2,1,google,2025-10-29 19:23:48.694683,,jobs in grady arkansas
11,jobs in grady arkansas,"('jobs in grady arkansas area', 'jobs in grady arkansas area for 16 year olds')",jobs in grady arkansas area,jobs in grady arkansas area for 16 year olds,3,1,google,2025-10-29 19:23:48.694683,,jobs in grady arkansas
12,jobs in grady arkansas,"('jobs in grady arkansas area', 'jobs in grady arkansas area hiring now')",jobs in grady arkansas area,jobs in grady arkansas area hiring now,4,1,google,2025-10-29 19:23:48.694683,,jobs in grady arkansas
13,jobs in grady arkansas,"('jobs in grady arkansas area', 'jobs in grady arkansas area for 15 year olds')",jobs in grady arkansas area,jobs in grady arkansas area for 15 year olds,5,1,google,2025-10-29 19:23:48.694683,,jobs in grady arkansas
14,jobs in grady arkansas,"('jobs in grady arkansas hiring', 'jobs in grady arkansas hiring now')",jobs in grady arkansas hiring,jobs in grady arkansas hiring now,1,1,google,2025-10-29 19:23:49.734014,,jobs in grady arkansas
15,jobs in grady arkansas,"('jobs in grady arkansas hiring', 'jobs in grady arkansas hiring immediately')",jobs in grady arkansas hiring,jobs in grady arkansas hiring immediately,2,1,google,2025-10-29 19:23:49.734014,,jobs in grady arkansas
16,jobs in grady arkansas,"('jobs in grady arkansas hiring', 'jobs in grady arkansas hiring right now')",jobs in grady arkansas hiring,jobs in grady arkansas hiring right now,3,1,google,2025-10-29 19:23:49.734014,,jobs in grady arkansas
17,jobs in grady arkansas,"('jobs in grady arkansas hiring', 'jobs in grady arkansas hiring 16 year olds')",jobs in grady arkansas hiring,jobs in grady arkansas hiring 16 year olds,4,1,google,2025-10-29 19:23:49.734014,,jobs in grady arkansas
18,jobs in grady arkansas,"('jobs in grady arkansas hiring', 'jobs in grady arkansas hiring 15 year olds')",jobs in grady arkansas hiring,jobs in grady arkansas hiring 15 year olds,5,1,google,2025-10-29 19:23:49.734014,,jobs in grady arkansas
19,jobs in grady arkansas,"('jobs in grady arkansas for 16 year olds', 'jobs in grady arkansas for 16 year olds hiring')",jobs in grady arkansas for 16 year olds,jobs in grady arkansas for 16 year olds hiring,1,1,google,2025-10-29 19:23:50.668631,,jobs in grady arkansas
20,jobs in grady arkansas,"('jobs in grady arkansas for 16 year olds', 'jobs in grady arkansas for 16 year olds part time')",jobs in grady arkansas for 16 year olds,jobs in grady arkansas for 16 year olds part time,2,1,google,2025-10-29 19:23:50.668631,,jobs in grady arkansas
21,jobs in grady arkansas,"('jobs in grady arkansas for 16 year olds', 'jobs in grady arkansas for 16 year olds with no experience')",jobs in grady arkansas for 16 year olds,jobs in grady arkansas for 16 year olds with no experience,3,1,google,2025-10-29 19:23:50.668631,,jobs in grady arkansas
22,jobs in grady arkansas,"('jobs in grady arkansas for 16 year olds', 'jobs in grady arkansas for 16 year olds hiring now')",jobs in grady arkansas for 16 year olds,jobs in grady arkansas for 16 year olds hiring now,4,1,google,2025-10-29 19:23:50.668631,,jobs in grady arkansas
