,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in gravette arkansas,"('jobs in gravette arkansas', 'jobs hiring in gravette ar')",jobs in gravette arkansas,jobs hiring in gravette ar,1,0,google,2025-10-29 19:30:59.912556,,
1,jobs in gravette arkansas,"('jobs in gravette arkansas', 'jobs in gravette ar')",jobs in gravette arkansas,jobs in gravette ar,2,0,google,2025-10-29 19:30:59.912556,,
2,jobs in gravette arkansas,"('jobs in gravette arkansas', 'high paying jobs in arkansas')",jobs in gravette arkansas,high paying jobs in arkansas,3,0,google,2025-10-29 19:30:59.912556,,
3,jobs in gravette arkansas,"('jobs in gravette arkansas', 'what kind of jobs are in arkansas')",jobs in gravette arkansas,what kind of jobs are in arkansas,4,0,google,2025-10-29 19:30:59.912556,,
4,jobs in gravette arkansas,"('jobs in gravette arkansas', 'jobs in gravette')",jobs in gravette arkansas,jobs in gravette,5,0,google,2025-10-29 19:30:59.912556,,
5,jobs in gravette arkansas,"('jobs hiring in gravette ar', 'jobs near gravette ar')",jobs hiring in gravette ar,jobs near gravette ar,1,1,google,2025-10-29 19:31:00.931747,,jobs in gravette arkansas
6,jobs in gravette arkansas,"('jobs hiring in gravette ar', 'jobs gravette arkansas')",jobs hiring in gravette ar,jobs gravette arkansas,2,1,google,2025-10-29 19:31:00.931747,,jobs in gravette arkansas
7,jobs in gravette arkansas,"('jobs in gravette ar', 'jobs hiring in gravette ar')",jobs in gravette ar,jobs hiring in gravette ar,1,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
8,jobs in gravette arkansas,"('jobs in gravette ar', 'part time jobs in gravette ar')",jobs in gravette ar,part time jobs in gravette ar,2,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
9,jobs in gravette arkansas,"('jobs in gravette ar', 'och gravette jobs')",jobs in gravette ar,och gravette jobs,3,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
10,jobs in gravette arkansas,"('jobs in gravette ar', 'jobs in gravette arkansas')",jobs in gravette ar,jobs in gravette arkansas,4,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
11,jobs in gravette arkansas,"('jobs in gravette ar', 'jobs in gravette')",jobs in gravette ar,jobs in gravette,5,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
12,jobs in gravette arkansas,"('jobs in gravette ar', 'jobs in graveyards')",jobs in gravette ar,jobs in graveyards,6,1,google,2025-10-29 19:31:02.385347,,jobs in gravette arkansas
13,jobs in gravette arkansas,"('high paying jobs in arkansas', 'high paying jobs in arkansas no experience')",high paying jobs in arkansas,high paying jobs in arkansas no experience,1,1,google,2025-10-29 19:31:03.683116,,jobs in gravette arkansas
14,jobs in gravette arkansas,"('high paying jobs in arkansas', 'high paying jobs in arkansas without a degree')",high paying jobs in arkansas,high paying jobs in arkansas without a degree,2,1,google,2025-10-29 19:31:03.683116,,jobs in gravette arkansas
15,jobs in gravette arkansas,"('high paying jobs in arkansas', 'highest paying jobs in arkansas')",high paying jobs in arkansas,highest paying jobs in arkansas,3,1,google,2025-10-29 19:31:03.683116,,jobs in gravette arkansas
