,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in adamsville alabama')",jobs in graysville alabama,jobs in adamsville alabama,1,0,google,2025-10-28 21:25:30.180377,,
1,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in graysville al')",jobs in graysville alabama,jobs in graysville al,2,0,google,2025-10-28 21:25:30.180377,,
2,jobs in graysville alabama,"('jobs in graysville alabama', 'what kind of jobs are in alabama')",jobs in graysville alabama,what kind of jobs are in alabama,3,0,google,2025-10-28 21:25:30.180377,,
3,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in grant alabama')",jobs in graysville alabama,jobs in grant alabama,4,0,google,2025-10-28 21:25:30.180377,,
4,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in grant al')",jobs in graysville alabama,jobs in grant al,5,0,google,2025-10-28 21:25:30.180377,,
5,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in gray georgia')",jobs in graysville alabama,jobs in gray georgia,6,0,google,2025-10-28 21:25:30.180377,,
6,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in gray ga')",jobs in graysville alabama,jobs in gray ga,7,0,google,2025-10-28 21:25:30.180377,,
7,jobs in graysville alabama,"('jobs in graysville alabama', 'jobs in gray')",jobs in graysville alabama,jobs in gray,8,0,google,2025-10-28 21:25:30.180377,,
8,jobs in graysville alabama,"('jobs in adamsville alabama', 'jobs hiring in adamsville al')",jobs in adamsville alabama,jobs hiring in adamsville al,1,1,google,2025-10-28 21:25:31.498324,,jobs in graysville alabama
9,jobs in graysville alabama,"('jobs in adamsville alabama', 'what kind of jobs are in alabama')",jobs in adamsville alabama,what kind of jobs are in alabama,2,1,google,2025-10-28 21:25:31.498324,,jobs in graysville alabama
10,jobs in graysville alabama,"('jobs in adamsville alabama', 'jobs in adamsville al')",jobs in adamsville alabama,jobs in adamsville al,3,1,google,2025-10-28 21:25:31.498324,,jobs in graysville alabama
11,jobs in graysville alabama,"('jobs in adamsville alabama', 'jobs hiring in adamsville alabama')",jobs in adamsville alabama,jobs hiring in adamsville alabama,4,1,google,2025-10-28 21:25:31.498324,,jobs in graysville alabama
12,jobs in graysville alabama,"('jobs in adamsville alabama', 'jobs in adamsville tn')",jobs in adamsville alabama,jobs in adamsville tn,5,1,google,2025-10-28 21:25:31.498324,,jobs in graysville alabama
13,jobs in graysville alabama,"('jobs in graysville al', 'jobs in grant alabama')",jobs in graysville al,jobs in grant alabama,1,1,google,2025-10-28 21:25:32.343991,,jobs in graysville alabama
14,jobs in graysville alabama,"('jobs in graysville al', 'jobs in grant al')",jobs in graysville al,jobs in grant al,2,1,google,2025-10-28 21:25:32.343991,,jobs in graysville alabama
15,jobs in graysville alabama,"('jobs in graysville al', 'jobs in grayson')",jobs in graysville al,jobs in grayson,3,1,google,2025-10-28 21:25:32.343991,,jobs in graysville alabama
16,jobs in graysville alabama,"('jobs in graysville al', 'jobs in gray')",jobs in graysville al,jobs in gray,4,1,google,2025-10-28 21:25:32.343991,,jobs in graysville alabama
17,jobs in graysville alabama,"('jobs in graysville al', 'jobs in gray ga')",jobs in graysville al,jobs in gray ga,5,1,google,2025-10-28 21:25:32.343991,,jobs in graysville alabama
18,jobs in graysville alabama,"('what kind of jobs are in alabama', 'what jobs are in demand in alabama')",what kind of jobs are in alabama,what jobs are in demand in alabama,1,1,google,2025-10-28 21:25:33.717705,,jobs in graysville alabama
19,jobs in graysville alabama,"('what kind of jobs are in alabama', 'what jobs are in high demand in alabama')",what kind of jobs are in alabama,what jobs are in high demand in alabama,2,1,google,2025-10-28 21:25:33.717705,,jobs in graysville alabama
20,jobs in graysville alabama,"('what kind of jobs are in alabama', 'whats the highest paying job in alabama')",what kind of jobs are in alabama,whats the highest paying job in alabama,3,1,google,2025-10-28 21:25:33.717705,,jobs in graysville alabama
21,jobs in graysville alabama,"('what kind of jobs are in alabama', 'what jobs are in alabama')",what kind of jobs are in alabama,what jobs are in alabama,4,1,google,2025-10-28 21:25:33.717705,,jobs in graysville alabama
22,jobs in graysville alabama,"('what kind of jobs are in alabama', 'what are the best jobs in alabama')",what kind of jobs are in alabama,what are the best jobs in alabama,5,1,google,2025-10-28 21:25:33.717705,,jobs in graysville alabama
23,jobs in graysville alabama,"('jobs in grant alabama', 'jobs in grant al')",jobs in grant alabama,jobs in grant al,1,1,google,2025-10-28 21:25:34.993508,,jobs in graysville alabama
24,jobs in graysville alabama,"('jobs in grant alabama', 'grant writing jobs in alabama')",jobs in grant alabama,grant writing jobs in alabama,2,1,google,2025-10-28 21:25:34.993508,,jobs in graysville alabama
25,jobs in graysville alabama,"('jobs in grant alabama', 'grants jobs in uganda')",jobs in grant alabama,grants jobs in uganda,3,1,google,2025-10-28 21:25:34.993508,,jobs in graysville alabama
26,jobs in graysville alabama,"('jobs in grant alabama', 'jobs in grant')",jobs in grant alabama,jobs in grant,4,1,google,2025-10-28 21:25:34.993508,,jobs in graysville alabama
27,jobs in graysville alabama,"('jobs in grant al', 'jobs in grant alabama')",jobs in grant al,jobs in grant alabama,1,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
28,jobs in graysville alabama,"('jobs in grant al', 'job grant alberta')",jobs in grant al,job grant alberta,2,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
29,jobs in graysville alabama,"('jobs in grant al', 'grant writing jobs in alabama')",jobs in grant al,grant writing jobs in alabama,3,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
30,jobs in graysville alabama,"('jobs in grant al', 'jobs in grant')",jobs in grant al,jobs in grant,4,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
31,jobs in graysville alabama,"('jobs in grant al', 'jobs in grant ne')",jobs in grant al,jobs in grant ne,5,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
32,jobs in graysville alabama,"('jobs in grant al', 'jobs in grants nm')",jobs in grant al,jobs in grants nm,6,1,google,2025-10-28 21:25:35.890271,,jobs in graysville alabama
33,jobs in graysville alabama,"('jobs in gray georgia', 'jobs in gray ga no degree')",jobs in gray georgia,jobs in gray ga no degree,1,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
34,jobs in graysville alabama,"('jobs in gray georgia', 'jobs in gray ga part time')",jobs in gray georgia,jobs in gray ga part time,2,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
35,jobs in graysville alabama,"('jobs in gray georgia', 'jobs hiring in gray ga')",jobs in gray georgia,jobs hiring in gray ga,3,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
36,jobs in graysville alabama,"('jobs in gray georgia', 'nursing jobs in gray ga')",jobs in gray georgia,nursing jobs in gray ga,4,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
37,jobs in graysville alabama,"('jobs in gray georgia', 'find job in georgia')",jobs in gray georgia,find job in georgia,5,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
38,jobs in graysville alabama,"('jobs in gray georgia', 'jobs in gray ga')",jobs in gray georgia,jobs in gray ga,6,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
39,jobs in graysville alabama,"('jobs in gray georgia', 'jobs in gray')",jobs in gray georgia,jobs in gray,7,1,google,2025-10-28 21:25:37.043693,,jobs in graysville alabama
40,jobs in graysville alabama,"('jobs in gray ga', 'jobs in gray ga no degree')",jobs in gray ga,jobs in gray ga no degree,1,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
41,jobs in graysville alabama,"('jobs in gray ga', 'jobs in gray ga part time')",jobs in gray ga,jobs in gray ga part time,2,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
42,jobs in graysville alabama,"('jobs in gray ga', 'places hiring in gray ga')",jobs in gray ga,places hiring in gray ga,3,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
43,jobs in graysville alabama,"('jobs in gray ga', 'nursing jobs in gray ga')",jobs in gray ga,nursing jobs in gray ga,4,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
44,jobs in graysville alabama,"('jobs in gray ga', 'jobs gray ga since yesterday')",jobs in gray ga,jobs gray ga since yesterday,5,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
45,jobs in graysville alabama,"('jobs in gray ga', 'job openings in gray ga')",jobs in gray ga,job openings in gray ga,6,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
46,jobs in graysville alabama,"('jobs in gray ga', 'full time jobs in gray ga')",jobs in gray ga,full time jobs in gray ga,7,1,google,2025-10-28 21:25:38.371549,,jobs in graysville alabama
