,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in greensboro alabama,"('jobs in greensboro alabama', 'jobs hiring in greensboro alabama')",jobs in greensboro alabama,jobs hiring in greensboro alabama,1,0,google,2025-10-28 21:29:30.738397,,
1,jobs in greensboro alabama,"('jobs in greensboro alabama', 'jobs in greensboro al')",jobs in greensboro alabama,jobs in greensboro al,2,0,google,2025-10-28 21:29:30.738397,,
2,jobs in greensboro alabama,"('jobs hiring in greensboro alabama', 'jobs hiring in greensboro al')",jobs hiring in greensboro alabama,jobs hiring in greensboro al,1,1,google,2025-10-28 21:29:31.742890,,jobs in greensboro alabama
3,jobs in greensboro alabama,"('jobs hiring in greensboro alabama', 'greensboro alabama jobs')",jobs hiring in greensboro alabama,greensboro alabama jobs,2,1,google,2025-10-28 21:29:31.742890,,jobs in greensboro alabama
4,jobs in greensboro alabama,"('jobs hiring in greensboro alabama', 'jobs in greensboro al')",jobs hiring in greensboro alabama,jobs in greensboro al,3,1,google,2025-10-28 21:29:31.742890,,jobs in greensboro alabama
5,jobs in greensboro alabama,"('jobs in greensboro al', 'jobs in greensboro alabama')",jobs in greensboro al,jobs in greensboro alabama,1,1,google,2025-10-28 21:29:32.751400,,jobs in greensboro alabama
6,jobs in greensboro alabama,"('jobs in greensboro al', 'jobs hiring in greensboro alabama')",jobs in greensboro al,jobs hiring in greensboro alabama,2,1,google,2025-10-28 21:29:32.751400,,jobs in greensboro alabama
7,jobs in greensboro alabama,"('jobs in greensboro al', 'jobs near greensboro al')",jobs in greensboro al,jobs near greensboro al,3,1,google,2025-10-28 21:29:32.751400,,jobs in greensboro alabama
8,jobs in greensboro alabama,"('jobs in greensboro al', 'jobs in greensboro fl')",jobs in greensboro al,jobs in greensboro fl,4,1,google,2025-10-28 21:29:32.751400,,jobs in greensboro alabama
9,jobs in greensboro alabama,"('jobs in greensboro al', 'jobs in greensboro georgia')",jobs in greensboro al,jobs in greensboro georgia,5,1,google,2025-10-28 21:29:32.751400,,jobs in greensboro alabama
10,jobs in greensboro alabama,"('jobs hiring in greensboro al', 'jobs hiring in greensboro alabama')",jobs hiring in greensboro al,jobs hiring in greensboro alabama,1,2,google,2025-10-28 21:29:34.161902,jobs in greensboro alabama,jobs hiring in greensboro alabama
11,jobs in greensboro alabama,"('jobs hiring in greensboro al', 'jobs near greensboro al')",jobs hiring in greensboro al,jobs near greensboro al,2,2,google,2025-10-28 21:29:34.161902,jobs in greensboro alabama,jobs hiring in greensboro alabama
12,jobs in greensboro alabama,"('jobs hiring in greensboro al', 'jobs hiring in greensboro ga')",jobs hiring in greensboro al,jobs hiring in greensboro ga,3,2,google,2025-10-28 21:29:34.161902,jobs in greensboro alabama,jobs hiring in greensboro alabama
13,jobs in greensboro alabama,"('jobs hiring in greensboro al', 'jobs hiring in greensboro nc')",jobs hiring in greensboro al,jobs hiring in greensboro nc,4,2,google,2025-10-28 21:29:34.161902,jobs in greensboro alabama,jobs hiring in greensboro alabama
14,jobs in greensboro alabama,"('greensboro alabama jobs', 'greensboro al jobs hiring')",greensboro alabama jobs,greensboro al jobs hiring,1,2,google,2025-10-28 21:29:35.264110,jobs in greensboro alabama,jobs hiring in greensboro alabama
15,jobs in greensboro alabama,"('greensboro alabama jobs', 'greensboro al hospital jobs')",greensboro alabama jobs,greensboro al hospital jobs,2,2,google,2025-10-28 21:29:35.264110,jobs in greensboro alabama,jobs hiring in greensboro alabama
16,jobs in greensboro alabama,"('greensboro alabama jobs', 'greensboro country club jobs')",greensboro alabama jobs,greensboro country club jobs,3,2,google,2025-10-28 21:29:35.264110,jobs in greensboro alabama,jobs hiring in greensboro alabama
17,jobs in greensboro alabama,"('greensboro alabama jobs', 'greensboro seasonal jobs')",greensboro alabama jobs,greensboro seasonal jobs,4,2,google,2025-10-28 21:29:35.264110,jobs in greensboro alabama,jobs hiring in greensboro alabama
18,jobs in greensboro alabama,"('greensboro alabama jobs', 'greensboro al jobs')",greensboro alabama jobs,greensboro al jobs,5,2,google,2025-10-28 21:29:35.264110,jobs in greensboro alabama,jobs hiring in greensboro alabama
19,jobs in greensboro alabama,"('jobs near greensboro al', 'aldi jobs near greensboro nc')",jobs near greensboro al,aldi jobs near greensboro nc,1,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
20,jobs in greensboro alabama,"('jobs near greensboro al', 'allied universal jobs near greensboro nc')",jobs near greensboro al,allied universal jobs near greensboro nc,2,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
21,jobs in greensboro alabama,"('jobs near greensboro al', 'aldi warehouse jobs near greensboro nc')",jobs near greensboro al,aldi warehouse jobs near greensboro nc,3,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
22,jobs in greensboro alabama,"('jobs near greensboro al', 'jobs near greensboro ga')",jobs near greensboro al,jobs near greensboro ga,4,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
23,jobs in greensboro alabama,"('jobs near greensboro al', 'jobs near greensboro nc')",jobs near greensboro al,jobs near greensboro nc,5,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
24,jobs in greensboro alabama,"('jobs near greensboro al', 'jobs in greensboro alabama')",jobs near greensboro al,jobs in greensboro alabama,6,2,google,2025-10-28 21:29:36.179092,jobs in greensboro alabama,jobs in greensboro al
25,jobs in greensboro alabama,"('jobs in greensboro fl', 'flexible jobs in greensboro nc')",jobs in greensboro fl,flexible jobs in greensboro nc,1,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
26,jobs in greensboro alabama,"('jobs in greensboro fl', 'flooring installation jobs in greensboro nc')",jobs in greensboro fl,flooring installation jobs in greensboro nc,2,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
27,jobs in greensboro alabama,"('jobs in greensboro fl', 'flight attendant jobs in greensboro nc')",jobs in greensboro fl,flight attendant jobs in greensboro nc,3,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
28,jobs in greensboro alabama,"('jobs in greensboro fl', 'jobs in greensboro nc full-time')",jobs in greensboro fl,jobs in greensboro nc full-time,4,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
29,jobs in greensboro alabama,"('jobs in greensboro fl', 'jobs in greensboro nc part-time')",jobs in greensboro fl,jobs in greensboro nc part-time,5,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
30,jobs in greensboro alabama,"('jobs in greensboro fl', 'jobs in greensboro georgia')",jobs in greensboro fl,jobs in greensboro georgia,6,2,google,2025-10-28 21:29:37.576248,jobs in greensboro alabama,jobs in greensboro al
31,jobs in greensboro alabama,"('jobs in greensboro georgia', 'jobs in greensboro ga 30642')",jobs in greensboro georgia,jobs in greensboro ga 30642,1,2,google,2025-10-28 21:29:38.565178,jobs in greensboro alabama,jobs in greensboro al
32,jobs in greensboro alabama,"('jobs in greensboro georgia', 'jobs in greensboro ga remote')",jobs in greensboro georgia,jobs in greensboro ga remote,2,2,google,2025-10-28 21:29:38.565178,jobs in greensboro alabama,jobs in greensboro al
33,jobs in greensboro alabama,"('jobs in greensboro georgia', 'jobs hiring in greensboro ga')",jobs in greensboro georgia,jobs hiring in greensboro ga,3,2,google,2025-10-28 21:29:38.565178,jobs in greensboro alabama,jobs in greensboro al
34,jobs in greensboro alabama,"('jobs in greensboro georgia', 'dentist jobs in greensboro ga')",jobs in greensboro georgia,dentist jobs in greensboro ga,4,2,google,2025-10-28 21:29:38.565178,jobs in greensboro alabama,jobs in greensboro al
35,jobs in greensboro alabama,"('jobs in greensboro georgia', 'warehouse jobs in greensboro ga')",jobs in greensboro georgia,warehouse jobs in greensboro ga,5,2,google,2025-10-28 21:29:38.565178,jobs in greensboro alabama,jobs in greensboro al
