,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in greenwood arkansas,"('jobs in greenwood arkansas', 'hiring in greenwood arkansas')",jobs in greenwood arkansas,hiring in greenwood arkansas,1,0,google,2025-10-29 19:35:42.441189,,
1,jobs in greenwood arkansas,"('jobs in greenwood arkansas', 'jobs hiring in greenwood arkansas')",jobs in greenwood arkansas,jobs hiring in greenwood arkansas,2,0,google,2025-10-29 19:35:42.441189,,
2,jobs in greenwood arkansas,"('jobs in greenwood arkansas', 'part time jobs in greenwood arkansas')",jobs in greenwood arkansas,part time jobs in greenwood arkansas,3,0,google,2025-10-29 19:35:42.441189,,
3,jobs in greenwood arkansas,"('jobs in greenwood arkansas', 'places hiring in greenwood arkansas')",jobs in greenwood arkansas,places hiring in greenwood arkansas,4,0,google,2025-10-29 19:35:42.441189,,
4,jobs in greenwood arkansas,"('jobs in greenwood arkansas', 'jobs in greenwood ar')",jobs in greenwood arkansas,jobs in greenwood ar,5,0,google,2025-10-29 19:35:42.441189,,
5,jobs in greenwood arkansas,"('hiring in greenwood arkansas', 'jobs in greenwood arkansas')",hiring in greenwood arkansas,jobs in greenwood arkansas,1,1,google,2025-10-29 19:35:43.728402,,jobs in greenwood arkansas
6,jobs in greenwood arkansas,"('hiring in greenwood arkansas', 'jobs hiring in greenwood arkansas')",hiring in greenwood arkansas,jobs hiring in greenwood arkansas,2,1,google,2025-10-29 19:35:43.728402,,jobs in greenwood arkansas
7,jobs in greenwood arkansas,"('hiring in greenwood arkansas', 'places hiring in greenwood arkansas')",hiring in greenwood arkansas,places hiring in greenwood arkansas,3,1,google,2025-10-29 19:35:43.728402,,jobs in greenwood arkansas
8,jobs in greenwood arkansas,"('hiring in greenwood arkansas', 'hiring greenwood ar')",hiring in greenwood arkansas,hiring greenwood ar,4,1,google,2025-10-29 19:35:43.728402,,jobs in greenwood arkansas
9,jobs in greenwood arkansas,"('jobs hiring in greenwood arkansas', 'jobs near greenwood arkansas')",jobs hiring in greenwood arkansas,jobs near greenwood arkansas,1,1,google,2025-10-29 19:35:45.138533,,jobs in greenwood arkansas
