,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in guin alabama,"('jobs in guin alabama', 'jobs hiring in guin al')",jobs in guin alabama,jobs hiring in guin al,1,0,google,2025-10-28 21:38:24.087670,,
1,jobs in guin alabama,"('jobs in guin alabama', 'jobs in guin al')",jobs in guin alabama,jobs in guin al,2,0,google,2025-10-28 21:38:24.087670,,
2,jobs in guin alabama,"('jobs hiring in guin al', 'jobs near guin al')",jobs hiring in guin al,jobs near guin al,1,1,google,2025-10-28 21:38:24.928189,,jobs in guin alabama
3,jobs in guin alabama,"('jobs hiring in guin al', 'jobs in guin alabama')",jobs hiring in guin al,jobs in guin alabama,2,1,google,2025-10-28 21:38:24.928189,,jobs in guin alabama
4,jobs in guin alabama,"('jobs in guin al', 'jobs hiring in guin al')",jobs in guin al,jobs hiring in guin al,1,1,google,2025-10-28 21:38:26.203749,,jobs in guin alabama
5,jobs in guin alabama,"('jobs in guin al', 'jobs in winfield and guin al')",jobs in guin al,jobs in winfield and guin al,2,1,google,2025-10-28 21:38:26.203749,,jobs in guin alabama
6,jobs in guin alabama,"('jobs in guin al', 'jobs in guin alabama')",jobs in guin al,jobs in guin alabama,3,1,google,2025-10-28 21:38:26.203749,,jobs in guin alabama
7,jobs in guin alabama,"('jobs in guin al', 'jobs in guinea')",jobs in guin al,jobs in guinea,4,1,google,2025-10-28 21:38:26.203749,,jobs in guin alabama
8,jobs in guin alabama,"('jobs near guin al', 'nursing jobs near guin al')",jobs near guin al,nursing jobs near guin al,1,2,google,2025-10-28 21:38:26.995307,jobs in guin alabama,jobs hiring in guin al
9,jobs in guin alabama,"('jobs near guin al', 'jobs hiring near guin al')",jobs near guin al,jobs hiring near guin al,2,2,google,2025-10-28 21:38:26.995307,jobs in guin alabama,jobs hiring in guin al
10,jobs in guin alabama,"('jobs near guin al', 'jobs in guin alabama')",jobs near guin al,jobs in guin alabama,3,2,google,2025-10-28 21:38:26.995307,jobs in guin alabama,jobs hiring in guin al
11,jobs in guin alabama,"('jobs in winfield and guin al', 'jobs in winfield al')",jobs in winfield and guin al,jobs in winfield al,1,2,google,2025-10-28 21:38:27.875089,jobs in guin alabama,jobs in guin al
12,jobs in guin alabama,"('jobs in winfield and guin al', 'jobs in winfield alabama')",jobs in winfield and guin al,jobs in winfield alabama,2,2,google,2025-10-28 21:38:27.875089,jobs in guin alabama,jobs in guin al
13,jobs in guin alabama,"('jobs in guinea', 'jobs in guinea conakry')",jobs in guinea,jobs in guinea conakry,1,2,google,2025-10-28 21:38:28.878785,jobs in guin alabama,jobs in guin al
14,jobs in guin alabama,"('jobs in guinea', 'jobs in guinea conakry for foreigners')",jobs in guinea,jobs in guinea conakry for foreigners,2,2,google,2025-10-28 21:38:28.878785,jobs in guin alabama,jobs in guin al
