,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hackett arkansas,"('jobs in hackett arkansas', 'jobs in hackett ar')",jobs in hackett arkansas,jobs in hackett ar,1,0,google,2025-10-29 19:41:57.192791,,
1,jobs in hackett arkansas,"('jobs in hackett arkansas', 'hackett school jobs')",jobs in hackett arkansas,hackett school jobs,2,0,google,2025-10-29 19:41:57.192791,,
2,jobs in hackett arkansas,"('jobs in hackett arkansas', 'hackett ar school jobs')",jobs in hackett arkansas,hackett ar school jobs,3,0,google,2025-10-29 19:41:57.192791,,
3,jobs in hackett arkansas,"('jobs in hackett arkansas', 'hackett ar school district jobs')",jobs in hackett arkansas,hackett ar school district jobs,4,0,google,2025-10-29 19:41:57.192791,,
4,jobs in hackett arkansas,"('jobs in hackett arkansas', 'jobs in hackettstown')",jobs in hackett arkansas,jobs in hackettstown,5,0,google,2025-10-29 19:41:57.192791,,
5,jobs in hackett arkansas,"('jobs in hackett ar', 'jobs in hackettstown')",jobs in hackett ar,jobs in hackettstown,1,1,google,2025-10-29 19:41:58.508741,,jobs in hackett arkansas
6,jobs in hackett arkansas,"('jobs in hackett ar', 'jobs in hackettstown nj')",jobs in hackett ar,jobs in hackettstown nj,2,1,google,2025-10-29 19:41:58.508741,,jobs in hackett arkansas
7,jobs in hackett arkansas,"('jobs in hackett ar', 'jobs in hackettstown new jersey')",jobs in hackett ar,jobs in hackettstown new jersey,3,1,google,2025-10-29 19:41:58.508741,,jobs in hackett arkansas
8,jobs in hackett arkansas,"('jobs in hackett ar', 'jobs in hackleburg al')",jobs in hackett ar,jobs in hackleburg al,4,1,google,2025-10-29 19:41:58.508741,,jobs in hackett arkansas
9,jobs in hackett arkansas,"('hackett school jobs', 'hackett school district jobs')",hackett school jobs,hackett school district jobs,1,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
10,jobs in hackett arkansas,"('hackett school jobs', 'hackett ar school jobs')",hackett school jobs,hackett ar school jobs,2,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
11,jobs in hackett arkansas,"('hackett school jobs', 'hackett public schools jobs')",hackett school jobs,hackett public schools jobs,3,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
12,jobs in hackett arkansas,"('hackett school jobs', 'hackett ar school district jobs')",hackett school jobs,hackett ar school district jobs,4,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
13,jobs in hackett arkansas,"('hackett school jobs', 'hackettstown school jobs')",hackett school jobs,hackettstown school jobs,5,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
14,jobs in hackett arkansas,"('hackett school jobs', 'hackett elementary school jobs')",hackett school jobs,hackett elementary school jobs,6,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
15,jobs in hackett arkansas,"('hackett school jobs', 'hackettstown nj school jobs')",hackett school jobs,hackettstown nj school jobs,7,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
16,jobs in hackett arkansas,"('hackett school jobs', 'hackettstown high school job openings')",hackett school jobs,hackettstown high school job openings,8,1,google,2025-10-29 19:41:59.508548,,jobs in hackett arkansas
17,jobs in hackett arkansas,"('hackett ar school jobs', 'hackett ar school district jobs')",hackett ar school jobs,hackett ar school district jobs,1,1,google,2025-10-29 19:42:00.330601,,jobs in hackett arkansas
18,jobs in hackett arkansas,"('hackett ar school jobs', 'hackett school jobs')",hackett ar school jobs,hackett school jobs,2,1,google,2025-10-29 19:42:00.330601,,jobs in hackett arkansas
19,jobs in hackett arkansas,"('hackett ar school jobs', 'hackett school district jobs')",hackett ar school jobs,hackett school district jobs,3,1,google,2025-10-29 19:42:00.330601,,jobs in hackett arkansas
20,jobs in hackett arkansas,"('hackett ar school jobs', 'hackett public schools jobs')",hackett ar school jobs,hackett public schools jobs,4,1,google,2025-10-29 19:42:00.330601,,jobs in hackett arkansas
21,jobs in hackett arkansas,"('hackett ar school district jobs', 'hackett school district jobs')",hackett ar school district jobs,hackett school district jobs,1,1,google,2025-10-29 19:42:01.119806,,jobs in hackett arkansas
22,jobs in hackett arkansas,"('hackett ar school district jobs', 'hackett ar school jobs')",hackett ar school district jobs,hackett ar school jobs,2,1,google,2025-10-29 19:42:01.119806,,jobs in hackett arkansas
23,jobs in hackett arkansas,"('hackett ar school district jobs', 'hackett school jobs')",hackett ar school district jobs,hackett school jobs,3,1,google,2025-10-29 19:42:01.119806,,jobs in hackett arkansas
24,jobs in hackett arkansas,"('hackett ar school district jobs', 'hackett elementary school jobs')",hackett ar school district jobs,hackett elementary school jobs,4,1,google,2025-10-29 19:42:01.119806,,jobs in hackett arkansas
25,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs in hackettstown nj')",jobs in hackettstown,jobs in hackettstown nj,1,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
26,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs in hackettstown nj part time')",jobs in hackettstown,jobs in hackettstown nj part time,2,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
27,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs in hackettstown nj remote')",jobs in hackettstown,jobs in hackettstown nj remote,3,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
28,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs in hackettstown nj no experience needed')",jobs in hackettstown,jobs in hackettstown nj no experience needed,4,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
29,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs hiring in hackettstown nj')",jobs in hackettstown,jobs hiring in hackettstown nj,5,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
30,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs hiring in hackettstown')",jobs in hackettstown,jobs hiring in hackettstown,6,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
31,jobs in hackett arkansas,"('jobs in hackettstown', 'warehouse jobs in hackettstown nj')",jobs in hackettstown,warehouse jobs in hackettstown nj,7,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
32,jobs in hackett arkansas,"('jobs in hackettstown', 'summer jobs in hackettstown nj')",jobs in hackettstown,summer jobs in hackettstown nj,8,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
33,jobs in hackett arkansas,"('jobs in hackettstown', 'jobs hackettstown nj full time')",jobs in hackettstown,jobs hackettstown nj full time,9,1,google,2025-10-29 19:42:02.356805,,jobs in hackett arkansas
34,jobs in hackett arkansas,"('jobs in hackettstown nj', 'jobs in hackettstown nj part time')",jobs in hackettstown nj,jobs in hackettstown nj part time,1,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
35,jobs in hackett arkansas,"('jobs in hackettstown nj', 'jobs in hackettstown nj remote')",jobs in hackettstown nj,jobs in hackettstown nj remote,2,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
36,jobs in hackett arkansas,"('jobs in hackettstown nj', 'jobs in hackettstown nj no experience needed')",jobs in hackettstown nj,jobs in hackettstown nj no experience needed,3,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
37,jobs in hackett arkansas,"('jobs in hackettstown nj', 'hiring in hackettstown nj')",jobs in hackettstown nj,hiring in hackettstown nj,4,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
38,jobs in hackett arkansas,"('jobs in hackettstown nj', 'employment in hackettstown nj')",jobs in hackettstown nj,employment in hackettstown nj,5,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
39,jobs in hackett arkansas,"('jobs in hackettstown nj', 'warehouse jobs in hackettstown nj')",jobs in hackettstown nj,warehouse jobs in hackettstown nj,6,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
40,jobs in hackett arkansas,"('jobs in hackettstown nj', 'summer jobs in hackettstown nj')",jobs in hackettstown nj,summer jobs in hackettstown nj,7,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
41,jobs in hackett arkansas,"('jobs in hackettstown nj', 'jobs hackettstown nj full time')",jobs in hackettstown nj,jobs hackettstown nj full time,8,2,google,2025-10-29 19:42:03.150959,jobs in hackett arkansas jobs in hackett arkansas,jobs in hackett ar jobs in hackettstown
