,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in haines alaska,"('jobs in haines alaska', 'work in haines alaska')",jobs in haines alaska,work in haines alaska,1,0,google,2025-10-28 15:29:54.407181,,
1,jobs in haines alaska,"('jobs in haines alaska', 'nursing jobs in haines alaska')",jobs in haines alaska,nursing jobs in haines alaska,2,0,google,2025-10-28 15:29:54.407181,,
2,jobs in haines alaska,"('jobs in haines alaska', 'how to fly to haines alaska')",jobs in haines alaska,how to fly to haines alaska,3,0,google,2025-10-28 15:29:54.407181,,
3,jobs in haines alaska,"('jobs in haines alaska', 'what jobs are available in alaska')",jobs in haines alaska,what jobs are available in alaska,4,0,google,2025-10-28 15:29:54.407181,,
4,jobs in haines alaska,"('jobs in haines alaska', 'how many jobs are in alaska')",jobs in haines alaska,how many jobs are in alaska,5,0,google,2025-10-28 15:29:54.407181,,
5,jobs in haines alaska,"('jobs in haines alaska', 'what jobs are in alaska')",jobs in haines alaska,what jobs are in alaska,6,0,google,2025-10-28 15:29:54.407181,,
6,jobs in haines alaska,"('jobs in haines alaska', 'jobs in haines ak')",jobs in haines alaska,jobs in haines ak,7,0,google,2025-10-28 15:29:54.407181,,
7,jobs in haines alaska,"('work in haines alaska', 'jobs in haines alaska')",work in haines alaska,jobs in haines alaska,1,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
8,jobs in haines alaska,"('work in haines alaska', 'nursing jobs in haines alaska')",work in haines alaska,nursing jobs in haines alaska,2,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
9,jobs in haines alaska,"('work in haines alaska', 'how to fly to haines alaska')",work in haines alaska,how to fly to haines alaska,3,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
10,jobs in haines alaska,"('work in haines alaska', 'is haines in alaska or canada')",work in haines alaska,is haines in alaska or canada,4,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
11,jobs in haines alaska,"('work in haines alaska', 'what is haines alaska famous for')",work in haines alaska,what is haines alaska famous for,5,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
12,jobs in haines alaska,"('work in haines alaska', 'how to get to haines alaska')",work in haines alaska,how to get to haines alaska,6,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
13,jobs in haines alaska,"('work in haines alaska', 'work in haines ak')",work in haines alaska,work in haines ak,7,1,google,2025-10-28 15:29:55.477505,,jobs in haines alaska
