,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in harrisburg arkansas,"('jobs in harrisburg arkansas', 'jobs hiring in harrisburg arkansas')",jobs in harrisburg arkansas,jobs hiring in harrisburg arkansas,1,0,google,2025-10-29 19:47:25.951540,,
1,jobs in harrisburg arkansas,"('jobs in harrisburg arkansas', 'jobs in harrisburg ar')",jobs in harrisburg arkansas,jobs in harrisburg ar,2,0,google,2025-10-29 19:47:25.951540,,
2,jobs in harrisburg arkansas,"('jobs hiring in harrisburg arkansas', 'jobs hiring in harrisburg ar')",jobs hiring in harrisburg arkansas,jobs hiring in harrisburg ar,1,1,google,2025-10-29 19:47:26.875221,,jobs in harrisburg arkansas
3,jobs in harrisburg arkansas,"('jobs hiring in harrisburg arkansas', 'jobs in harrisburg arkansas')",jobs hiring in harrisburg arkansas,jobs in harrisburg arkansas,2,1,google,2025-10-29 19:47:26.875221,,jobs in harrisburg arkansas
4,jobs in harrisburg arkansas,"('jobs hiring in harrisburg arkansas', 'jobs harrisburg ar')",jobs hiring in harrisburg arkansas,jobs harrisburg ar,3,1,google,2025-10-29 19:47:26.875221,,jobs in harrisburg arkansas
5,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs in harrisburg area')",jobs in harrisburg ar,jobs in harrisburg area,1,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
6,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs hiring in harrisburg ar')",jobs in harrisburg ar,jobs hiring in harrisburg ar,2,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
7,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs in harrisburg pa area')",jobs in harrisburg ar,jobs in harrisburg pa area,3,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
8,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'part time jobs in harrisburg area')",jobs in harrisburg ar,part time jobs in harrisburg area,4,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
9,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs at harrisburg area community college')",jobs in harrisburg ar,jobs at harrisburg area community college,5,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
10,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs at harrisburg area school district')",jobs in harrisburg ar,jobs at harrisburg area school district,6,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
11,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs around harrisburg il')",jobs in harrisburg ar,jobs around harrisburg il,7,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
12,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'jobs around harrisburg')",jobs in harrisburg ar,jobs around harrisburg,8,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
13,jobs in harrisburg arkansas,"('jobs in harrisburg ar', 'art jobs in harrisburg pa')",jobs in harrisburg ar,art jobs in harrisburg pa,9,1,google,2025-10-29 19:47:27.905007,,jobs in harrisburg arkansas
14,jobs in harrisburg arkansas,"('jobs hiring in harrisburg ar', 'jobs near harrisburg ar')",jobs hiring in harrisburg ar,jobs near harrisburg ar,1,2,google,2025-10-29 19:47:28.853813,jobs in harrisburg arkansas jobs in harrisburg arkansas,jobs hiring in harrisburg arkansas jobs in harrisburg ar
