,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hartselle alabama,"('jobs in hartselle alabama', 'jobs hiring in hartselle alabama')",jobs in hartselle alabama,jobs hiring in hartselle alabama,1,0,google,2025-10-28 21:50:27.411154,,
1,jobs in hartselle alabama,"('jobs in hartselle alabama', 'part time jobs in hartselle alabama')",jobs in hartselle alabama,part time jobs in hartselle alabama,2,0,google,2025-10-28 21:50:27.411154,,
2,jobs in hartselle alabama,"('jobs in hartselle alabama', 'full time jobs in hartselle alabama')",jobs in hartselle alabama,full time jobs in hartselle alabama,3,0,google,2025-10-28 21:50:27.411154,,
3,jobs in hartselle alabama,"('jobs in hartselle alabama', 'plant jobs in hartselle al')",jobs in hartselle alabama,plant jobs in hartselle al,4,0,google,2025-10-28 21:50:27.411154,,
4,jobs in hartselle alabama,"('jobs in hartselle alabama', 'welding jobs in hartselle al')",jobs in hartselle alabama,welding jobs in hartselle al,5,0,google,2025-10-28 21:50:27.411154,,
5,jobs in hartselle alabama,"('jobs in hartselle alabama', 'jobs in hartselle al')",jobs in hartselle alabama,jobs in hartselle al,6,0,google,2025-10-28 21:50:27.411154,,
6,jobs in hartselle alabama,"('jobs hiring in hartselle alabama', 'jobs available in hartselle al')",jobs hiring in hartselle alabama,jobs available in hartselle al,1,1,google,2025-10-28 21:50:28.282013,,jobs in hartselle alabama
7,jobs in hartselle alabama,"('jobs hiring in hartselle alabama', 'job openings in hartselle al')",jobs hiring in hartselle alabama,job openings in hartselle al,2,1,google,2025-10-28 21:50:28.282013,,jobs in hartselle alabama
8,jobs in hartselle alabama,"('jobs hiring in hartselle alabama', 'jobs near hartselle alabama')",jobs hiring in hartselle alabama,jobs near hartselle alabama,3,1,google,2025-10-28 21:50:28.282013,,jobs in hartselle alabama
9,jobs in hartselle alabama,"('jobs hiring in hartselle alabama', 'jobs hiring in hartselle al')",jobs hiring in hartselle alabama,jobs hiring in hartselle al,4,1,google,2025-10-28 21:50:28.282013,,jobs in hartselle alabama
10,jobs in hartselle alabama,"('part time jobs in hartselle alabama', 'full time jobs in hartselle alabama')",part time jobs in hartselle alabama,full time jobs in hartselle alabama,1,1,google,2025-10-28 21:50:29.603801,,jobs in hartselle alabama
11,jobs in hartselle alabama,"('part time jobs in hartselle alabama', 'part time jobs hiring hartselle al')",part time jobs in hartselle alabama,part time jobs hiring hartselle al,2,1,google,2025-10-28 21:50:29.603801,,jobs in hartselle alabama
12,jobs in hartselle alabama,"('part time jobs in hartselle alabama', 'part time jobs in hartselle al')",part time jobs in hartselle alabama,part time jobs in hartselle al,3,1,google,2025-10-28 21:50:29.603801,,jobs in hartselle alabama
13,jobs in hartselle alabama,"('part time jobs in hartselle alabama', 'hartselle alabama jobs')",part time jobs in hartselle alabama,hartselle alabama jobs,4,1,google,2025-10-28 21:50:29.603801,,jobs in hartselle alabama
14,jobs in hartselle alabama,"('part time jobs in hartselle alabama', 'part time jobs in haleyville al')",part time jobs in hartselle alabama,part time jobs in haleyville al,5,1,google,2025-10-28 21:50:29.603801,,jobs in hartselle alabama
15,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'part time jobs in hartselle alabama')",full time jobs in hartselle alabama,part time jobs in hartselle alabama,1,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
16,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'part time jobs hiring hartselle al')",full time jobs in hartselle alabama,part time jobs hiring hartselle al,2,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
17,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'hartselle alabama jobs')",full time jobs in hartselle alabama,hartselle alabama jobs,3,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
18,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'full-time jobs in hartsville sc')",full time jobs in hartselle alabama,full-time jobs in hartsville sc,4,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
19,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'part time jobs in hartselle al')",full time jobs in hartselle alabama,part time jobs in hartselle al,5,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
20,jobs in hartselle alabama,"('full time jobs in hartselle alabama', 'hartselle al jobs')",full time jobs in hartselle alabama,hartselle al jobs,6,1,google,2025-10-28 21:50:30.871029,,jobs in hartselle alabama
21,jobs in hartselle alabama,"('plant jobs in hartselle al', 'manufacturing jobs hartselle al')",plant jobs in hartselle al,manufacturing jobs hartselle al,1,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
22,jobs in hartselle alabama,"('plant jobs in hartselle al', 'careers in plants')",plant jobs in hartselle al,careers in plants,2,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
23,jobs in hartselle alabama,"('plant jobs in hartselle al', 'what careers work with plants')",plant jobs in hartselle al,what careers work with plants,3,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
24,jobs in hartselle alabama,"('plant jobs in hartselle al', 'plant part jobs')",plant jobs in hartselle al,plant part jobs,4,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
25,jobs in hartselle alabama,"('plant jobs in hartselle al', 'jobs in chemical plants near me')",plant jobs in hartselle al,jobs in chemical plants near me,5,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
26,jobs in hartselle alabama,"('plant jobs in hartselle al', 'plant jobs in hartsville sc')",plant jobs in hartselle al,plant jobs in hartsville sc,6,1,google,2025-10-28 21:50:31.911320,,jobs in hartselle alabama
