,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama area')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama area,1,0,google,2025-10-28 21:53:31.277451,,
1,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama hiring')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama hiring,2,0,google,2025-10-28 21:53:31.277451,,
2,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama indeed')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama indeed,3,0,google,2025-10-28 21:53:31.277451,,
3,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama for 16 year olds')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama for 16 year olds,4,0,google,2025-10-28 21:53:31.277451,,
4,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama hiring now')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama hiring now,5,0,google,2025-10-28 21:53:31.277451,,
5,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama', 'jobs in hatchechubbee alabama history')",jobs in hatchechubbee alabama,jobs in hatchechubbee alabama history,6,0,google,2025-10-28 21:53:31.277451,,
6,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama area', 'jobs in hatchechubbee alabama area hiring')",jobs in hatchechubbee alabama area,jobs in hatchechubbee alabama area hiring,1,1,google,2025-10-28 21:53:32.117720,,jobs in hatchechubbee alabama
7,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama area', 'jobs in hatchechubbee alabama area area')",jobs in hatchechubbee alabama area,jobs in hatchechubbee alabama area area,2,1,google,2025-10-28 21:53:32.117720,,jobs in hatchechubbee alabama
8,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama area', 'jobs in hatchechubbee alabama area indeed')",jobs in hatchechubbee alabama area,jobs in hatchechubbee alabama area indeed,3,1,google,2025-10-28 21:53:32.117720,,jobs in hatchechubbee alabama
9,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama area', 'jobs in hatchechubbee alabama area hiring now')",jobs in hatchechubbee alabama area,jobs in hatchechubbee alabama area hiring now,4,1,google,2025-10-28 21:53:32.117720,,jobs in hatchechubbee alabama
10,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama area', 'jobs in hatchechubbee alabama area for 16 year olds')",jobs in hatchechubbee alabama area,jobs in hatchechubbee alabama area for 16 year olds,5,1,google,2025-10-28 21:53:32.117720,,jobs in hatchechubbee alabama
11,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring', 'jobs in hatchechubbee alabama hiring now')",jobs in hatchechubbee alabama hiring,jobs in hatchechubbee alabama hiring now,1,1,google,2025-10-28 21:53:33.209077,,jobs in hatchechubbee alabama
12,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring', 'jobs in hatchechubbee alabama hiring immediately')",jobs in hatchechubbee alabama hiring,jobs in hatchechubbee alabama hiring immediately,2,1,google,2025-10-28 21:53:33.209077,,jobs in hatchechubbee alabama
13,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring', 'jobs in hatchechubbee alabama hiring 16 year olds')",jobs in hatchechubbee alabama hiring,jobs in hatchechubbee alabama hiring 16 year olds,3,1,google,2025-10-28 21:53:33.209077,,jobs in hatchechubbee alabama
14,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring', 'jobs in hatchechubbee alabama hiring part time')",jobs in hatchechubbee alabama hiring,jobs in hatchechubbee alabama hiring part time,4,1,google,2025-10-28 21:53:33.209077,,jobs in hatchechubbee alabama
15,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring', 'jobs in hatchechubbee alabama hiring 15 year olds')",jobs in hatchechubbee alabama hiring,jobs in hatchechubbee alabama hiring 15 year olds,5,1,google,2025-10-28 21:53:33.209077,,jobs in hatchechubbee alabama
16,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama indeed', 'jobs in hatchechubbee alabama indeed jobs')",jobs in hatchechubbee alabama indeed,jobs in hatchechubbee alabama indeed jobs,1,1,google,2025-10-28 21:53:34.320593,,jobs in hatchechubbee alabama
17,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama indeed', 'jobs in hatchechubbee alabama indeed.com')",jobs in hatchechubbee alabama indeed,jobs in hatchechubbee alabama indeed.com,2,1,google,2025-10-28 21:53:34.320593,,jobs in hatchechubbee alabama
18,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama indeed', 'jobs in hatchechubbee alabama indeed part time')",jobs in hatchechubbee alabama indeed,jobs in hatchechubbee alabama indeed part time,3,1,google,2025-10-28 21:53:34.320593,,jobs in hatchechubbee alabama
19,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama indeed', 'jobs in hatchechubbee alabama indeed full time')",jobs in hatchechubbee alabama indeed,jobs in hatchechubbee alabama indeed full time,4,1,google,2025-10-28 21:53:34.320593,,jobs in hatchechubbee alabama
20,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama for 16 year olds', 'jobs in hatchechubbee alabama for 16 year olds hiring')",jobs in hatchechubbee alabama for 16 year olds,jobs in hatchechubbee alabama for 16 year olds hiring,1,1,google,2025-10-28 21:53:35.748276,,jobs in hatchechubbee alabama
21,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama for 16 year olds', 'jobs in hatchechubbee alabama for 16 year olds part')",jobs in hatchechubbee alabama for 16 year olds,jobs in hatchechubbee alabama for 16 year olds part,2,1,google,2025-10-28 21:53:35.748276,,jobs in hatchechubbee alabama
22,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama for 16 year olds', 'jobs in hatchechubbee alabama for 16 year olds jobs')",jobs in hatchechubbee alabama for 16 year olds,jobs in hatchechubbee alabama for 16 year olds jobs,3,1,google,2025-10-28 21:53:35.748276,,jobs in hatchechubbee alabama
23,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama for 16 year olds', 'jobs in hatchechubbee alabama for 16 year olds no')",jobs in hatchechubbee alabama for 16 year olds,jobs in hatchechubbee alabama for 16 year olds no,4,1,google,2025-10-28 21:53:35.748276,,jobs in hatchechubbee alabama
24,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama for 16 year olds', 'jobs in hatchechubbee alabama for 16 year olds girl')",jobs in hatchechubbee alabama for 16 year olds,jobs in hatchechubbee alabama for 16 year olds girl,5,1,google,2025-10-28 21:53:35.748276,,jobs in hatchechubbee alabama
25,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring now', 'jobs in hatchechubbee alabama hiring now part time')",jobs in hatchechubbee alabama hiring now,jobs in hatchechubbee alabama hiring now part time,1,1,google,2025-10-28 21:53:36.708935,,jobs in hatchechubbee alabama
26,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring now', 'jobs in hatchechubbee alabama hiring now full time')",jobs in hatchechubbee alabama hiring now,jobs in hatchechubbee alabama hiring now full time,2,1,google,2025-10-28 21:53:36.708935,,jobs in hatchechubbee alabama
27,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring now', 'jobs in hatchechubbee alabama hiring now 2024')",jobs in hatchechubbee alabama hiring now,jobs in hatchechubbee alabama hiring now 2024,3,1,google,2025-10-28 21:53:36.708935,,jobs in hatchechubbee alabama
28,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring now', 'jobs in hatchechubbee alabama hiring now hiring')",jobs in hatchechubbee alabama hiring now,jobs in hatchechubbee alabama hiring now hiring,4,1,google,2025-10-28 21:53:36.708935,,jobs in hatchechubbee alabama
29,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama hiring now', 'jobs in hatchechubbee alabama hiring now no experience')",jobs in hatchechubbee alabama hiring now,jobs in hatchechubbee alabama hiring now no experience,5,1,google,2025-10-28 21:53:36.708935,,jobs in hatchechubbee alabama
30,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama history', 'jobs in hatchechubbee alabama history department')",jobs in hatchechubbee alabama history,jobs in hatchechubbee alabama history department,1,1,google,2025-10-28 21:53:37.546384,,jobs in hatchechubbee alabama
31,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama history', 'jobs in hatchechubbee alabama history jobs')",jobs in hatchechubbee alabama history,jobs in hatchechubbee alabama history jobs,2,1,google,2025-10-28 21:53:37.546384,,jobs in hatchechubbee alabama
32,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama history', 'jobs in hatchechubbee alabama history teacher')",jobs in hatchechubbee alabama history,jobs in hatchechubbee alabama history teacher,3,1,google,2025-10-28 21:53:37.546384,,jobs in hatchechubbee alabama
33,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama history', 'jobs in hatchechubbee alabama history and culture')",jobs in hatchechubbee alabama history,jobs in hatchechubbee alabama history and culture,4,1,google,2025-10-28 21:53:37.546384,,jobs in hatchechubbee alabama
34,jobs in hatchechubbee alabama,"('jobs in hatchechubbee alabama history', 'jobs in hatchechubbee alabama history and background')",jobs in hatchechubbee alabama history,jobs in hatchechubbee alabama history and background,5,1,google,2025-10-28 21:53:37.546384,,jobs in hatchechubbee alabama
