,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas area')",jobs in hattieville arkansas,jobs in hattieville arkansas area,1,0,google,2025-10-29 19:55:07.512872,,
1,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas hiring')",jobs in hattieville arkansas,jobs in hattieville arkansas hiring,2,0,google,2025-10-29 19:55:07.512872,,
2,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas for 16 year olds')",jobs in hattieville arkansas,jobs in hattieville arkansas for 16 year olds,3,0,google,2025-10-29 19:55:07.512872,,
3,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas hiring now')",jobs in hattieville arkansas,jobs in hattieville arkansas hiring now,4,0,google,2025-10-29 19:55:07.512872,,
4,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas for teens')",jobs in hattieville arkansas,jobs in hattieville arkansas for teens,5,0,google,2025-10-29 19:55:07.512872,,
5,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas weather')",jobs in hattieville arkansas,jobs in hattieville arkansas weather,6,0,google,2025-10-29 19:55:07.512872,,
6,jobs in hattieville arkansas,"('jobs in hattieville arkansas', 'jobs in hattieville arkansas population')",jobs in hattieville arkansas,jobs in hattieville arkansas population,7,0,google,2025-10-29 19:55:07.512872,,
7,jobs in hattieville arkansas,"('jobs in hattieville arkansas area', 'jobs in hattieville arkansas area area')",jobs in hattieville arkansas area,jobs in hattieville arkansas area area,1,1,google,2025-10-29 19:55:08.683885,,jobs in hattieville arkansas
8,jobs in hattieville arkansas,"('jobs in hattieville arkansas area', 'jobs in hattieville arkansas area hiring')",jobs in hattieville arkansas area,jobs in hattieville arkansas area hiring,2,1,google,2025-10-29 19:55:08.683885,,jobs in hattieville arkansas
9,jobs in hattieville arkansas,"('jobs in hattieville arkansas area', 'jobs in hattieville arkansas areas')",jobs in hattieville arkansas area,jobs in hattieville arkansas areas,3,1,google,2025-10-29 19:55:08.683885,,jobs in hattieville arkansas
