,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hazen arkansas,"('jobs in hazen arkansas', 'jobs hiring in hazen ar')",jobs in hazen arkansas,jobs hiring in hazen ar,1,0,google,2025-10-29 19:59:34.842822,,
1,jobs in hazen arkansas,"('jobs in hazen arkansas', 'jobs in hazen ar')",jobs in hazen arkansas,jobs in hazen ar,2,0,google,2025-10-29 19:59:34.842822,,
2,jobs in hazen arkansas,"('jobs in hazen arkansas', 'highest paying jobs in arkansas without a degree')",jobs in hazen arkansas,highest paying jobs in arkansas without a degree,3,0,google,2025-10-29 19:59:34.842822,,
3,jobs in hazen arkansas,"('jobs in hazen arkansas', 'jobs in hazen')",jobs in hazen arkansas,jobs in hazen,4,0,google,2025-10-29 19:59:34.842822,,
4,jobs in hazen arkansas,"('jobs hiring in hazen ar', 'jobs near hazen ar')",jobs hiring in hazen ar,jobs near hazen ar,1,1,google,2025-10-29 19:59:36.297806,,jobs in hazen arkansas
5,jobs in hazen arkansas,"('jobs hiring in hazen ar', 'jobs in hazen arkansas')",jobs hiring in hazen ar,jobs in hazen arkansas,2,1,google,2025-10-29 19:59:36.297806,,jobs in hazen arkansas
6,jobs in hazen arkansas,"('jobs hiring in hazen ar', 'jobs in hazen')",jobs hiring in hazen ar,jobs in hazen,3,1,google,2025-10-29 19:59:36.297806,,jobs in hazen arkansas
7,jobs in hazen arkansas,"('jobs in hazen ar', 'jobs hiring in hazen ar')",jobs in hazen ar,jobs hiring in hazen ar,1,1,google,2025-10-29 19:59:37.394616,,jobs in hazen arkansas
8,jobs in hazen arkansas,"('jobs in hazen ar', 'jobs in hazen')",jobs in hazen ar,jobs in hazen,2,1,google,2025-10-29 19:59:37.394616,,jobs in hazen arkansas
9,jobs in hazen arkansas,"('jobs in hazen ar', 'jobs in hazen arkansas')",jobs in hazen ar,jobs in hazen arkansas,3,1,google,2025-10-29 19:59:37.394616,,jobs in hazen arkansas
10,jobs in hazen arkansas,"('jobs in hazen ar', 'jobs in hazen nd')",jobs in hazen ar,jobs in hazen nd,4,1,google,2025-10-29 19:59:37.394616,,jobs in hazen arkansas
11,jobs in hazen arkansas,"('highest paying jobs in arkansas without a degree', 'high paying jobs in arkansas without a degree')",highest paying jobs in arkansas without a degree,high paying jobs in arkansas without a degree,1,1,google,2025-10-29 19:59:38.549404,,jobs in hazen arkansas
12,jobs in hazen arkansas,"('highest paying jobs in arkansas without a degree', 'best paying jobs in arkansas without a degree')",highest paying jobs in arkansas without a degree,best paying jobs in arkansas without a degree,2,1,google,2025-10-29 19:59:38.549404,,jobs in hazen arkansas
13,jobs in hazen arkansas,"('highest paying jobs in arkansas without a degree', 'high paying jobs in fayetteville ar no degree')",highest paying jobs in arkansas without a degree,high paying jobs in fayetteville ar no degree,3,1,google,2025-10-29 19:59:38.549404,,jobs in hazen arkansas
14,jobs in hazen arkansas,"('highest paying jobs in arkansas without a degree', 'high paying jobs without a degree in kansas city')",highest paying jobs in arkansas without a degree,high paying jobs without a degree in kansas city,4,1,google,2025-10-29 19:59:38.549404,,jobs in hazen arkansas
15,jobs in hazen arkansas,"('highest paying jobs in arkansas without a degree', 'best jobs in arkansas without a degree')",highest paying jobs in arkansas without a degree,best jobs in arkansas without a degree,5,1,google,2025-10-29 19:59:38.549404,,jobs in hazen arkansas
16,jobs in hazen arkansas,"('jobs in hazen', 'jobs in hazen ar')",jobs in hazen,jobs in hazen ar,1,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
17,jobs in hazen arkansas,"('jobs in hazen', 'jobs in hazen nd')",jobs in hazen,jobs in hazen nd,2,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
18,jobs in hazen arkansas,"('jobs in hazen', 'nursing jobs in hazen nd')",jobs in hazen,nursing jobs in hazen nd,3,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
19,jobs in hazen arkansas,"('jobs in hazen', 'jobs hiring in hazen ar')",jobs in hazen,jobs hiring in hazen ar,4,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
20,jobs in hazen arkansas,"('jobs in hazen', 'jobs in hazen arkansas')",jobs in hazen,jobs in hazen arkansas,5,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
21,jobs in hazen arkansas,"('jobs in hazen', 'jobs in hazel green')",jobs in hazen,jobs in hazel green,6,1,google,2025-10-29 19:59:39.838292,,jobs in hazen arkansas
22,jobs in hazen arkansas,"('jobs near hazen ar', 'jobs hiring near hazen ar')",jobs near hazen ar,jobs hiring near hazen ar,1,2,google,2025-10-29 19:59:40.900182,jobs in hazen arkansas,jobs hiring in hazen ar
23,jobs in hazen arkansas,"('jobs near hazen ar', 'jobs in hazen')",jobs near hazen ar,jobs in hazen,2,2,google,2025-10-29 19:59:40.900182,jobs in hazen arkansas,jobs hiring in hazen ar
24,jobs in hazen arkansas,"('jobs near hazen ar', 'jobs near hazen nd')",jobs near hazen ar,jobs near hazen nd,3,2,google,2025-10-29 19:59:40.900182,jobs in hazen arkansas,jobs hiring in hazen ar
25,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs in beulah nd')",jobs in hazen nd,jobs in beulah nd,1,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
26,jobs in hazen arkansas,"('jobs in hazen nd', 'nursing jobs in hazen nd')",jobs in hazen nd,nursing jobs in hazen nd,2,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
27,jobs in hazen arkansas,"('jobs in hazen nd', 'job openings in hazen nd')",jobs in hazen nd,job openings in hazen nd,3,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
28,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs hiring in beulah nd')",jobs in hazen nd,jobs hiring in beulah nd,4,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
29,jobs in hazen arkansas,"('jobs in hazen nd', 'cna jobs in beulah nd')",jobs in hazen nd,cna jobs in beulah nd,5,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
30,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs in hazen')",jobs in hazen nd,jobs in hazen,6,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
31,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs in hazen north dakota')",jobs in hazen nd,jobs in hazen north dakota,7,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
32,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs in hazen ar')",jobs in hazen nd,jobs in hazen ar,8,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
33,jobs in hazen arkansas,"('jobs in hazen nd', 'jobs in hazen arkansas')",jobs in hazen nd,jobs in hazen arkansas,9,2,google,2025-10-29 19:59:42.010570,jobs in hazen arkansas jobs in hazen arkansas,jobs in hazen ar jobs in hazen
34,jobs in hazen arkansas,"('high paying jobs in arkansas without a degree', 'highest paying jobs in arkansas without a degree')",high paying jobs in arkansas without a degree,highest paying jobs in arkansas without a degree,1,2,google,2025-10-29 19:59:43.325454,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
35,jobs in hazen arkansas,"('high paying jobs in arkansas without a degree', 'best paying jobs in arkansas without a degree')",high paying jobs in arkansas without a degree,best paying jobs in arkansas without a degree,2,2,google,2025-10-29 19:59:43.325454,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
36,jobs in hazen arkansas,"('high paying jobs in arkansas without a degree', 'high paying jobs in fayetteville ar no degree')",high paying jobs in arkansas without a degree,high paying jobs in fayetteville ar no degree,3,2,google,2025-10-29 19:59:43.325454,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
37,jobs in hazen arkansas,"('high paying jobs in arkansas without a degree', 'high paying jobs in maine without a degree')",high paying jobs in arkansas without a degree,high paying jobs in maine without a degree,4,2,google,2025-10-29 19:59:43.325454,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
38,jobs in hazen arkansas,"('high paying jobs in arkansas without a degree', 'high paying jobs in arkansas no experience')",high paying jobs in arkansas without a degree,high paying jobs in arkansas no experience,5,2,google,2025-10-29 19:59:43.325454,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
39,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'high paying jobs in arkansas without a degree')",best paying jobs in arkansas without a degree,high paying jobs in arkansas without a degree,1,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
40,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'top paying jobs in arkansas without a degree')",best paying jobs in arkansas without a degree,top paying jobs in arkansas without a degree,2,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
41,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'high paying jobs in fayetteville ar no degree')",best paying jobs in arkansas without a degree,high paying jobs in fayetteville ar no degree,3,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
42,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'highest paying jobs in arkansas without a degree')",best paying jobs in arkansas without a degree,highest paying jobs in arkansas without a degree,4,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
43,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'high paying jobs in maine without a degree')",best paying jobs in arkansas without a degree,high paying jobs in maine without a degree,5,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
44,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'best jobs in arkansas without a degree')",best paying jobs in arkansas without a degree,best jobs in arkansas without a degree,6,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
45,jobs in hazen arkansas,"('best paying jobs in arkansas without a degree', 'good paying jobs in arkansas without a degree')",best paying jobs in arkansas without a degree,good paying jobs in arkansas without a degree,7,2,google,2025-10-29 19:59:44.146101,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
46,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'jobs in fayetteville ar no degree')",high paying jobs in fayetteville ar no degree,jobs in fayetteville ar no degree,1,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
47,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'highest paying jobs without a degree in arkansas')",high paying jobs in fayetteville ar no degree,highest paying jobs without a degree in arkansas,2,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
48,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'highest paying jobs in north dakota with no experience')",high paying jobs in fayetteville ar no degree,highest paying jobs in north dakota with no experience,3,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
49,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'high paying jobs in raleigh nc without a degree')",high paying jobs in fayetteville ar no degree,high paying jobs in raleigh nc without a degree,4,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
50,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'high paying jobs in fayetteville ar')",high paying jobs in fayetteville ar no degree,high paying jobs in fayetteville ar,5,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
51,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'high paying jobs in fayetteville nc')",high paying jobs in fayetteville ar no degree,high paying jobs in fayetteville nc,6,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
52,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'high paying jobs in northwest arkansas')",high paying jobs in fayetteville ar no degree,high paying jobs in northwest arkansas,7,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
53,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'high paying jobs in arkansas without a degree')",high paying jobs in fayetteville ar no degree,high paying jobs in arkansas without a degree,8,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
54,jobs in hazen arkansas,"('high paying jobs in fayetteville ar no degree', 'highest paying jobs in fayetteville ar')",high paying jobs in fayetteville ar no degree,highest paying jobs in fayetteville ar,9,2,google,2025-10-29 19:59:45.296178,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
55,jobs in hazen arkansas,"('high paying jobs without a degree in kansas city', 'high paying entry level jobs kansas city')",high paying jobs without a degree in kansas city,high paying entry level jobs kansas city,1,2,google,2025-10-29 19:59:46.546048,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
56,jobs in hazen arkansas,"('high paying jobs without a degree in kansas city', 'high paying jobs in kansas')",high paying jobs without a degree in kansas city,high paying jobs in kansas,2,2,google,2025-10-29 19:59:46.546048,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
57,jobs in hazen arkansas,"('high paying jobs without a degree in kansas city', 'high paying jobs without degrees near me')",high paying jobs without a degree in kansas city,high paying jobs without degrees near me,3,2,google,2025-10-29 19:59:46.546048,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
58,jobs in hazen arkansas,"('high paying jobs without a degree in kansas city', 'high paying jobs without a degree in kansas')",high paying jobs without a degree in kansas city,high paying jobs without a degree in kansas,4,2,google,2025-10-29 19:59:46.546048,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
59,jobs in hazen arkansas,"('high paying jobs without a degree in kansas city', 'best jobs in kansas city without degree')",high paying jobs without a degree in kansas city,best jobs in kansas city without degree,5,2,google,2025-10-29 19:59:46.546048,jobs in hazen arkansas,highest paying jobs in arkansas without a degree
