,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in headland alabama,"('jobs in headland alabama', 'jobs hiring in headland al')",jobs in headland alabama,jobs hiring in headland al,1,0,google,2025-10-28 22:04:49.936028,,
1,jobs in headland alabama,"('jobs in headland alabama', 'jobs in headland al')",jobs in headland alabama,jobs in headland al,2,0,google,2025-10-28 22:04:49.936028,,
2,jobs in headland alabama,"('jobs hiring in headland al', 'jobs near headland al')",jobs hiring in headland al,jobs near headland al,1,1,google,2025-10-28 22:04:51.394290,,jobs in headland alabama
3,jobs in headland alabama,"('jobs hiring in headland al', 'jobs in headland alabama')",jobs hiring in headland al,jobs in headland alabama,2,1,google,2025-10-28 22:04:51.394290,,jobs in headland alabama
4,jobs in headland alabama,"('jobs in headland al', 'jobs in alexandra headland')",jobs in headland al,jobs in alexandra headland,1,1,google,2025-10-28 22:04:52.800448,,jobs in headland alabama
5,jobs in headland alabama,"('jobs in headland al', 'jobs hiring in headland al')",jobs in headland al,jobs hiring in headland al,2,1,google,2025-10-28 22:04:52.800448,,jobs in headland alabama
6,jobs in headland alabama,"('jobs in headland al', 'jobs in headland alabama')",jobs in headland al,jobs in headland alabama,3,1,google,2025-10-28 22:04:52.800448,,jobs in headland alabama
7,jobs in headland alabama,"('jobs near headland al', 'jobs hiring near headland al')",jobs near headland al,jobs hiring near headland al,1,2,google,2025-10-28 22:04:53.972530,jobs in headland alabama,jobs hiring in headland al
8,jobs in headland alabama,"('jobs near headland al', 'jobs in headland alabama')",jobs near headland al,jobs in headland alabama,2,2,google,2025-10-28 22:04:53.972530,jobs in headland alabama,jobs hiring in headland al
9,jobs in headland alabama,"('jobs in alexandra headland', 'jobs in alexandria pa')",jobs in alexandra headland,jobs in alexandria pa,1,2,google,2025-10-28 22:04:54.868871,jobs in headland alabama,jobs in headland al
10,jobs in headland alabama,"('jobs in alexandra headland', 'jobs in alexandria')",jobs in alexandra headland,jobs in alexandria,2,2,google,2025-10-28 22:04:54.868871,jobs in headland alabama,jobs in headland al
11,jobs in headland alabama,"('jobs in alexandra headland', 'jobs in alexandria mn part time')",jobs in alexandra headland,jobs in alexandria mn part time,3,2,google,2025-10-28 22:04:54.868871,jobs in headland alabama,jobs in headland al
12,jobs in headland alabama,"('jobs in alexandra headland', 'jobs in alexander maine')",jobs in alexandra headland,jobs in alexander maine,4,2,google,2025-10-28 22:04:54.868871,jobs in headland alabama,jobs in headland al
13,jobs in headland alabama,"('jobs in alexandra headland', 'jobs in alexandria bay ny')",jobs in alexandra headland,jobs in alexandria bay ny,5,2,google,2025-10-28 22:04:54.868871,jobs in headland alabama,jobs in headland al
14,jobs in headland alabama,"('jobs hiring near headland al', 'jobs headland al')",jobs hiring near headland al,jobs headland al,1,3,google,2025-10-28 22:04:55.821665,jobs hiring in headland al,jobs near headland al
15,jobs in headland alabama,"('jobs hiring near headland al', 'jobs in headland alabama')",jobs hiring near headland al,jobs in headland alabama,2,3,google,2025-10-28 22:04:55.821665,jobs hiring in headland al,jobs near headland al
16,jobs in headland alabama,"('jobs in alexandria pa', 'jobs in alexandria part time')",jobs in alexandria pa,jobs in alexandria part time,1,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
17,jobs in headland alabama,"('jobs in alexandria pa', 'jobs in alexandria va part time')",jobs in alexandria pa,jobs in alexandria va part time,2,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
18,jobs in headland alabama,"('jobs in alexandria pa', 'jobs in alexandria mn part time')",jobs in alexandria pa,jobs in alexandria mn part time,3,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
19,jobs in headland alabama,"('jobs in alexandria pa', 'jobs in new alexandria pa')",jobs in alexandria pa,jobs in new alexandria pa,4,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
20,jobs in headland alabama,"('jobs in alexandria pa', 'jobs in old town alexandria part time')",jobs in alexandria pa,jobs in old town alexandria part time,5,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
21,jobs in headland alabama,"('jobs in alexandria pa', 'paralegal jobs in alexandria va')",jobs in alexandria pa,paralegal jobs in alexandria va,6,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
22,jobs in headland alabama,"('jobs in alexandria pa', 'jobs hiring in alexandria la part time')",jobs in alexandria pa,jobs hiring in alexandria la part time,7,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
23,jobs in headland alabama,"('jobs in alexandria pa', 'paralegal jobs in alexandria la')",jobs in alexandria pa,paralegal jobs in alexandria la,8,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
24,jobs in headland alabama,"('jobs in alexandria pa', 'jobs hiring in alexandria va part time')",jobs in alexandria pa,jobs hiring in alexandria va part time,9,3,google,2025-10-28 22:04:57.215793,jobs in headland al,jobs in alexandra headland
25,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria va')",jobs in alexandria,jobs in alexandria va,1,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
26,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria la')",jobs in alexandria,jobs in alexandria la,2,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
27,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria mn')",jobs in alexandria,jobs in alexandria mn,3,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
28,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria ky')",jobs in alexandria,jobs in alexandria ky,4,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
29,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria egypt')",jobs in alexandria,jobs in alexandria egypt,5,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
30,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria bay ny')",jobs in alexandria,jobs in alexandria bay ny,6,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
31,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria indiana')",jobs in alexandria,jobs in alexandria indiana,7,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
32,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria la part time')",jobs in alexandria,jobs in alexandria la part time,8,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
33,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria la in the last 3 days')",jobs in alexandria,jobs in alexandria la in the last 3 days,9,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
34,jobs in headland alabama,"('jobs in alexandria', 'jobs in alexandria la now hiring')",jobs in alexandria,jobs in alexandria la now hiring,10,3,google,2025-10-28 22:04:58.448395,jobs in headland al,jobs in alexandra headland
35,jobs in headland alabama,"('jobs in alexandria mn part time', 'jobs in alexandria mn full time')",jobs in alexandria mn part time,jobs in alexandria mn full time,1,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
36,jobs in headland alabama,"('jobs in alexandria mn part time', 'indeed jobs alexandria mn part time')",jobs in alexandria mn part time,indeed jobs alexandria mn part time,2,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
37,jobs in headland alabama,"('jobs in alexandria mn part time', 'indeed jobs alexandria mn full time')",jobs in alexandria mn part time,indeed jobs alexandria mn full time,3,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
38,jobs in headland alabama,"('jobs in alexandria mn part time', 'alexandria minnesota part time jobs')",jobs in alexandria mn part time,alexandria minnesota part time jobs,4,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
39,jobs in headland alabama,"('jobs in alexandria mn part time', 'part time jobs in alexandria mn no degree')",jobs in alexandria mn part time,part time jobs in alexandria mn no degree,5,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
40,jobs in headland alabama,"('jobs in alexandria mn part time', 'jobs in alexandria va part-time')",jobs in alexandria mn part time,jobs in alexandria va part-time,6,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
41,jobs in headland alabama,"('jobs in alexandria mn part time', 'jobs in alexandria la part-time')",jobs in alexandria mn part time,jobs in alexandria la part-time,7,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
42,jobs in headland alabama,"('jobs in alexandria mn part time', 'jobs in alexandria minnesota')",jobs in alexandria mn part time,jobs in alexandria minnesota,8,3,google,2025-10-28 22:04:59.405126,jobs in headland al,jobs in alexandra headland
43,jobs in headland alabama,"('jobs in alexander maine', 'jobs in alexander arkansas')",jobs in alexander maine,jobs in alexander arkansas,1,3,google,2025-10-28 22:05:00.738324,jobs in headland al,jobs in alexandra headland
44,jobs in headland alabama,"('jobs in alexander maine', 'jobs in alexander ar')",jobs in alexander maine,jobs in alexander ar,2,3,google,2025-10-28 22:05:00.738324,jobs in headland al,jobs in alexandra headland
45,jobs in headland alabama,"('jobs in alexander maine', 'jobs in alexander county')",jobs in alexander maine,jobs in alexander county,3,3,google,2025-10-28 22:05:00.738324,jobs in headland al,jobs in alexandra headland
46,jobs in headland alabama,"('jobs in alexander maine', 'jobs in alexander city')",jobs in alexander maine,jobs in alexander city,4,3,google,2025-10-28 22:05:00.738324,jobs in headland al,jobs in alexandra headland
47,jobs in headland alabama,"('jobs in alexandria bay ny', 'pharmacist jobs in alexandria bay ny')",jobs in alexandria bay ny,pharmacist jobs in alexandria bay ny,1,3,google,2025-10-28 22:05:01.920709,jobs in headland al,jobs in alexandra headland
48,jobs in headland alabama,"('jobs in alexandria bay ny', 'part time jobs in alexandria bay ny')",jobs in alexandria bay ny,part time jobs in alexandria bay ny,2,3,google,2025-10-28 22:05:01.920709,jobs in headland al,jobs in alexandra headland
49,jobs in headland alabama,"('jobs in alexandria bay ny', 'indeed jobs alexandria bay ny')",jobs in alexandria bay ny,indeed jobs alexandria bay ny,3,3,google,2025-10-28 22:05:01.920709,jobs in headland al,jobs in alexandra headland
50,jobs in headland alabama,"('jobs in alexandria bay ny', 'jobs hiring near alexandria bay ny')",jobs in alexandria bay ny,jobs hiring near alexandria bay ny,4,3,google,2025-10-28 22:05:01.920709,jobs in headland al,jobs in alexandra headland
51,jobs in headland alabama,"('jobs in alexandria bay ny', 'jobs in alex bay ny')",jobs in alexandria bay ny,jobs in alex bay ny,5,3,google,2025-10-28 22:05:01.920709,jobs in headland al,jobs in alexandra headland
