,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hector arkansas,"('jobs in hector arkansas', 'jobs in hector ar')",jobs in hector arkansas,jobs in hector ar,1,0,google,2025-10-29 20:04:04.525455,,
1,jobs in hector arkansas,"('jobs in hector arkansas', 'hector school jobs')",jobs in hector arkansas,hector school jobs,2,0,google,2025-10-29 20:04:04.525455,,
2,jobs in hector arkansas,"('jobs in hector arkansas', 'jobs in hector mn')",jobs in hector arkansas,jobs in hector mn,3,0,google,2025-10-29 20:04:04.525455,,
3,jobs in hector arkansas,"('jobs in hector arkansas', 'hector arkansas')",jobs in hector arkansas,hector arkansas,4,0,google,2025-10-29 20:04:04.525455,,
4,jobs in hector arkansas,"('jobs in hector arkansas', 'hector school district jobs')",jobs in hector arkansas,hector school district jobs,5,0,google,2025-10-29 20:04:04.525455,,
5,jobs in hector arkansas,"('jobs in hector ar', 'jobs in hector arkansas')",jobs in hector ar,jobs in hector arkansas,1,1,google,2025-10-29 20:04:05.714410,,jobs in hector arkansas
6,jobs in hector arkansas,"('jobs in hector ar', 'jobs in hector mn')",jobs in hector ar,jobs in hector mn,2,1,google,2025-10-29 20:04:05.714410,,jobs in hector arkansas
7,jobs in hector arkansas,"('jobs in hector ar', 'hector jobs')",jobs in hector ar,hector jobs,3,1,google,2025-10-29 20:04:05.714410,,jobs in hector arkansas
8,jobs in hector arkansas,"('jobs in hector ar', 'hector school jobs')",jobs in hector ar,hector school jobs,4,1,google,2025-10-29 20:04:05.714410,,jobs in hector arkansas
9,jobs in hector arkansas,"('hector school jobs', 'hector school district jobs')",hector school jobs,hector school district jobs,1,1,google,2025-10-29 20:04:06.981935,,jobs in hector arkansas
10,jobs in hector arkansas,"('hector school jobs', 'hector ar school district jobs')",hector school jobs,hector ar school district jobs,2,1,google,2025-10-29 20:04:06.981935,,jobs in hector arkansas
11,jobs in hector arkansas,"('hector school jobs', 'hector school district employment')",hector school jobs,hector school district employment,3,1,google,2025-10-29 20:04:06.981935,,jobs in hector arkansas
12,jobs in hector arkansas,"('hector school jobs', 'hector school')",hector school jobs,hector school,4,1,google,2025-10-29 20:04:06.981935,,jobs in hector arkansas
13,jobs in hector arkansas,"('jobs in hector mn', 'jobs indeed in hector mn')",jobs in hector mn,jobs indeed in hector mn,1,1,google,2025-10-29 20:04:08.195561,,jobs in hector arkansas
14,jobs in hector arkansas,"('jobs in hector mn', 'jobs in hector ar')",jobs in hector mn,jobs in hector ar,2,1,google,2025-10-29 20:04:08.195561,,jobs in hector arkansas
15,jobs in hector arkansas,"('hector arkansas', 'hector arkansas map')",hector arkansas,hector arkansas map,1,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
16,jobs in hector arkansas,"('hector arkansas', 'hector arkansas weather')",hector arkansas,hector arkansas weather,2,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
17,jobs in hector arkansas,"('hector arkansas', 'hector arkansas post office')",hector arkansas,hector arkansas post office,3,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
18,jobs in hector arkansas,"('hector arkansas', 'hector arkansas high school')",hector arkansas,hector arkansas high school,4,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
19,jobs in hector arkansas,"('hector arkansas', 'hector arkansas school district')",hector arkansas,hector arkansas school district,5,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
20,jobs in hector arkansas,"('hector arkansas', 'hector arkansas history')",hector arkansas,hector arkansas history,6,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
21,jobs in hector arkansas,"('hector arkansas', 'hector arkansas school')",hector arkansas,hector arkansas school,7,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
22,jobs in hector arkansas,"('hector arkansas', 'hector arkansas from my location')",hector arkansas,hector arkansas from my location,8,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
23,jobs in hector arkansas,"('hector arkansas', 'hector arkansas school calendar')",hector arkansas,hector arkansas school calendar,9,1,google,2025-10-29 20:04:09.535066,,jobs in hector arkansas
24,jobs in hector arkansas,"('hector school district jobs', 'hector ar school district jobs')",hector school district jobs,hector ar school district jobs,1,1,google,2025-10-29 20:04:10.818071,,jobs in hector arkansas
25,jobs in hector arkansas,"('hector school district jobs', 'hector school district employment')",hector school district jobs,hector school district employment,2,1,google,2025-10-29 20:04:10.818071,,jobs in hector arkansas
26,jobs in hector arkansas,"('hector school district jobs', 'hector school jobs')",hector school district jobs,hector school jobs,3,1,google,2025-10-29 20:04:10.818071,,jobs in hector arkansas
27,jobs in hector arkansas,"('hector school district jobs', 'hector school district salary schedule')",hector school district jobs,hector school district salary schedule,4,1,google,2025-10-29 20:04:10.818071,,jobs in hector arkansas
28,jobs in hector arkansas,"('hector school district jobs', 'hector school district')",hector school district jobs,hector school district,5,1,google,2025-10-29 20:04:10.818071,,jobs in hector arkansas
29,jobs in hector arkansas,"('hector jobs', 'jobs hector mn')",hector jobs,jobs hector mn,1,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
30,jobs in hector arkansas,"('hector jobs', 'jobs hector ny')",hector jobs,jobs hector ny,2,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
31,jobs in hector arkansas,"('hector jobs', 'hector airport jobs')",hector jobs,hector airport jobs,3,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
32,jobs in hector arkansas,"('hector jobs', 'hector beverages jobs')",hector jobs,hector beverages jobs,4,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
33,jobs in hector arkansas,"('hector jobs', 'hector francis jobs')",hector jobs,hector francis jobs,5,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
34,jobs in hector arkansas,"('hector jobs', 'mg hector jobs')",hector jobs,mg hector jobs,6,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
35,jobs in hector arkansas,"('hector jobs', 'hector kitchen jobs')",hector jobs,hector kitchen jobs,7,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
36,jobs in hector arkansas,"('hector jobs', 'hector school jobs')",hector jobs,hector school jobs,8,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
37,jobs in hector arkansas,"('hector jobs', 'hector international jobs')",hector jobs,hector international jobs,9,2,google,2025-10-29 20:04:12.256566,jobs in hector arkansas,jobs in hector ar
38,jobs in hector arkansas,"('hector ar school district jobs', 'hector school district jobs')",hector ar school district jobs,hector school district jobs,1,2,google,2025-10-29 20:04:13.572030,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
39,jobs in hector arkansas,"('hector ar school district jobs', 'hector school district employment')",hector ar school district jobs,hector school district employment,2,2,google,2025-10-29 20:04:13.572030,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
40,jobs in hector arkansas,"('hector ar school district jobs', 'hector school jobs')",hector ar school district jobs,hector school jobs,3,2,google,2025-10-29 20:04:13.572030,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
41,jobs in hector arkansas,"('hector ar school district jobs', 'hector ar school district')",hector ar school district jobs,hector ar school district,4,2,google,2025-10-29 20:04:13.572030,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
42,jobs in hector arkansas,"('hector ar school district jobs', 'hector school district arkansas')",hector ar school district jobs,hector school district arkansas,5,2,google,2025-10-29 20:04:13.572030,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
43,jobs in hector arkansas,"('hector school district employment', 'hector ar school district jobs')",hector school district employment,hector ar school district jobs,1,2,google,2025-10-29 20:04:14.740433,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
44,jobs in hector arkansas,"('hector school district employment', 'hector school district jobs')",hector school district employment,hector school district jobs,2,2,google,2025-10-29 20:04:14.740433,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
45,jobs in hector arkansas,"('hector school district employment', 'hector school jobs')",hector school district employment,hector school jobs,3,2,google,2025-10-29 20:04:14.740433,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
46,jobs in hector arkansas,"('hector school district employment', 'hector school district salary schedule')",hector school district employment,hector school district salary schedule,4,2,google,2025-10-29 20:04:14.740433,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
47,jobs in hector arkansas,"('hector school district employment', 'hector school district phone number')",hector school district employment,hector school district phone number,5,2,google,2025-10-29 20:04:14.740433,jobs in hector arkansas jobs in hector arkansas,hector school jobs hector school district jobs
48,jobs in hector arkansas,"('hector school', 'hector school district')",hector school,hector school district,1,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
49,jobs in hector arkansas,"('hector school', 'hector school of engineering and management')",hector school,hector school of engineering and management,2,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
50,jobs in hector arkansas,"('hector school', 'hector school district arkansas')",hector school,hector school district arkansas,3,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
51,jobs in hector arkansas,"('hector school', 'hector school arkansas')",hector school,hector school arkansas,4,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
52,jobs in hector arkansas,"('hector school', 'hector school district phone number')",hector school,hector school district phone number,5,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
53,jobs in hector arkansas,"('hector school', 'hector school calendar')",hector school,hector school calendar,6,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
54,jobs in hector arkansas,"('hector school', 'hector school district jobs')",hector school,hector school district jobs,7,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
55,jobs in hector arkansas,"('hector school', 'hector school district salary schedule')",hector school,hector school district salary schedule,8,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
56,jobs in hector arkansas,"('hector school', 'hector school of engineering and management ranking')",hector school,hector school of engineering and management ranking,9,2,google,2025-10-29 20:04:15.522556,jobs in hector arkansas,hector school jobs
57,jobs in hector arkansas,"('jobs indeed in hector mn', 'jobs in hector mn')",jobs indeed in hector mn,jobs in hector mn,1,2,google,2025-10-29 20:04:16.780452,jobs in hector arkansas,jobs in hector mn
58,jobs in hector arkansas,"('hector arkansas map', 'hector arkansas from my location')",hector arkansas map,hector arkansas from my location,1,2,google,2025-10-29 20:04:17.854803,jobs in hector arkansas,hector arkansas
59,jobs in hector arkansas,"('hector arkansas map', 'hector ar map')",hector arkansas map,hector ar map,2,2,google,2025-10-29 20:04:17.854803,jobs in hector arkansas,hector arkansas
60,jobs in hector arkansas,"('hector arkansas map', 'hector arkansas')",hector arkansas map,hector arkansas,3,2,google,2025-10-29 20:04:17.854803,jobs in hector arkansas,hector arkansas
61,jobs in hector arkansas,"('hector arkansas map', 'hector arkansas directions')",hector arkansas map,hector arkansas directions,4,2,google,2025-10-29 20:04:17.854803,jobs in hector arkansas,hector arkansas
62,jobs in hector arkansas,"('hector arkansas weather', 'weather forecast hector arkansas')",hector arkansas weather,weather forecast hector arkansas,1,2,google,2025-10-29 20:04:19.291609,jobs in hector arkansas,hector arkansas
63,jobs in hector arkansas,"('hector arkansas weather', 'hector ar weather radar')",hector arkansas weather,hector ar weather radar,2,2,google,2025-10-29 20:04:19.291609,jobs in hector arkansas,hector arkansas
64,jobs in hector arkansas,"('hector arkansas weather', 'hector ar weather')",hector arkansas weather,hector ar weather,3,2,google,2025-10-29 20:04:19.291609,jobs in hector arkansas,hector arkansas
65,jobs in hector arkansas,"('hector arkansas weather', 'is arkansas humid')",hector arkansas weather,is arkansas humid,4,2,google,2025-10-29 20:04:19.291609,jobs in hector arkansas,hector arkansas
66,jobs in hector arkansas,"('hector arkansas post office', 'hector ar post office')",hector arkansas post office,hector ar post office,1,2,google,2025-10-29 20:04:20.751167,jobs in hector arkansas,hector arkansas
67,jobs in hector arkansas,"('hector arkansas post office', 'hector post office')",hector arkansas post office,hector post office,2,2,google,2025-10-29 20:04:20.751167,jobs in hector arkansas,hector arkansas
68,jobs in hector arkansas,"('hector arkansas post office', 'hector post office phone number')",hector arkansas post office,hector post office phone number,3,2,google,2025-10-29 20:04:20.751167,jobs in hector arkansas,hector arkansas
69,jobs in hector arkansas,"('hector arkansas post office', 'hector post office hours')",hector arkansas post office,hector post office hours,4,2,google,2025-10-29 20:04:20.751167,jobs in hector arkansas,hector arkansas
70,jobs in hector arkansas,"('hector arkansas high school', 'hector arkansas high school football')",hector arkansas high school,hector arkansas high school football,1,2,google,2025-10-29 20:04:21.882101,jobs in hector arkansas,hector arkansas
71,jobs in hector arkansas,"('hector arkansas high school', 'hector arkansas school')",hector arkansas high school,hector arkansas school,2,2,google,2025-10-29 20:04:21.882101,jobs in hector arkansas,hector arkansas
72,jobs in hector arkansas,"('hector arkansas high school', 'hector ar high school')",hector arkansas high school,hector ar high school,3,2,google,2025-10-29 20:04:21.882101,jobs in hector arkansas,hector arkansas
