,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama area')",jobs in hodges alabama,jobs in hodges alabama area,1,0,google,2025-10-28 22:08:14.203989,,
1,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama hiring')",jobs in hodges alabama,jobs in hodges alabama hiring,2,0,google,2025-10-28 22:08:14.203989,,
2,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama hiring now')",jobs in hodges alabama,jobs in hodges alabama hiring now,3,0,google,2025-10-28 22:08:14.203989,,
3,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama for 16 year olds')",jobs in hodges alabama,jobs in hodges alabama for 16 year olds,4,0,google,2025-10-28 22:08:14.203989,,
4,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama for teens')",jobs in hodges alabama,jobs in hodges alabama for teens,5,0,google,2025-10-28 22:08:14.203989,,
5,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama weather')",jobs in hodges alabama,jobs in hodges alabama weather,6,0,google,2025-10-28 22:08:14.203989,,
6,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama equestrian park')",jobs in hodges alabama,jobs in hodges alabama equestrian park,7,0,google,2025-10-28 22:08:14.203989,,
7,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama water department')",jobs in hodges alabama,jobs in hodges alabama water department,8,0,google,2025-10-28 22:08:14.203989,,
8,jobs in hodges alabama,"('jobs in hodges alabama', 'jobs in hodges alabama map')",jobs in hodges alabama,jobs in hodges alabama map,9,0,google,2025-10-28 22:08:14.203989,,
9,jobs in hodges alabama,"('jobs in hodges alabama area', 'jobs in hodges alabama area hiring')",jobs in hodges alabama area,jobs in hodges alabama area hiring,1,1,google,2025-10-28 22:08:15.230348,,jobs in hodges alabama
10,jobs in hodges alabama,"('jobs in hodges alabama area', 'jobs in hodges alabama area area')",jobs in hodges alabama area,jobs in hodges alabama area area,2,1,google,2025-10-28 22:08:15.230348,,jobs in hodges alabama
11,jobs in hodges alabama,"('jobs in hodges alabama area', 'jobs in hodges alabama area hiring now')",jobs in hodges alabama area,jobs in hodges alabama area hiring now,3,1,google,2025-10-28 22:08:15.230348,,jobs in hodges alabama
12,jobs in hodges alabama,"('jobs in hodges alabama area', 'jobs in hodges alabama areas')",jobs in hodges alabama area,jobs in hodges alabama areas,4,1,google,2025-10-28 22:08:15.230348,,jobs in hodges alabama
13,jobs in hodges alabama,"('jobs in hodges alabama area', 'jobs in hodges alabama area for 16 year olds')",jobs in hodges alabama area,jobs in hodges alabama area for 16 year olds,5,1,google,2025-10-28 22:08:15.230348,,jobs in hodges alabama
