,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hope arkansas,"('jobs in hope arkansas', 'jobs in hope arkansas no degree')",jobs in hope arkansas,jobs in hope arkansas no degree,1,0,google,2025-10-29 20:13:53.088109,,
1,jobs in hope arkansas,"('jobs in hope arkansas', 'hiring in hope arkansas')",jobs in hope arkansas,hiring in hope arkansas,2,0,google,2025-10-29 20:13:53.088109,,
2,jobs in hope arkansas,"('jobs in hope arkansas', 'employment in hope arkansas')",jobs in hope arkansas,employment in hope arkansas,3,0,google,2025-10-29 20:13:53.088109,,
3,jobs in hope arkansas,"('jobs in hope arkansas', 'jobs hiring in hope arkansas')",jobs in hope arkansas,jobs hiring in hope arkansas,4,0,google,2025-10-29 20:13:53.088109,,
4,jobs in hope arkansas,"('jobs in hope arkansas', 'tyson jobs in hope arkansas')",jobs in hope arkansas,tyson jobs in hope arkansas,5,0,google,2025-10-29 20:13:53.088109,,
5,jobs in hope arkansas,"('jobs in hope arkansas', 'indeed jobs in hope arkansas')",jobs in hope arkansas,indeed jobs in hope arkansas,6,0,google,2025-10-29 20:13:53.088109,,
6,jobs in hope arkansas,"('jobs in hope arkansas', 'office jobs in hope arkansas')",jobs in hope arkansas,office jobs in hope arkansas,7,0,google,2025-10-29 20:13:53.088109,,
7,jobs in hope arkansas,"('jobs in hope arkansas', 'job openings in hope arkansas')",jobs in hope arkansas,job openings in hope arkansas,8,0,google,2025-10-29 20:13:53.088109,,
8,jobs in hope arkansas,"('jobs in hope arkansas', 'full time jobs in hope arkansas')",jobs in hope arkansas,full time jobs in hope arkansas,9,0,google,2025-10-29 20:13:53.088109,,
9,jobs in hope arkansas,"('jobs in hope arkansas no degree', 'highest paying jobs in arkansas without a degree')",jobs in hope arkansas no degree,highest paying jobs in arkansas without a degree,1,1,google,2025-10-29 20:13:54.126071,,jobs in hope arkansas
10,jobs in hope arkansas,"('jobs in hope arkansas no degree', 'jobs in hope arkansas')",jobs in hope arkansas no degree,jobs in hope arkansas,2,1,google,2025-10-29 20:13:54.126071,,jobs in hope arkansas
11,jobs in hope arkansas,"('jobs in hope arkansas no degree', 'jobs in hope ar')",jobs in hope arkansas no degree,jobs in hope ar,3,1,google,2025-10-29 20:13:54.126071,,jobs in hope arkansas
12,jobs in hope arkansas,"('jobs in hope arkansas no degree', 'hope arkansas job openings')",jobs in hope arkansas no degree,hope arkansas job openings,4,1,google,2025-10-29 20:13:54.126071,,jobs in hope arkansas
13,jobs in hope arkansas,"('hiring in hope arkansas', 'jobs in hope arkansas')",hiring in hope arkansas,jobs in hope arkansas,1,1,google,2025-10-29 20:13:54.956848,,jobs in hope arkansas
14,jobs in hope arkansas,"('hiring in hope arkansas', 'jobs in hope arkansas no degree')",hiring in hope arkansas,jobs in hope arkansas no degree,2,1,google,2025-10-29 20:13:54.956848,,jobs in hope arkansas
