,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'job openings in hot springs village arkansas')",jobs in hot springs village arkansas,job openings in hot springs village arkansas,1,0,google,2025-10-29 20:16:24.381693,,
1,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'jobs hiring hot springs village arkansas')",jobs in hot springs village arkansas,jobs hiring hot springs village arkansas,2,0,google,2025-10-29 20:16:24.381693,,
2,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'part time jobs in hot springs village ar')",jobs in hot springs village arkansas,part time jobs in hot springs village ar,3,0,google,2025-10-29 20:16:24.381693,,
3,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'cota jobs hot springs village ar')",jobs in hot springs village arkansas,cota jobs hot springs village ar,4,0,google,2025-10-29 20:16:24.381693,,
4,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'rn jobs hot springs village ar')",jobs in hot springs village arkansas,rn jobs hot springs village ar,5,0,google,2025-10-29 20:16:24.381693,,
5,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'indeed jobs hot springs village ar')",jobs in hot springs village arkansas,indeed jobs hot springs village ar,6,0,google,2025-10-29 20:16:24.381693,,
6,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'pta jobs hot springs village ar')",jobs in hot springs village arkansas,pta jobs hot springs village ar,7,0,google,2025-10-29 20:16:24.381693,,
7,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'jobs in hot springs village ar')",jobs in hot springs village arkansas,jobs in hot springs village ar,8,0,google,2025-10-29 20:16:24.381693,,
8,jobs in hot springs village arkansas,"('jobs in hot springs village arkansas', 'hot springs village jobs')",jobs in hot springs village arkansas,hot springs village jobs,9,0,google,2025-10-29 20:16:24.381693,,
9,jobs in hot springs village arkansas,"('job openings in hot springs village arkansas', 'jobs hiring in hot springs village ar')",job openings in hot springs village arkansas,jobs hiring in hot springs village ar,1,1,google,2025-10-29 20:16:25.715747,,jobs in hot springs village arkansas
10,jobs in hot springs village arkansas,"('job openings in hot springs village arkansas', 'job openings in hot springs village')",job openings in hot springs village arkansas,job openings in hot springs village,2,1,google,2025-10-29 20:16:25.715747,,jobs in hot springs village arkansas
11,jobs in hot springs village arkansas,"('job openings in hot springs village arkansas', 'job openings in hot springs arkansas')",job openings in hot springs village arkansas,job openings in hot springs arkansas,3,1,google,2025-10-29 20:16:25.715747,,jobs in hot springs village arkansas
12,jobs in hot springs village arkansas,"('job openings in hot springs village arkansas', 'jobs in hot springs village arkansas')",job openings in hot springs village arkansas,jobs in hot springs village arkansas,4,1,google,2025-10-29 20:16:25.715747,,jobs in hot springs village arkansas
13,jobs in hot springs village arkansas,"('job openings in hot springs village arkansas', 'jobs in hot springs village ar')",job openings in hot springs village arkansas,jobs in hot springs village ar,5,1,google,2025-10-29 20:16:25.715747,,jobs in hot springs village arkansas
14,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'jobs in hot springs village arkansas')",jobs hiring hot springs village arkansas,jobs in hot springs village arkansas,1,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
15,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'job openings in hot springs village arkansas')",jobs hiring hot springs village arkansas,job openings in hot springs village arkansas,2,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
16,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'places to eat in hot springs village arkansas')",jobs hiring hot springs village arkansas,places to eat in hot springs village arkansas,3,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
17,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'places to stay in hot springs village arkansas')",jobs hiring hot springs village arkansas,places to stay in hot springs village arkansas,4,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
18,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'places to rent in hot springs village arkansas')",jobs hiring hot springs village arkansas,places to rent in hot springs village arkansas,5,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
19,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'pizza places in hot springs village ar')",jobs hiring hot springs village arkansas,pizza places in hot springs village ar,6,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
20,jobs in hot springs village arkansas,"('jobs hiring hot springs village arkansas', 'part time jobs in hot springs village ar')",jobs hiring hot springs village arkansas,part time jobs in hot springs village ar,7,1,google,2025-10-29 20:16:27.105871,,jobs in hot springs village arkansas
