,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas area')",jobs in humphrey arkansas,jobs in humphrey arkansas area,1,0,google,2025-10-31 14:47:56.928511,,
1,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas hiring')",jobs in humphrey arkansas,jobs in humphrey arkansas hiring,2,0,google,2025-10-31 14:47:56.928511,,
2,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas indeed')",jobs in humphrey arkansas,jobs in humphrey arkansas indeed,3,0,google,2025-10-31 14:47:56.928511,,
3,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas hiring now')",jobs in humphrey arkansas,jobs in humphrey arkansas hiring now,4,0,google,2025-10-31 14:47:56.928511,,
4,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas for 16 year olds')",jobs in humphrey arkansas,jobs in humphrey arkansas for 16 year olds,5,0,google,2025-10-31 14:47:56.928511,,
5,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas weather')",jobs in humphrey arkansas,jobs in humphrey arkansas weather,6,0,google,2025-10-31 14:47:56.928511,,
6,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas city hall')",jobs in humphrey arkansas,jobs in humphrey arkansas city hall,7,0,google,2025-10-31 14:47:56.928511,,
7,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas county')",jobs in humphrey arkansas,jobs in humphrey arkansas county,8,0,google,2025-10-31 14:47:56.928511,,
8,jobs in humphrey arkansas,"('jobs in humphrey arkansas', 'jobs in humphrey arkansas obituaries')",jobs in humphrey arkansas,jobs in humphrey arkansas obituaries,9,0,google,2025-10-31 14:47:56.928511,,
9,jobs in humphrey arkansas,"('jobs in humphrey arkansas area', 'jobs in humphrey arkansas area hiring')",jobs in humphrey arkansas area,jobs in humphrey arkansas area hiring,1,1,google,2025-10-31 14:47:57.937406,,jobs in humphrey arkansas
10,jobs in humphrey arkansas,"('jobs in humphrey arkansas area', 'jobs in humphrey arkansas area area')",jobs in humphrey arkansas area,jobs in humphrey arkansas area area,2,1,google,2025-10-31 14:47:57.937406,,jobs in humphrey arkansas
11,jobs in humphrey arkansas,"('jobs in humphrey arkansas area', 'jobs in humphrey arkansas area hiring now')",jobs in humphrey arkansas area,jobs in humphrey arkansas area hiring now,3,1,google,2025-10-31 14:47:57.937406,,jobs in humphrey arkansas
12,jobs in humphrey arkansas,"('jobs in humphrey arkansas area', 'jobs in humphrey arkansas area for 16 year olds')",jobs in humphrey arkansas area,jobs in humphrey arkansas area for 16 year olds,4,1,google,2025-10-31 14:47:57.937406,,jobs in humphrey arkansas
13,jobs in humphrey arkansas,"('jobs in humphrey arkansas area', 'jobs in humphrey arkansas area for teens')",jobs in humphrey arkansas area,jobs in humphrey arkansas area for teens,5,1,google,2025-10-31 14:47:57.937406,,jobs in humphrey arkansas
14,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring', 'jobs in humphrey arkansas hiring now')",jobs in humphrey arkansas hiring,jobs in humphrey arkansas hiring now,1,1,google,2025-10-31 14:47:59.315757,,jobs in humphrey arkansas
15,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring', 'jobs in humphrey arkansas hiring immediately')",jobs in humphrey arkansas hiring,jobs in humphrey arkansas hiring immediately,2,1,google,2025-10-31 14:47:59.315757,,jobs in humphrey arkansas
16,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring', 'jobs in humphrey arkansas hiring right now')",jobs in humphrey arkansas hiring,jobs in humphrey arkansas hiring right now,3,1,google,2025-10-31 14:47:59.315757,,jobs in humphrey arkansas
17,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring', 'jobs in humphrey arkansas hiring 16 year olds')",jobs in humphrey arkansas hiring,jobs in humphrey arkansas hiring 16 year olds,4,1,google,2025-10-31 14:47:59.315757,,jobs in humphrey arkansas
18,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring', 'jobs in humphrey arkansas hiring 15 year olds')",jobs in humphrey arkansas hiring,jobs in humphrey arkansas hiring 15 year olds,5,1,google,2025-10-31 14:47:59.315757,,jobs in humphrey arkansas
19,jobs in humphrey arkansas,"('jobs in humphrey arkansas indeed', 'jobs in humphrey arkansas indeed jobs')",jobs in humphrey arkansas indeed,jobs in humphrey arkansas indeed jobs,1,1,google,2025-10-31 14:48:00.216689,,jobs in humphrey arkansas
20,jobs in humphrey arkansas,"('jobs in humphrey arkansas indeed', 'jobs in humphrey arkansas indeed.com')",jobs in humphrey arkansas indeed,jobs in humphrey arkansas indeed.com,2,1,google,2025-10-31 14:48:00.216689,,jobs in humphrey arkansas
21,jobs in humphrey arkansas,"('jobs in humphrey arkansas indeed', 'jobs in humphrey arkansas indeed part time')",jobs in humphrey arkansas indeed,jobs in humphrey arkansas indeed part time,3,1,google,2025-10-31 14:48:00.216689,,jobs in humphrey arkansas
22,jobs in humphrey arkansas,"('jobs in humphrey arkansas indeed', 'jobs in humphrey arkansas indeed full time')",jobs in humphrey arkansas indeed,jobs in humphrey arkansas indeed full time,4,1,google,2025-10-31 14:48:00.216689,,jobs in humphrey arkansas
23,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring now', 'jobs in humphrey arkansas hiring now part time')",jobs in humphrey arkansas hiring now,jobs in humphrey arkansas hiring now part time,1,1,google,2025-10-31 14:48:01.161481,,jobs in humphrey arkansas
24,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring now', 'jobs in humphrey arkansas hiring now 2024')",jobs in humphrey arkansas hiring now,jobs in humphrey arkansas hiring now 2024,2,1,google,2025-10-31 14:48:01.161481,,jobs in humphrey arkansas
25,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring now', 'jobs in humphrey arkansas hiring now no experience')",jobs in humphrey arkansas hiring now,jobs in humphrey arkansas hiring now no experience,3,1,google,2025-10-31 14:48:01.161481,,jobs in humphrey arkansas
26,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring now', 'jobs in humphrey arkansas hiring now no experience needed')",jobs in humphrey arkansas hiring now,jobs in humphrey arkansas hiring now no experience needed,4,1,google,2025-10-31 14:48:01.161481,,jobs in humphrey arkansas
27,jobs in humphrey arkansas,"('jobs in humphrey arkansas hiring now', 'jobs in humphrey arkansas hiring now 2023')",jobs in humphrey arkansas hiring now,jobs in humphrey arkansas hiring now 2023,5,1,google,2025-10-31 14:48:01.161481,,jobs in humphrey arkansas
28,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds hiring')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds hiring,1,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
29,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds part time')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds part time,2,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
30,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds hiring now')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds hiring now,3,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
31,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds with no experience')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds with no experience,4,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
32,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds raleigh nc')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds raleigh nc,5,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
33,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds durham nc')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds durham nc,6,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
34,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds fayetteville nc')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds fayetteville nc,7,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
35,jobs in humphrey arkansas,"('jobs in humphrey arkansas for 16 year olds', 'jobs in humphrey arkansas for 16 year olds cary nc')",jobs in humphrey arkansas for 16 year olds,jobs in humphrey arkansas for 16 year olds cary nc,8,1,google,2025-10-31 14:48:02.145096,,jobs in humphrey arkansas
