,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama hiring')",jobs in huxford alabama,jobs in huxford alabama hiring,1,0,google,2025-10-28 22:19:33.628926,,
1,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama area')",jobs in huxford alabama,jobs in huxford alabama area,2,0,google,2025-10-28 22:19:33.628926,,
2,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama hiring now')",jobs in huxford alabama,jobs in huxford alabama hiring now,3,0,google,2025-10-28 22:19:33.628926,,
3,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama indeed')",jobs in huxford alabama,jobs in huxford alabama indeed,4,0,google,2025-10-28 22:19:33.628926,,
4,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama for 16 year olds')",jobs in huxford alabama,jobs in huxford alabama for 16 year olds,5,0,google,2025-10-28 22:19:33.628926,,
5,jobs in huxford alabama,"('jobs in huxford alabama', 'jobs in huxford alabama homes for sale')",jobs in huxford alabama,jobs in huxford alabama homes for sale,6,0,google,2025-10-28 22:19:33.628926,,
6,jobs in huxford alabama,"('jobs in huxford alabama hiring', 'jobs in huxford alabama hiring now')",jobs in huxford alabama hiring,jobs in huxford alabama hiring now,1,1,google,2025-10-28 22:19:34.946786,,jobs in huxford alabama
7,jobs in huxford alabama,"('jobs in huxford alabama hiring', 'jobs in huxford alabama hiring immediately')",jobs in huxford alabama hiring,jobs in huxford alabama hiring immediately,2,1,google,2025-10-28 22:19:34.946786,,jobs in huxford alabama
8,jobs in huxford alabama,"('jobs in huxford alabama hiring', 'jobs in huxford alabama hiring 16 year olds')",jobs in huxford alabama hiring,jobs in huxford alabama hiring 16 year olds,3,1,google,2025-10-28 22:19:34.946786,,jobs in huxford alabama
9,jobs in huxford alabama,"('jobs in huxford alabama hiring', 'jobs in huxford alabama hiring right now')",jobs in huxford alabama hiring,jobs in huxford alabama hiring right now,4,1,google,2025-10-28 22:19:34.946786,,jobs in huxford alabama
10,jobs in huxford alabama,"('jobs in huxford alabama hiring', 'jobs in huxford alabama hiring 15 year olds')",jobs in huxford alabama hiring,jobs in huxford alabama hiring 15 year olds,5,1,google,2025-10-28 22:19:34.946786,,jobs in huxford alabama
11,jobs in huxford alabama,"('jobs in huxford alabama area', 'jobs in huxford alabama area hiring')",jobs in huxford alabama area,jobs in huxford alabama area hiring,1,1,google,2025-10-28 22:19:36.212528,,jobs in huxford alabama
