,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in jack alabama,"('jobs in jack alabama', 'jackson alabama jobs')",jobs in jack alabama,jackson alabama jobs,1,0,google,2025-10-28 22:25:19.725729,,
1,jobs in jack alabama,"('jobs in jack alabama', 'jobs in jacksonville alabama')",jobs in jack alabama,jobs in jacksonville alabama,2,0,google,2025-10-28 22:25:19.725729,,
2,jobs in jack alabama,"('jackson alabama jobs', 'jackson al jobs hiring')",jackson alabama jobs,jackson al jobs hiring,1,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
3,jobs in jack alabama,"('jackson alabama jobs', 'jackson county alabama jobs')",jackson alabama jobs,jackson county alabama jobs,2,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
4,jobs in jack alabama,"('jackson alabama jobs', 'pca jackson al jobs')",jackson alabama jobs,pca jackson al jobs,3,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
5,jobs in jack alabama,"('jackson alabama jobs', 'walmart jackson al jobs')",jackson alabama jobs,walmart jackson al jobs,4,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
6,jobs in jack alabama,"('jackson alabama jobs', 'jackson county al jobs full time')",jackson alabama jobs,jackson county al jobs full time,5,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
7,jobs in jack alabama,"('jackson alabama jobs', 'jackson co al jobs')",jackson alabama jobs,jackson co al jobs,6,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
8,jobs in jack alabama,"('jackson alabama jobs', 'city of jackson alabama jobs')",jackson alabama jobs,city of jackson alabama jobs,7,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
9,jobs in jack alabama,"('jackson alabama jobs', 'jackson county schools alabama jobs')",jackson alabama jobs,jackson county schools alabama jobs,8,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
10,jobs in jack alabama,"('jackson alabama jobs', 'jackson county alabama teaching jobs')",jackson alabama jobs,jackson county alabama teaching jobs,9,1,google,2025-10-28 22:25:21.010703,,jobs in jack alabama
11,jobs in jack alabama,"('jobs in jacksonville alabama', 'jobs in jacksonville alabama part time')",jobs in jacksonville alabama,jobs in jacksonville alabama part time,1,1,google,2025-10-28 22:25:22.422646,,jobs in jack alabama
12,jobs in jack alabama,"('jobs in jacksonville alabama', 'jobs in jacksonville alabama no degree')",jobs in jacksonville alabama,jobs in jacksonville alabama no degree,2,1,google,2025-10-28 22:25:22.422646,,jobs in jack alabama
13,jobs in jack alabama,"('jobs in jacksonville alabama', 'hiring in jacksonville alabama')",jobs in jacksonville alabama,hiring in jacksonville alabama,3,1,google,2025-10-28 22:25:22.422646,,jobs in jack alabama
14,jobs in jack alabama,"('jobs in jacksonville alabama', 'jobs in jacksonville al for college students')",jobs in jacksonville alabama,jobs in jacksonville al for college students,4,1,google,2025-10-28 22:25:22.422646,,jobs in jack alabama
15,jobs in jack alabama,"('jobs in jacksonville alabama', 'jobs hiring in jacksonville alabama')",jobs in jacksonville alabama,jobs hiring in jacksonville alabama,5,1,google,2025-10-28 22:25:22.422646,,jobs in jack alabama
