,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in jackson alabama,"('jobs in jackson alabama', 'jobs in jackson county alabama')",jobs in jackson alabama,jobs in jackson county alabama,1,0,google,2025-10-28 22:27:07.028139,,
1,jobs in jackson alabama,"('jobs in jackson alabama', 'jobs hiring in jackson alabama')",jobs in jackson alabama,jobs hiring in jackson alabama,2,0,google,2025-10-28 22:27:07.028139,,
2,jobs in jackson alabama,"('jobs in jackson alabama', 'pca jobs in jackson alabama')",jobs in jackson alabama,pca jobs in jackson alabama,3,0,google,2025-10-28 22:27:07.028139,,
3,jobs in jackson alabama,"('jobs in jackson alabama', 'job openings in jackson alabama')",jobs in jackson alabama,job openings in jackson alabama,4,0,google,2025-10-28 22:27:07.028139,,
4,jobs in jackson alabama,"('jobs in jackson alabama', 'jobs in jackson al in the last 3 days')",jobs in jackson alabama,jobs in jackson al in the last 3 days,5,0,google,2025-10-28 22:27:07.028139,,
5,jobs in jackson alabama,"('jobs in jackson alabama', 'indeed jobs in jackson al')",jobs in jackson alabama,indeed jobs in jackson al,6,0,google,2025-10-28 22:27:07.028139,,
6,jobs in jackson alabama,"('jobs in jackson alabama', 'cna jobs in jackson al')",jobs in jackson alabama,cna jobs in jackson al,7,0,google,2025-10-28 22:27:07.028139,,
7,jobs in jackson alabama,"('jobs in jackson alabama', 'jobs in jackson al')",jobs in jackson alabama,jobs in jackson al,8,0,google,2025-10-28 22:27:07.028139,,
8,jobs in jackson alabama,"('jobs in jackson alabama', 'jobs in jacksonville alabama')",jobs in jackson alabama,jobs in jacksonville alabama,9,0,google,2025-10-28 22:27:07.028139,,
9,jobs in jackson alabama,"('jobs in jackson county alabama', 'jobs jackson co al')",jobs in jackson county alabama,jobs jackson co al,1,1,google,2025-10-28 22:27:08.377383,,jobs in jackson alabama
10,jobs in jackson alabama,"('jobs in jackson county alabama', 'jobs near jackson county al')",jobs in jackson county alabama,jobs near jackson county al,2,1,google,2025-10-28 22:27:08.377383,,jobs in jackson alabama
11,jobs in jackson alabama,"('jobs in jackson county alabama', 'jobs in jackson county georgia')",jobs in jackson county alabama,jobs in jackson county georgia,3,1,google,2025-10-28 22:27:08.377383,,jobs in jackson alabama
12,jobs in jackson alabama,"('jobs in jackson county alabama', 'jackson alabama jobs')",jobs in jackson county alabama,jackson alabama jobs,4,1,google,2025-10-28 22:27:08.377383,,jobs in jackson alabama
13,jobs in jackson alabama,"('jobs in jackson county alabama', 'jackson county alabama job openings')",jobs in jackson county alabama,jackson county alabama job openings,5,1,google,2025-10-28 22:27:08.377383,,jobs in jackson alabama
14,jobs in jackson alabama,"('jobs hiring in jackson alabama', 'job openings in jackson alabama')",jobs hiring in jackson alabama,job openings in jackson alabama,1,1,google,2025-10-28 22:27:09.698934,,jobs in jackson alabama
15,jobs in jackson alabama,"('jobs hiring in jackson alabama', 'jobs near jackson alabama')",jobs hiring in jackson alabama,jobs near jackson alabama,2,1,google,2025-10-28 22:27:09.698934,,jobs in jackson alabama
16,jobs in jackson alabama,"('jobs hiring in jackson alabama', 'jobs hiring near jackson al')",jobs hiring in jackson alabama,jobs hiring near jackson al,3,1,google,2025-10-28 22:27:09.698934,,jobs in jackson alabama
17,jobs in jackson alabama,"('jobs hiring in jackson alabama', 'jobs hiring in jacksonville alabama')",jobs hiring in jackson alabama,jobs hiring in jacksonville alabama,4,1,google,2025-10-28 22:27:09.698934,,jobs in jackson alabama
18,jobs in jackson alabama,"('jobs hiring in jackson alabama', 'jobs hiring in jacksonville al')",jobs hiring in jackson alabama,jobs hiring in jacksonville al,5,1,google,2025-10-28 22:27:09.698934,,jobs in jackson alabama
19,jobs in jackson alabama,"('pca jobs in jackson alabama', 'pca jackson al jobs')",pca jobs in jackson alabama,pca jackson al jobs,1,1,google,2025-10-28 22:27:11.005921,,jobs in jackson alabama
