,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'hiring in jacksonville arkansas')",jobs in jacksonville arkansas,hiring in jacksonville arkansas,1,0,google,2025-10-30 15:03:40.458769,,
1,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'jobs in jacksonville ar remote')",jobs in jacksonville arkansas,jobs in jacksonville ar remote,2,0,google,2025-10-30 15:03:40.458769,,
2,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'jobs hiring in jacksonville arkansas')",jobs in jacksonville arkansas,jobs hiring in jacksonville arkansas,3,0,google,2025-10-30 15:03:40.458769,,
3,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'warehouse jobs in jacksonville arkansas')",jobs in jacksonville arkansas,warehouse jobs in jacksonville arkansas,4,0,google,2025-10-30 15:03:40.458769,,
4,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'factory jobs in jacksonville arkansas')",jobs in jacksonville arkansas,factory jobs in jacksonville arkansas,5,0,google,2025-10-30 15:03:40.458769,,
5,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'job openings in jacksonville arkansas')",jobs in jacksonville arkansas,job openings in jacksonville arkansas,6,0,google,2025-10-30 15:03:40.458769,,
6,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'part time jobs in jacksonville arkansas')",jobs in jacksonville arkansas,part time jobs in jacksonville arkansas,7,0,google,2025-10-30 15:03:40.458769,,
7,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'full time jobs in jacksonville arkansas')",jobs in jacksonville arkansas,full time jobs in jacksonville arkansas,8,0,google,2025-10-30 15:03:40.458769,,
8,jobs in jacksonville arkansas,"('jobs in jacksonville arkansas', 'places hiring in jacksonville arkansas')",jobs in jacksonville arkansas,places hiring in jacksonville arkansas,9,0,google,2025-10-30 15:03:40.458769,,
9,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'jobs in jacksonville arkansas')",hiring in jacksonville arkansas,jobs in jacksonville arkansas,1,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
10,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'jobs hiring in jacksonville arkansas')",hiring in jacksonville arkansas,jobs hiring in jacksonville arkansas,2,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
11,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'places hiring in jacksonville arkansas')",hiring in jacksonville arkansas,places hiring in jacksonville arkansas,3,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
12,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'warehouse jobs in jacksonville arkansas')",hiring in jacksonville arkansas,warehouse jobs in jacksonville arkansas,4,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
13,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'job openings in jacksonville arkansas')",hiring in jacksonville arkansas,job openings in jacksonville arkansas,5,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
14,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'factory jobs in jacksonville arkansas')",hiring in jacksonville arkansas,factory jobs in jacksonville arkansas,6,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
15,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'hiring in jacksonville ar')",hiring in jacksonville arkansas,hiring in jacksonville ar,7,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
16,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'jacksonville ar jobs')",hiring in jacksonville arkansas,jacksonville ar jobs,8,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
17,jobs in jacksonville arkansas,"('hiring in jacksonville arkansas', 'jacksonville ar jobs hiring')",hiring in jacksonville arkansas,jacksonville ar jobs hiring,9,1,google,2025-10-30 15:03:41.769071,,jobs in jacksonville arkansas
18,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'indeed jobs jacksonville ar remote')",jobs in jacksonville ar remote,indeed jobs jacksonville ar remote,1,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
19,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'jacksonville florida remote jobs')",jobs in jacksonville ar remote,jacksonville florida remote jobs,2,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
20,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'remote jobs in jacksonville')",jobs in jacksonville ar remote,remote jobs in jacksonville,3,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
21,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'jobs with google remote')",jobs in jacksonville ar remote,jobs with google remote,4,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
22,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'jobs for 14 year olds in jacksonville fl')",jobs in jacksonville ar remote,jobs for 14 year olds in jacksonville fl,5,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
23,jobs in jacksonville arkansas,"('jobs in jacksonville ar remote', 'jobs in jacksonville ar hiring')",jobs in jacksonville ar remote,jobs in jacksonville ar hiring,6,1,google,2025-10-30 15:03:43.188733,,jobs in jacksonville arkansas
