,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in jasper arkansas,"('jobs in jasper arkansas', 'jobs in jasper ar')",jobs in jasper arkansas,jobs in jasper ar,1,0,google,2025-10-30 15:08:21.616751,,
1,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs in jasper arkansas')",jobs in jasper ar,jobs in jasper arkansas,1,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
2,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs in jasper alabama area')",jobs in jasper ar,jobs in jasper alabama area,2,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
3,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs near jasper ar')",jobs in jasper ar,jobs near jasper ar,3,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
4,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs around jasper al')",jobs in jasper ar,jobs around jasper al,4,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
5,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs around jasper tx')",jobs in jasper ar,jobs around jasper tx,5,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
6,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs around jasper indiana')",jobs in jasper ar,jobs around jasper indiana,6,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
7,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs around jasper')",jobs in jasper ar,jobs around jasper,7,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
8,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs in jasper texas')",jobs in jasper ar,jobs in jasper texas,8,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
9,jobs in jasper arkansas,"('jobs in jasper ar', 'jobs in jasper county')",jobs in jasper ar,jobs in jasper county,9,1,google,2025-10-30 15:08:22.803440,,jobs in jasper arkansas
10,jobs in jasper arkansas,"('jobs in jasper alabama area', 'jasper alabama job')",jobs in jasper alabama area,jasper alabama job,1,2,google,2025-10-30 15:08:24.316672,jobs in jasper arkansas,jobs in jasper ar
11,jobs in jasper arkansas,"('jobs in jasper alabama area', 'jasper alabama job openings')",jobs in jasper alabama area,jasper alabama job openings,2,2,google,2025-10-30 15:08:24.316672,jobs in jasper arkansas,jobs in jasper ar
12,jobs in jasper arkansas,"('jobs near jasper ar', 'jobs near jasper arkansas')",jobs near jasper ar,jobs near jasper arkansas,1,2,google,2025-10-30 15:08:25.443110,jobs in jasper arkansas,jobs in jasper ar
13,jobs in jasper arkansas,"('jobs near jasper ar', 'jobs near jasper')",jobs near jasper ar,jobs near jasper,2,2,google,2025-10-30 15:08:25.443110,jobs in jasper arkansas,jobs in jasper ar
14,jobs in jasper arkansas,"('jobs near jasper ar', 'jobs near jasper tx')",jobs near jasper ar,jobs near jasper tx,3,2,google,2025-10-30 15:08:25.443110,jobs in jasper arkansas,jobs in jasper ar
15,jobs in jasper arkansas,"('jobs around jasper al', 'jobs hiring jasper al')",jobs around jasper al,jobs hiring jasper al,1,2,google,2025-10-30 15:08:26.810543,jobs in jasper arkansas,jobs in jasper ar
16,jobs in jasper arkansas,"('jobs around jasper al', 'jobs near jasper al')",jobs around jasper al,jobs near jasper al,2,2,google,2025-10-30 15:08:26.810543,jobs in jasper arkansas,jobs in jasper ar
17,jobs in jasper arkansas,"('jobs around jasper al', 'jobs hiring jasper al in the last 3 days')",jobs around jasper al,jobs hiring jasper al in the last 3 days,3,2,google,2025-10-30 15:08:26.810543,jobs in jasper arkansas,jobs in jasper ar
18,jobs in jasper arkansas,"('jobs around jasper al', 'jobs hiring jasper al no degree')",jobs around jasper al,jobs hiring jasper al no degree,4,2,google,2025-10-30 15:08:26.810543,jobs in jasper arkansas,jobs in jasper ar
