,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in kellyton alabama,"('jobs in kellyton alabama', 'jobs kellyton al')",jobs in kellyton alabama,jobs kellyton al,1,0,google,2025-10-28 22:41:00.622904,,
1,jobs in kellyton alabama,"('jobs in kellyton alabama', 'jobs in kellyville ok')",jobs in kellyton alabama,jobs in kellyville ok,2,0,google,2025-10-28 22:41:00.622904,,
2,jobs in kellyton alabama,"('jobs in kellyton alabama', 'jobs in kelly services')",jobs in kellyton alabama,jobs in kelly services,3,0,google,2025-10-28 22:41:00.622904,,
3,jobs in kellyton alabama,"('jobs in kellyton alabama', 'kelly services in alabama')",jobs in kellyton alabama,kelly services in alabama,4,0,google,2025-10-28 22:41:00.622904,,
4,jobs in kellyton alabama,"('jobs in kellyton alabama', 'kelly services jobs in montgomery al')",jobs in kellyton alabama,kelly services jobs in montgomery al,5,0,google,2025-10-28 22:41:00.622904,,
5,jobs in kellyton alabama,"('jobs kellyton al', 'jobs in kellyton alabama')",jobs kellyton al,jobs in kellyton alabama,1,1,google,2025-10-28 22:41:01.635557,,jobs in kellyton alabama
6,jobs in kellyton alabama,"('jobs kellyton al', 'jobs kelly')",jobs kellyton al,jobs kelly,2,1,google,2025-10-28 22:41:01.635557,,jobs in kellyton alabama
7,jobs in kellyton alabama,"('jobs kellyton al', 'jobs kelly services')",jobs kellyton al,jobs kelly services,3,1,google,2025-10-28 22:41:01.635557,,jobs in kellyton alabama
8,jobs in kellyton alabama,"('jobs in kellyville ok', 'kellyville school jobs')",jobs in kellyville ok,kellyville school jobs,1,1,google,2025-10-28 22:41:03.067045,,jobs in kellyton alabama
9,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services inc')",jobs in kelly services,jobs at kelly services inc,1,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
10,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services near me')",jobs in kelly services,jobs at kelly services near me,2,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
11,jobs in kellyton alabama,"('jobs in kelly services', 'jobs through kelly services')",jobs in kelly services,jobs through kelly services,3,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
12,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services remote')",jobs in kelly services,jobs at kelly services remote,4,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
13,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services no degree')",jobs in kelly services,jobs at kelly services no degree,5,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
14,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services canada ltd')",jobs in kelly services,jobs at kelly services canada ltd,6,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
15,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services internal')",jobs in kelly services,jobs at kelly services internal,7,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
16,jobs in kellyton alabama,"('jobs in kelly services', 'jobs at kelly services inc part time')",jobs in kelly services,jobs at kelly services inc part time,8,1,google,2025-10-28 22:41:03.847812,,jobs in kellyton alabama
