,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in la fayette alabama,"('jobs in la fayette alabama', 'jobs in lafayette alabama')",jobs in la fayette alabama,jobs in lafayette alabama,1,0,google,2025-10-28 22:49:20.210689,,
1,jobs in la fayette alabama,"('jobs in la fayette alabama', 'what kind of jobs are in alabama')",jobs in la fayette alabama,what kind of jobs are in alabama,2,0,google,2025-10-28 22:49:20.210689,,
2,jobs in la fayette alabama,"('jobs in la fayette alabama', 'jobs in lafayette al')",jobs in la fayette alabama,jobs in lafayette al,3,0,google,2025-10-28 22:49:20.210689,,
3,jobs in la fayette alabama,"('jobs in la fayette alabama', 'jobs hiring in lafayette al')",jobs in la fayette alabama,jobs hiring in lafayette al,4,0,google,2025-10-28 22:49:20.210689,,
4,jobs in la fayette alabama,"('jobs in lafayette alabama', 'jobs hiring in lafayette al')",jobs in lafayette alabama,jobs hiring in lafayette al,1,1,google,2025-10-28 22:49:21.190076,,jobs in la fayette alabama
5,jobs in la fayette alabama,"('jobs in lafayette alabama', 'what kind of jobs are in alabama')",jobs in lafayette alabama,what kind of jobs are in alabama,2,1,google,2025-10-28 22:49:21.190076,,jobs in la fayette alabama
6,jobs in la fayette alabama,"('jobs in lafayette alabama', 'jobs in lafayette al')",jobs in lafayette alabama,jobs in lafayette al,3,1,google,2025-10-28 22:49:21.190076,,jobs in la fayette alabama
7,jobs in la fayette alabama,"('what kind of jobs are in alabama', 'what jobs are in demand in alabama')",what kind of jobs are in alabama,what jobs are in demand in alabama,1,1,google,2025-10-28 22:49:22.103907,,jobs in la fayette alabama
8,jobs in la fayette alabama,"('what kind of jobs are in alabama', 'what jobs are in high demand in alabama')",what kind of jobs are in alabama,what jobs are in high demand in alabama,2,1,google,2025-10-28 22:49:22.103907,,jobs in la fayette alabama
9,jobs in la fayette alabama,"('what kind of jobs are in alabama', 'whats the highest paying job in alabama')",what kind of jobs are in alabama,whats the highest paying job in alabama,3,1,google,2025-10-28 22:49:22.103907,,jobs in la fayette alabama
10,jobs in la fayette alabama,"('what kind of jobs are in alabama', 'what jobs are in alabama')",what kind of jobs are in alabama,what jobs are in alabama,4,1,google,2025-10-28 22:49:22.103907,,jobs in la fayette alabama
11,jobs in la fayette alabama,"('what kind of jobs are in alabama', 'what are the best jobs in alabama')",what kind of jobs are in alabama,what are the best jobs in alabama,5,1,google,2025-10-28 22:49:22.103907,,jobs in la fayette alabama
12,jobs in la fayette alabama,"('jobs in lafayette al', 'jobs hiring in lafayette al')",jobs in lafayette al,jobs hiring in lafayette al,1,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
13,jobs in la fayette alabama,"('jobs in lafayette al', 'aldi jobs lafayette in')",jobs in lafayette al,aldi jobs lafayette in,2,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
14,jobs in la fayette alabama,"('jobs in lafayette al', 'jobs in lafayette alabama')",jobs in lafayette al,jobs in lafayette alabama,3,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
15,jobs in la fayette alabama,"('jobs in lafayette al', 'jobs in lafayette area')",jobs in lafayette al,jobs in lafayette area,4,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
16,jobs in la fayette alabama,"('jobs in lafayette al', 'jobs in lafayette georgia')",jobs in lafayette al,jobs in lafayette georgia,5,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
17,jobs in la fayette alabama,"('jobs in lafayette al', 'jobs in lafayette louisiana area')",jobs in lafayette al,jobs in lafayette louisiana area,6,1,google,2025-10-28 22:49:23.148544,,jobs in la fayette alabama
18,jobs in la fayette alabama,"('jobs hiring in lafayette al', 'jobs near lafayette al')",jobs hiring in lafayette al,jobs near lafayette al,1,1,google,2025-10-28 22:49:24.297078,,jobs in la fayette alabama
19,jobs in la fayette alabama,"('jobs hiring in lafayette al', 'jobs in lafayette alabama')",jobs hiring in lafayette al,jobs in lafayette alabama,2,1,google,2025-10-28 22:49:24.297078,,jobs in la fayette alabama
20,jobs in la fayette alabama,"('jobs hiring in lafayette al', 'jobs hiring in lafayette louisiana')",jobs hiring in lafayette al,jobs hiring in lafayette louisiana,3,1,google,2025-10-28 22:49:24.297078,,jobs in la fayette alabama
21,jobs in la fayette alabama,"('jobs hiring in lafayette al', 'jobs hiring in lafayette ga')",jobs hiring in lafayette al,jobs hiring in lafayette ga,4,1,google,2025-10-28 22:49:24.297078,,jobs in la fayette alabama
22,jobs in la fayette alabama,"('what jobs are in demand in alabama', 'what jobs are in high demand in alabama')",what jobs are in demand in alabama,what jobs are in high demand in alabama,1,2,google,2025-10-28 22:49:25.547980,jobs in la fayette alabama,what kind of jobs are in alabama
23,jobs in la fayette alabama,"('what jobs are in demand in alabama', 'what jobs are in demand in huntsville alabama')",what jobs are in demand in alabama,what jobs are in demand in huntsville alabama,2,2,google,2025-10-28 22:49:25.547980,jobs in la fayette alabama,what kind of jobs are in alabama
