,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring alabama area')",jobs in laceys spring alabama,jobs in laceys spring alabama area,1,0,google,2025-10-28 22:44:20.549192,,
1,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring alabama hiring')",jobs in laceys spring alabama,jobs in laceys spring alabama hiring,2,0,google,2025-10-28 22:44:20.549192,,
2,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring alabama part time')",jobs in laceys spring alabama,jobs in laceys spring alabama part time,3,0,google,2025-10-28 22:44:20.549192,,
3,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring alabama for 16 year olds')",jobs in laceys spring alabama,jobs in laceys spring alabama for 16 year olds,4,0,google,2025-10-28 22:44:20.549192,,
4,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring alabama hiring now')",jobs in laceys spring alabama,jobs in laceys spring alabama hiring now,5,0,google,2025-10-28 22:44:20.549192,,
5,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring al')",jobs in laceys spring alabama,jobs in laceys spring al,6,0,google,2025-10-28 22:44:20.549192,,
6,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring al rentals')",jobs in laceys spring alabama,jobs in laceys spring al rentals,7,0,google,2025-10-28 22:44:20.549192,,
7,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring al news')",jobs in laceys spring alabama,jobs in laceys spring al news,8,0,google,2025-10-28 22:44:20.549192,,
8,jobs in laceys spring alabama,"('jobs in laceys spring alabama', 'jobs in laceys spring al homes for sale')",jobs in laceys spring alabama,jobs in laceys spring al homes for sale,9,0,google,2025-10-28 22:44:20.549192,,
9,jobs in laceys spring alabama,"('jobs in laceys spring alabama area', 'jobs in laceys spring alabama area hiring')",jobs in laceys spring alabama area,jobs in laceys spring alabama area hiring,1,1,google,2025-10-28 22:44:21.620769,,jobs in laceys spring alabama
10,jobs in laceys spring alabama,"('jobs in laceys spring alabama area', 'jobs in laceys spring alabama area area')",jobs in laceys spring alabama area,jobs in laceys spring alabama area area,2,1,google,2025-10-28 22:44:21.620769,,jobs in laceys spring alabama
11,jobs in laceys spring alabama,"('jobs in laceys spring alabama area', 'jobs in laceys spring alabama area indeed')",jobs in laceys spring alabama area,jobs in laceys spring alabama area indeed,3,1,google,2025-10-28 22:44:21.620769,,jobs in laceys spring alabama
12,jobs in laceys spring alabama,"('jobs in laceys spring alabama area', 'jobs in laceys spring alabama area hiring now')",jobs in laceys spring alabama area,jobs in laceys spring alabama area hiring now,4,1,google,2025-10-28 22:44:21.620769,,jobs in laceys spring alabama
13,jobs in laceys spring alabama,"('jobs in laceys spring alabama area', 'jobs in laceys spring alabama areas')",jobs in laceys spring alabama area,jobs in laceys spring alabama areas,5,1,google,2025-10-28 22:44:21.620769,,jobs in laceys spring alabama
14,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring', 'jobs in laceys spring alabama hiring now')",jobs in laceys spring alabama hiring,jobs in laceys spring alabama hiring now,1,1,google,2025-10-28 22:44:22.864702,,jobs in laceys spring alabama
15,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring', 'jobs in laceys spring alabama hiring immediately')",jobs in laceys spring alabama hiring,jobs in laceys spring alabama hiring immediately,2,1,google,2025-10-28 22:44:22.864702,,jobs in laceys spring alabama
16,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring', 'jobs in laceys spring alabama hiring 16 year olds')",jobs in laceys spring alabama hiring,jobs in laceys spring alabama hiring 16 year olds,3,1,google,2025-10-28 22:44:22.864702,,jobs in laceys spring alabama
17,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring', 'jobs in laceys spring alabama hiring right now')",jobs in laceys spring alabama hiring,jobs in laceys spring alabama hiring right now,4,1,google,2025-10-28 22:44:22.864702,,jobs in laceys spring alabama
18,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring', 'jobs in laceys spring alabama hiring 15 year olds')",jobs in laceys spring alabama hiring,jobs in laceys spring alabama hiring 15 year olds,5,1,google,2025-10-28 22:44:22.864702,,jobs in laceys spring alabama
19,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time jobs')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time jobs,1,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
20,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time evening')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time evening,2,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
21,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time no experience')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time no experience,3,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
22,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time no experience needed')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time no experience needed,4,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
23,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time no degree')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time no degree,5,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
24,jobs in laceys spring alabama,"('jobs in laceys spring alabama part time', 'jobs in laceys spring alabama part time student')",jobs in laceys spring alabama part time,jobs in laceys spring alabama part time student,6,1,google,2025-10-28 22:44:23.786296,,jobs in laceys spring alabama
25,jobs in laceys spring alabama,"('jobs in laceys spring alabama for 16 year olds', 'jobs in laceys spring alabama for 16 year olds hiring')",jobs in laceys spring alabama for 16 year olds,jobs in laceys spring alabama for 16 year olds hiring,1,1,google,2025-10-28 22:44:24.671119,,jobs in laceys spring alabama
26,jobs in laceys spring alabama,"('jobs in laceys spring alabama for 16 year olds', 'jobs in laceys spring alabama for 16 year olds part time')",jobs in laceys spring alabama for 16 year olds,jobs in laceys spring alabama for 16 year olds part time,2,1,google,2025-10-28 22:44:24.671119,,jobs in laceys spring alabama
27,jobs in laceys spring alabama,"('jobs in laceys spring alabama for 16 year olds', 'jobs in laceys spring alabama for 16 year olds hiring now')",jobs in laceys spring alabama for 16 year olds,jobs in laceys spring alabama for 16 year olds hiring now,3,1,google,2025-10-28 22:44:24.671119,,jobs in laceys spring alabama
28,jobs in laceys spring alabama,"('jobs in laceys spring alabama for 16 year olds', 'jobs in laceys spring alabama for 16 year olds no experience')",jobs in laceys spring alabama for 16 year olds,jobs in laceys spring alabama for 16 year olds no experience,4,1,google,2025-10-28 22:44:24.671119,,jobs in laceys spring alabama
29,jobs in laceys spring alabama,"('jobs in laceys spring alabama for 16 year olds', 'jobs in laceys spring alabama for 16 year olds full time')",jobs in laceys spring alabama for 16 year olds,jobs in laceys spring alabama for 16 year olds full time,5,1,google,2025-10-28 22:44:24.671119,,jobs in laceys spring alabama
30,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring now', 'jobs in laceys spring alabama hiring now part time')",jobs in laceys spring alabama hiring now,jobs in laceys spring alabama hiring now part time,1,1,google,2025-10-28 22:44:25.739713,,jobs in laceys spring alabama
31,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring now', 'jobs in laceys spring alabama hiring now 2024')",jobs in laceys spring alabama hiring now,jobs in laceys spring alabama hiring now 2024,2,1,google,2025-10-28 22:44:25.739713,,jobs in laceys spring alabama
32,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring now', 'jobs in laceys spring alabama hiring now full time')",jobs in laceys spring alabama hiring now,jobs in laceys spring alabama hiring now full time,3,1,google,2025-10-28 22:44:25.739713,,jobs in laceys spring alabama
33,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring now', 'jobs in laceys spring alabama hiring now no experience')",jobs in laceys spring alabama hiring now,jobs in laceys spring alabama hiring now no experience,4,1,google,2025-10-28 22:44:25.739713,,jobs in laceys spring alabama
34,jobs in laceys spring alabama,"('jobs in laceys spring alabama hiring now', 'jobs in laceys spring alabama hiring now no experience needed')",jobs in laceys spring alabama hiring now,jobs in laceys spring alabama hiring now no experience needed,5,1,google,2025-10-28 22:44:25.739713,,jobs in laceys spring alabama
35,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring alabama')",jobs in laceys spring al,jobs in laceys spring alabama,1,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
36,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring albuquerque nm')",jobs in laceys spring al,jobs in laceys spring albuquerque nm,2,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
37,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring alberta')",jobs in laceys spring al,jobs in laceys spring alberta,3,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
38,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring albuquerque')",jobs in laceys spring al,jobs in laceys spring albuquerque,4,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
39,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring alaska')",jobs in laceys spring al,jobs in laceys spring alaska,5,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
40,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring al rentals')",jobs in laceys spring al,jobs in laceys spring al rentals,6,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
41,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring al post office')",jobs in laceys spring al,jobs in laceys spring al post office,7,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
42,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring al homes for sale')",jobs in laceys spring al,jobs in laceys spring al homes for sale,8,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
43,jobs in laceys spring alabama,"('jobs in laceys spring al', 'jobs in laceys spring al population')",jobs in laceys spring al,jobs in laceys spring al population,9,1,google,2025-10-28 22:44:26.979040,,jobs in laceys spring alabama
44,jobs in laceys spring alabama,"('jobs in laceys spring al rentals', 'jobs in laceys spring al rentals jobs')",jobs in laceys spring al rentals,jobs in laceys spring al rentals jobs,1,1,google,2025-10-28 22:44:28.428087,,jobs in laceys spring alabama
