,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lanett alabama,"('jobs in lanett alabama', 'jobs hiring in lanett al')",jobs in lanett alabama,jobs hiring in lanett al,1,0,google,2025-10-28 22:51:01.010288,,
1,jobs in lanett alabama,"('jobs in lanett alabama', 'jobs in lanett al')",jobs in lanett alabama,jobs in lanett al,2,0,google,2025-10-28 22:51:01.010288,,
2,jobs in lanett alabama,"('jobs hiring in lanett al', 'jobs hiring in valley al')",jobs hiring in lanett al,jobs hiring in valley al,1,1,google,2025-10-28 22:51:01.942633,,jobs in lanett alabama
3,jobs in lanett alabama,"('jobs hiring in lanett al', 'jobs near lanett al')",jobs hiring in lanett al,jobs near lanett al,2,1,google,2025-10-28 22:51:01.942633,,jobs in lanett alabama
4,jobs in lanett alabama,"('jobs hiring in lanett al', 'jobs hiring immediately valley al')",jobs hiring in lanett al,jobs hiring immediately valley al,3,1,google,2025-10-28 22:51:01.942633,,jobs in lanett alabama
5,jobs in lanett alabama,"('jobs hiring in lanett al', 'jobs near valley al')",jobs hiring in lanett al,jobs near valley al,4,1,google,2025-10-28 22:51:01.942633,,jobs in lanett alabama
6,jobs in lanett alabama,"('jobs hiring in lanett al', 'now hiring valley al')",jobs hiring in lanett al,now hiring valley al,5,1,google,2025-10-28 22:51:01.942633,,jobs in lanett alabama
7,jobs in lanett alabama,"('jobs in lanett al', 'jobs in valley al')",jobs in lanett al,jobs in valley al,1,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
8,jobs in lanett alabama,"('jobs in lanett al', 'jobs hiring in lanett al')",jobs in lanett al,jobs hiring in lanett al,2,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
9,jobs in lanett alabama,"('jobs in lanett al', 'jobs in drayton valley alberta')",jobs in lanett al,jobs in drayton valley alberta,3,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
10,jobs in lanett alabama,"('jobs in lanett al', 'jobs hiring in valley al')",jobs in lanett al,jobs hiring in valley al,4,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
11,jobs in lanett alabama,"('jobs in lanett al', 'jobs in south valley albuquerque')",jobs in lanett al,jobs in south valley albuquerque,5,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
12,jobs in lanett alabama,"('jobs in lanett al', 'jobs in diamond valley alberta')",jobs in lanett al,jobs in diamond valley alberta,6,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
13,jobs in lanett alabama,"('jobs in lanett al', 'jobs in valley head al')",jobs in lanett al,jobs in valley head al,7,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
14,jobs in lanett alabama,"('jobs in lanett al', 'jobs in turner valley alberta')",jobs in lanett al,jobs in turner valley alberta,8,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
15,jobs in lanett alabama,"('jobs in lanett al', 'indeed jobs in valley al')",jobs in lanett al,indeed jobs in valley al,9,1,google,2025-10-28 22:51:03.244428,,jobs in lanett alabama
16,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs hiring in lanett al')",jobs hiring in valley al,jobs hiring in lanett al,1,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
17,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs hiring immediately valley al')",jobs hiring in valley al,jobs hiring immediately valley al,2,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
18,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs near valley al')",jobs hiring in valley al,jobs near valley al,3,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
19,jobs in lanett alabama,"('jobs hiring in valley al', 'now hiring valley al')",jobs hiring in valley al,now hiring valley al,4,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
20,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs hiring near me valley al')",jobs hiring in valley al,jobs hiring near me valley al,5,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
21,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs near me valley al')",jobs hiring in valley al,jobs near me valley al,6,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
22,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs near lanett al')",jobs hiring in valley al,jobs near lanett al,7,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
23,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs hiring in valley alabama')",jobs hiring in valley al,jobs hiring in valley alabama,8,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
24,jobs in lanett alabama,"('jobs hiring in valley al', 'jobs in valley alabama')",jobs hiring in valley al,jobs in valley alabama,9,2,google,2025-10-28 22:51:04.362392,jobs in lanett alabama jobs in lanett alabama,jobs hiring in lanett al jobs in lanett al
25,jobs in lanett alabama,"('jobs near lanett al', 'jobs near valley al')",jobs near lanett al,jobs near valley al,1,2,google,2025-10-28 22:51:05.249572,jobs in lanett alabama,jobs hiring in lanett al
26,jobs in lanett alabama,"('jobs near lanett al', 'jobs hiring near lanett al')",jobs near lanett al,jobs hiring near lanett al,2,2,google,2025-10-28 22:51:05.249572,jobs in lanett alabama,jobs hiring in lanett al
