,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lavaca arkansas,"('jobs in lavaca arkansas', 'jobs in lavaca ar')",jobs in lavaca arkansas,jobs in lavaca ar,1,0,google,2025-10-30 15:32:32.413335,,
1,jobs in lavaca arkansas,"('jobs in lavaca arkansas', 'jobs in lavaca county')",jobs in lavaca arkansas,jobs in lavaca county,2,0,google,2025-10-30 15:32:32.413335,,
2,jobs in lavaca arkansas,"('jobs in lavaca arkansas', 'lavaca ar school district jobs')",jobs in lavaca arkansas,lavaca ar school district jobs,3,0,google,2025-10-30 15:32:32.413335,,
3,jobs in lavaca arkansas,"('jobs in lavaca ar', 'jobs in maud')",jobs in lavaca ar,jobs in maud,1,1,google,2025-10-30 15:32:33.205806,,jobs in lavaca arkansas
4,jobs in lavaca arkansas,"('jobs in lavaca ar', 'jobs in lavaca county')",jobs in lavaca ar,jobs in lavaca county,2,1,google,2025-10-30 15:32:33.205806,,jobs in lavaca arkansas
5,jobs in lavaca arkansas,"('jobs in lavaca ar', 'jobs in lavaca county texas')",jobs in lavaca ar,jobs in lavaca county texas,3,1,google,2025-10-30 15:32:33.205806,,jobs in lavaca arkansas
6,jobs in lavaca arkansas,"('jobs in lavaca ar', 'lavaca jobs')",jobs in lavaca ar,lavaca jobs,4,1,google,2025-10-30 15:32:33.205806,,jobs in lavaca arkansas
7,jobs in lavaca arkansas,"('jobs in lavaca county', 'jobs in lavaca county tx')",jobs in lavaca county,jobs in lavaca county tx,1,1,google,2025-10-30 15:32:34.064128,,jobs in lavaca arkansas
8,jobs in lavaca arkansas,"('jobs in lavaca county', 'jobs in lavaca county texas')",jobs in lavaca county,jobs in lavaca county texas,2,1,google,2025-10-30 15:32:34.064128,,jobs in lavaca arkansas
9,jobs in lavaca arkansas,"('jobs in lavaca county', 'jobs in lavaca ar')",jobs in lavaca county,jobs in lavaca ar,3,1,google,2025-10-30 15:32:34.064128,,jobs in lavaca arkansas
10,jobs in lavaca arkansas,"('lavaca ar school district jobs', 'lavaca school district jobs')",lavaca ar school district jobs,lavaca school district jobs,1,1,google,2025-10-30 15:32:34.988566,,jobs in lavaca arkansas
11,jobs in lavaca arkansas,"('lavaca ar school district jobs', 'lavaca school jobs')",lavaca ar school district jobs,lavaca school jobs,2,1,google,2025-10-30 15:32:34.988566,,jobs in lavaca arkansas
12,jobs in lavaca arkansas,"('lavaca ar school district jobs', 'lavaca ar school district')",lavaca ar school district jobs,lavaca ar school district,3,1,google,2025-10-30 15:32:34.988566,,jobs in lavaca arkansas
13,jobs in lavaca arkansas,"('lavaca ar school district jobs', 'lavaca school district arkansas')",lavaca ar school district jobs,lavaca school district arkansas,4,1,google,2025-10-30 15:32:34.988566,,jobs in lavaca arkansas
14,jobs in lavaca arkansas,"('jobs in maud', 'jobs in maud texas')",jobs in maud,jobs in maud texas,1,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
15,jobs in lavaca arkansas,"('jobs in maud', 'jobs in mauda')",jobs in maud,jobs in mauda,2,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
16,jobs in lavaca arkansas,"('jobs in maud', 'jobs in maud aberdeenshire')",jobs in maud,jobs in maud aberdeenshire,3,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
17,jobs in lavaca arkansas,"('jobs in maud', 'jobs in maud ok')",jobs in maud,jobs in maud ok,4,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
18,jobs in lavaca arkansas,"('jobs in maud', 'jobs in maudsland')",jobs in maud,jobs in maudsland,5,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
19,jobs in lavaca arkansas,"('jobs in maud', 'jobs maudaha')",jobs in maud,jobs maudaha,6,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
20,jobs in lavaca arkansas,"('jobs in maud', 'jobs maudsley hospital')",jobs in maud,jobs maudsley hospital,7,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
21,jobs in lavaca arkansas,"('jobs in maud', 'jobs maudsley')",jobs in maud,jobs maudsley,8,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
22,jobs in lavaca arkansas,"('jobs in maud', 'jobs in mau')",jobs in maud,jobs in mau,9,2,google,2025-10-30 15:32:35.950766,jobs in lavaca arkansas,jobs in lavaca ar
23,jobs in lavaca arkansas,"('jobs in lavaca county texas', 'jobs in lavaca county')",jobs in lavaca county texas,jobs in lavaca county,1,2,google,2025-10-30 15:32:37.180075,jobs in lavaca arkansas jobs in lavaca arkansas,jobs in lavaca ar jobs in lavaca county
24,jobs in lavaca arkansas,"('jobs in lavaca county texas', 'lavaca county tx jobs')",jobs in lavaca county texas,lavaca county tx jobs,2,2,google,2025-10-30 15:32:37.180075,jobs in lavaca arkansas jobs in lavaca arkansas,jobs in lavaca ar jobs in lavaca county
25,jobs in lavaca arkansas,"('lavaca jobs', 'jobs lavaca ar')",lavaca jobs,jobs lavaca ar,1,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
26,jobs in lavaca arkansas,"('lavaca jobs', 'port lavaca jobs')",lavaca jobs,port lavaca jobs,2,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
27,jobs in lavaca arkansas,"('lavaca jobs', 'lavaca county jobs')",lavaca jobs,lavaca county jobs,3,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
28,jobs in lavaca arkansas,"('lavaca jobs', 'port lavaca jobs in the last 3 days')",lavaca jobs,port lavaca jobs in the last 3 days,4,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
29,jobs in lavaca arkansas,"('lavaca jobs', 'lavaca school jobs')",lavaca jobs,lavaca school jobs,5,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
30,jobs in lavaca arkansas,"('lavaca jobs', 'port lavaca jobs full time')",lavaca jobs,port lavaca jobs full time,6,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
31,jobs in lavaca arkansas,"('lavaca jobs', 'lavaca county jobs openings')",lavaca jobs,lavaca county jobs openings,7,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
32,jobs in lavaca arkansas,"('lavaca jobs', 'port lavaca jobs no degree')",lavaca jobs,port lavaca jobs no degree,8,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
33,jobs in lavaca arkansas,"('lavaca jobs', 'lavaca school district jobs')",lavaca jobs,lavaca school district jobs,9,2,google,2025-10-30 15:32:38.055856,jobs in lavaca arkansas,jobs in lavaca ar
34,jobs in lavaca arkansas,"('jobs in lavaca county tx', 'jobs in lavaca county texas')",jobs in lavaca county tx,jobs in lavaca county texas,1,2,google,2025-10-30 15:32:39.401977,jobs in lavaca arkansas,jobs in lavaca county
35,jobs in lavaca arkansas,"('jobs in lavaca county tx', 'jobs in lavaca county')",jobs in lavaca county tx,jobs in lavaca county,2,2,google,2025-10-30 15:32:39.401977,jobs in lavaca arkansas,jobs in lavaca county
36,jobs in lavaca arkansas,"('lavaca school district jobs', 'lavaca ar school district jobs')",lavaca school district jobs,lavaca ar school district jobs,1,2,google,2025-10-30 15:32:40.678731,jobs in lavaca arkansas,lavaca ar school district jobs
37,jobs in lavaca arkansas,"('lavaca school district jobs', 'lavaca school jobs')",lavaca school district jobs,lavaca school jobs,2,2,google,2025-10-30 15:32:40.678731,jobs in lavaca arkansas,lavaca ar school district jobs
38,jobs in lavaca arkansas,"('lavaca school district jobs', 'lavaca public schools jobs')",lavaca school district jobs,lavaca public schools jobs,3,2,google,2025-10-30 15:32:40.678731,jobs in lavaca arkansas,lavaca ar school district jobs
39,jobs in lavaca arkansas,"('lavaca school jobs', 'lavaca school district jobs')",lavaca school jobs,lavaca school district jobs,1,2,google,2025-10-30 15:32:41.591934,jobs in lavaca arkansas,lavaca ar school district jobs
40,jobs in lavaca arkansas,"('lavaca school jobs', 'lavaca public school jobs')",lavaca school jobs,lavaca public school jobs,2,2,google,2025-10-30 15:32:41.591934,jobs in lavaca arkansas,lavaca ar school district jobs
41,jobs in lavaca arkansas,"('lavaca school jobs', 'lavaca ar school jobs')",lavaca school jobs,lavaca ar school jobs,3,2,google,2025-10-30 15:32:41.591934,jobs in lavaca arkansas,lavaca ar school district jobs
42,jobs in lavaca arkansas,"('lavaca school jobs', 'lavaca ar school district jobs')",lavaca school jobs,lavaca ar school district jobs,4,2,google,2025-10-30 15:32:41.591934,jobs in lavaca arkansas,lavaca ar school district jobs
43,jobs in lavaca arkansas,"('lavaca ar school district', 'lavaca ar school district jobs')",lavaca ar school district,lavaca ar school district jobs,1,2,google,2025-10-30 15:32:42.886356,jobs in lavaca arkansas,lavaca ar school district jobs
44,jobs in lavaca arkansas,"('lavaca ar school district', 'lavaca arkansas school district')",lavaca ar school district,lavaca arkansas school district,2,2,google,2025-10-30 15:32:42.886356,jobs in lavaca arkansas,lavaca ar school district jobs
45,jobs in lavaca arkansas,"('lavaca ar school district', 'lavaca ar school')",lavaca ar school district,lavaca ar school,3,2,google,2025-10-30 15:32:42.886356,jobs in lavaca arkansas,lavaca ar school district jobs
46,jobs in lavaca arkansas,"('lavaca school district arkansas', 'lavaca school district ar')",lavaca school district arkansas,lavaca school district ar,1,2,google,2025-10-30 15:32:44.282136,jobs in lavaca arkansas,lavaca ar school district jobs
47,jobs in lavaca arkansas,"('lavaca school district arkansas', 'lavaca arkansas schools')",lavaca school district arkansas,lavaca arkansas schools,2,2,google,2025-10-30 15:32:44.282136,jobs in lavaca arkansas,lavaca ar school district jobs
48,jobs in lavaca arkansas,"('jobs in maud texas', 'jobs in maud')",jobs in maud texas,jobs in maud,1,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
49,jobs in lavaca arkansas,"('jobs in maud texas', 'jobs in maud ok')",jobs in maud texas,jobs in maud ok,2,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
50,jobs in lavaca arkansas,"('jobs in maud texas', 'maud tx jobs')",jobs in maud texas,maud tx jobs,3,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
51,jobs in lavaca arkansas,"('jobs in maud texas', 'maud isd jobs')",jobs in maud texas,maud isd jobs,4,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
52,jobs in lavaca arkansas,"('jobs in maud texas', 'maud isd job openings')",jobs in maud texas,maud isd job openings,5,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
53,jobs in lavaca arkansas,"('jobs in maud texas', 'maud isd employment')",jobs in maud texas,maud isd employment,6,3,google,2025-10-30 15:32:45.306842,jobs in lavaca ar,jobs in maud
54,jobs in lavaca arkansas,"('jobs in mauda', 'jobs maudaha')",jobs in mauda,jobs maudaha,1,3,google,2025-10-30 15:32:46.077298,jobs in lavaca ar,jobs in maud
