,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in leeds alabama,"('jobs in leeds alabama', 'jobs hiring in leeds alabama')",jobs in leeds alabama,jobs hiring in leeds alabama,1,0,google,2025-10-28 22:52:15.401378,,
1,jobs in leeds alabama,"('jobs in leeds alabama', 'warehouse jobs in leeds alabama')",jobs in leeds alabama,warehouse jobs in leeds alabama,2,0,google,2025-10-28 22:52:15.401378,,
2,jobs in leeds alabama,"('jobs in leeds alabama', 'part time jobs in leeds alabama')",jobs in leeds alabama,part time jobs in leeds alabama,3,0,google,2025-10-28 22:52:15.401378,,
3,jobs in leeds alabama,"('jobs in leeds alabama', 'jobs indeed leeds alabama')",jobs in leeds alabama,jobs indeed leeds alabama,4,0,google,2025-10-28 22:52:15.401378,,
4,jobs in leeds alabama,"('jobs in leeds alabama', ""buc ee's jobs leeds alabama"")",jobs in leeds alabama,buc ee's jobs leeds alabama,5,0,google,2025-10-28 22:52:15.401378,,
5,jobs in leeds alabama,"('jobs in leeds alabama', 'leeds research jobs')",jobs in leeds alabama,leeds research jobs,6,0,google,2025-10-28 22:52:15.401378,,
6,jobs in leeds alabama,"('jobs in leeds alabama', 'live well leeds jobs')",jobs in leeds alabama,live well leeds jobs,7,0,google,2025-10-28 22:52:15.401378,,
7,jobs in leeds alabama,"('jobs in leeds alabama', 'jobs in leeds al')",jobs in leeds alabama,jobs in leeds al,8,0,google,2025-10-28 22:52:15.401378,,
8,jobs in leeds alabama,"('jobs hiring in leeds alabama', 'jobs near leeds alabama')",jobs hiring in leeds alabama,jobs near leeds alabama,1,1,google,2025-10-28 22:52:16.832602,,jobs in leeds alabama
9,jobs in leeds alabama,"('jobs hiring in leeds alabama', 'jobs hiring near leeds al')",jobs hiring in leeds alabama,jobs hiring near leeds al,2,1,google,2025-10-28 22:52:16.832602,,jobs in leeds alabama
10,jobs in leeds alabama,"('jobs hiring in leeds alabama', 'jobs in leeds al')",jobs hiring in leeds alabama,jobs in leeds al,3,1,google,2025-10-28 22:52:16.832602,,jobs in leeds alabama
11,jobs in leeds alabama,"('warehouse jobs in leeds alabama', 'warehouse jobs in leesburg fl')",warehouse jobs in leeds alabama,warehouse jobs in leesburg fl,1,1,google,2025-10-28 22:52:18.165290,,jobs in leeds alabama
12,jobs in leeds alabama,"('warehouse jobs in leeds alabama', 'warehouse jobs in alabama')",warehouse jobs in leeds alabama,warehouse jobs in alabama,2,1,google,2025-10-28 22:52:18.165290,,jobs in leeds alabama
13,jobs in leeds alabama,"('warehouse jobs in leeds alabama', 'warehouse jobs in tuscaloosa alabama')",warehouse jobs in leeds alabama,warehouse jobs in tuscaloosa alabama,3,1,google,2025-10-28 22:52:18.165290,,jobs in leeds alabama
