,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in leesburg alabama,"('jobs in leesburg alabama', 'jobs in leesburg al')",jobs in leesburg alabama,jobs in leesburg al,1,0,google,2025-10-28 22:56:09.662115,,
1,jobs in leesburg alabama,"('jobs in leesburg alabama', 'jobs in leesburg ga')",jobs in leesburg alabama,jobs in leesburg ga,2,0,google,2025-10-28 22:56:09.662115,,
2,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in centre al')",jobs in leesburg al,jobs in centre al,1,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
3,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in centre alabama')",jobs in leesburg al,jobs in centre alabama,2,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
4,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in aldershot centre for health')",jobs in leesburg al,jobs in aldershot centre for health,3,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
5,jobs in leesburg alabama,"('jobs in leesburg al', 'teacher para jobs in leesburg albany ga')",jobs in leesburg al,teacher para jobs in leesburg albany ga,4,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
6,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs hiring in centre al')",jobs in leesburg al,jobs hiring in centre al,5,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
7,jobs in leesburg alabama,"('jobs in leesburg al', 'walmart jobs in centre al')",jobs in leesburg al,walmart jobs in centre al,6,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
8,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in albany and leesburg ga')",jobs in leesburg al,jobs in albany and leesburg ga,7,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
9,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in leesburg alabama')",jobs in leesburg al,jobs in leesburg alabama,8,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
10,jobs in leesburg alabama,"('jobs in leesburg al', 'jobs in leesburg ga')",jobs in leesburg al,jobs in leesburg ga,9,1,google,2025-10-28 22:56:10.769323,,jobs in leesburg alabama
11,jobs in leesburg alabama,"('jobs in leesburg ga', 'jobs in leesburg ga no degree')",jobs in leesburg ga,jobs in leesburg ga no degree,1,1,google,2025-10-28 22:56:11.826788,,jobs in leesburg alabama
12,jobs in leesburg alabama,"('jobs in leesburg ga', 'jobs in leesburg ga remote')",jobs in leesburg ga,jobs in leesburg ga remote,2,1,google,2025-10-28 22:56:11.826788,,jobs in leesburg alabama
13,jobs in leesburg alabama,"('jobs in leesburg ga', 'hiring in leesburg ga')",jobs in leesburg ga,hiring in leesburg ga,3,1,google,2025-10-28 22:56:11.826788,,jobs in leesburg alabama
14,jobs in leesburg alabama,"('jobs in leesburg ga', 'jobs hiring in leesburg ga')",jobs in leesburg ga,jobs hiring in leesburg ga,4,1,google,2025-10-28 22:56:11.826788,,jobs in leesburg alabama
