,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in lepanto arkansas,"('jobs in lepanto arkansas', 'lepanto arkansas crime rate')",jobs in lepanto arkansas,lepanto arkansas crime rate,1,0,google,2025-10-30 15:33:39.018914,,
1,jobs in lepanto arkansas,"('jobs in lepanto arkansas', 'jobs in lepanto ar')",jobs in lepanto arkansas,jobs in lepanto ar,2,0,google,2025-10-30 15:33:39.018914,,
2,jobs in lepanto arkansas,"('jobs in lepanto arkansas', 'lepanto arkansas')",jobs in lepanto arkansas,lepanto arkansas,3,0,google,2025-10-30 15:33:39.018914,,
3,jobs in lepanto arkansas,"('jobs in lepanto arkansas', 'lepanto arkansas police department')",jobs in lepanto arkansas,lepanto arkansas police department,4,0,google,2025-10-30 15:33:39.018914,,
4,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'what is the most dangerous city in arkansas')",lepanto arkansas crime rate,what is the most dangerous city in arkansas,1,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
5,jobs in lepanto arkansas,"('lepanto arkansas crime rate', ""what's the crime rate in arkansas"")",lepanto arkansas crime rate,what's the crime rate in arkansas,2,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
6,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'lowest crime rate in arkansas')",lepanto arkansas crime rate,lowest crime rate in arkansas,3,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
7,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'lepanto arkansas police department')",lepanto arkansas crime rate,lepanto arkansas police department,4,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
8,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'lepanto ar population')",lepanto arkansas crime rate,lepanto ar population,5,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
9,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'lepanto arkansas')",lepanto arkansas crime rate,lepanto arkansas,6,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
10,jobs in lepanto arkansas,"('lepanto arkansas crime rate', 'lepanto arkansas news')",lepanto arkansas crime rate,lepanto arkansas news,7,1,google,2025-10-30 15:33:40.132520,,jobs in lepanto arkansas
11,jobs in lepanto arkansas,"('jobs in lepanto ar', 'jobs in lepanto arkansas')",jobs in lepanto ar,jobs in lepanto arkansas,1,1,google,2025-10-30 15:33:41.205751,,jobs in lepanto arkansas
12,jobs in lepanto arkansas,"('jobs in lepanto ar', 'jobs near lepanto ar')",jobs in lepanto ar,jobs near lepanto ar,2,1,google,2025-10-30 15:33:41.205751,,jobs in lepanto arkansas
13,jobs in lepanto arkansas,"('jobs in lepanto ar', 'jobs hiring lepanto ar')",jobs in lepanto ar,jobs hiring lepanto ar,3,1,google,2025-10-30 15:33:41.205751,,jobs in lepanto arkansas
